"GeneID","Symbol"
"gene-MOV10L1|MOV10L1","MOV10L1"
"gene-LOC100221337|LOC100221337","LOC100221337"
"gene-CNTRL|CNTRL","CNTRL"
"gene-LOC115490748|LOC115490748","LOC115490748"
"gene-ACOT12|ACOT12","ACOT12"
"gene-CREB3|CREB3","CREB3"
"gene-OSBP|OSBP","OSBP"
"gene-LOC140681600|LOC140681600","LOC140681600"
"gene-PDZD11|PDZD11","PDZD11"
"gene-LOC140681754|LOC140681754","LOC140681754"
"gene-LOC115490639|LOC115490639","LOC115490639"
"gene-LOC140684715|LOC140684715","LOC140684715"
"gene-UAP1|UAP1","UAP1"
"gene-LOC140683746|LOC140683746","LOC140683746"
"gene-TMEM86A|TMEM86A","TMEM86A"
"gene-DNAJB11|DNAJB11","DNAJB11"
"gene-DERL3|DERL3","DERL3"
"gene-RRBP1|RRBP1","RRBP1"
"gene-FYB2|FYB2","FYB2"
"gene-LOC140684342|LOC140684342","LOC140684342"
"gene-RIOK2|RIOK2","RIOK2"
"gene-LOC100229852|LOC100229852","LOC100229852"
"gene-SELENOS|SELENOS","SELENOS"
"gene-MIR148A|MIR148A","MIR148A"
"gene-FGG|FGG","FGG"
"gene-LOC121468923|LOC121468923","LOC121468923"
"gene-HSP90B1|HSP90B1","HSP90B1"
"gene-KCNT2|KCNT2","KCNT2"
"gene-FNDC3B|FNDC3B","FNDC3B"
"gene-LOC140682275|LOC140682275","LOC140682275"
"gene-CDC23|CDC23","CDC23"
"gene-CSF1|CSF1","CSF1"
"gene-SH2D4B|SH2D4B","SH2D4B"
"gene-IGFBP2|IGFBP2","IGFBP2"
"gene-IL17REL|IL17REL","IL17REL"
"gene-LOC140682594|LOC140682594","LOC140682594"
"gene-LOC115497382|LOC115497382","LOC115497382"
"gene-LOC121469095|LOC121469095","LOC121469095"
"gene-TMEM214|TMEM214","TMEM214"
"gene-LOC140681048|LOC140681048","LOC140681048"
"gene-RNF17|RNF17","RNF17"
"gene-HAPLN3|HAPLN3","HAPLN3"
"gene-LOC100223070|LOC100223070","LOC100223070"
"gene-LOC140681780|LOC140681780","LOC140681780"
"gene-LOC121468894|LOC121468894","LOC121468894"
"gene-SOCS3|SOCS3","SOCS3"
"gene-LOC121468922|LOC121468922","LOC121468922"
"gene-MACO1|MACO1","MACO1"
"gene-GCHFR|GCHFR","GCHFR"
"gene-LOC140680553|LOC140680553","LOC140680553"
"gene-PFKFB2|PFKFB2","PFKFB2"
"gene-LOC105760834|LOC105760834","LOC105760834"
"gene-SDF2L1|SDF2L1","SDF2L1"
"gene-PROM2|PROM2","PROM2"
"gene-LOC100221944|LOC100221944","LOC100221944"
"gene-LOC100229197|LOC100229197","LOC100229197"
"gene-HYOU1|HYOU1","HYOU1"
"gene-FGA|FGA","FGA"
"gene-CP|CP","CP"
"gene-CHRNB1|CHRNB1","CHRNB1"
"gene-STYXL1|STYXL1","STYXL1"
"gene-MAP1LC3A|MAP1LC3A","MAP1LC3A"
"gene-LOC140681163|LOC140681163","LOC140681163"
"gene-LOC115493337|LOC115493337","LOC115493337"
"gene-LOC100221480|LOC100221480","LOC100221480"
"gene-LOC100222099|LOC100222099","LOC100222099"
"gene-LOC140681781|LOC140681781","LOC140681781"
"gene-LOC115493362|LOC115493362","LOC115493362"
"gene-CALR|CALR","CALR"
"gene-TM4SF18|TM4SF18","TM4SF18"
"gene-FGB|FGB","FGB"
"gene-UBE2L6|UBE2L6","UBE2L6"
"gene-MATCAP1|MATCAP1","MATCAP1"
"gene-LOC140681012|LOC140681012","LOC140681012"
"gene-LOC140680931|LOC140680931","LOC140680931"
"gene-TRPM5|TRPM5","TRPM5"
"gene-LOC115494316|LOC115494316","LOC115494316"
"gene-TMEM63A|TMEM63A","TMEM63A"
"gene-IL1R2|IL1R2","IL1R2"
"gene-C8A|C8A","C8A"
"gene-LOC115494503|LOC115494503","LOC115494503"
