"GeneID","Symbol"
"gene-LOC100224543|LOC100224543","LOC100224543"
"gene-LOC100224866|LOC100224866","LOC100224866"
"gene-LOC115493855|LOC115493855","LOC115493855"
"gene-LOC105758698|LOC105758698","LOC105758698"
"gene-SLC25A3|SLC25A3","SLC25A3"
"gene-SEPHS1|SEPHS1","SEPHS1"
"gene-GCH1|GCH1","GCH1"
"gene-NLE1|NLE1","NLE1"
"gene-LOC140680271|LOC140680271","LOC140680271"
"gene-ULK2|ULK2","ULK2"
"gene-ESRRG|ESRRG","ESRRG"
"gene-LOC100220756|LOC100220756","LOC100220756"
"gene-LRRC8B|LRRC8B","LRRC8B"
"gene-UQCRC1|UQCRC1","UQCRC1"
"gene-PRKACB|PRKACB","PRKACB"
"gene-PBLD|PBLD","PBLD"
"gene-LOC100224083|LOC100224083","LOC100224083"
"gene-HCCS|HCCS","HCCS"
"gene-SLC6A4|SLC6A4","SLC6A4"
"gene-EHD3|EHD3","EHD3"
"gene-SORBS2|SORBS2","SORBS2"
"gene-CCND2|CCND2","CCND2"
"gene-ELOVL5|ELOVL5","ELOVL5"
"gene-CPPED1|CPPED1","CPPED1"
"gene-SPTLC3|SPTLC3","SPTLC3"
"gene-ATP23|ATP23","ATP23"
"gene-SLC25A10|SLC25A10","SLC25A10"
"gene-SUCLG1|SUCLG1","SUCLG1"
"gene-BCAT1|BCAT1","BCAT1"
"gene-MXD4|MXD4","MXD4"
"gene-PTPRB|PTPRB","PTPRB"
"gene-ETFDH|ETFDH","ETFDH"
"gene-LOC100228858|LOC100228858","LOC100228858"
"gene-PGM2|PGM2","PGM2"
"gene-RNF128|RNF128","RNF128"
"gene-KHDRBS2|KHDRBS2","KHDRBS2"
"gene-OTUD6B|OTUD6B","OTUD6B"
"gene-FDX1|FDX1","FDX1"
"gene-RBP7|RBP7","RBP7"
"gene-IDH3A|IDH3A","IDH3A"
"gene-IL4R|IL4R","IL4R"
"gene-UTRN|UTRN","UTRN"
"gene-LOC140682651|LOC140682651","LOC140682651"
"gene-VDAC3|VDAC3","VDAC3"
"gene-ITGB5|ITGB5","ITGB5"
"gene-MKNK1|MKNK1","MKNK1"
"gene-PDHA1|PDHA1","PDHA1"
"gene-SPECC1L|SPECC1L","SPECC1L"
"gene-CCND1|CCND1","CCND1"
"gene-SAMM50|SAMM50","SAMM50"
"gene-LDAH|LDAH","LDAH"
"gene-ABCD3|ABCD3","ABCD3"
"gene-VDAC2|VDAC2","VDAC2"
"gene-LOC140683943|LOC140683943","LOC140683943"
"gene-NUBPL|NUBPL","NUBPL"
"gene-MPC1|MPC1","MPC1"
"gene-DNAJC28|DNAJC28","DNAJC28"
"gene-SEC22C|SEC22C","SEC22C"
"gene-ATL1|ATL1","ATL1"
"gene-NAA50|NAA50","NAA50"
"gene-NCOR2|NCOR2","NCOR2"
"gene-ARRDC4|ARRDC4","ARRDC4"
"gene-CPT1A|CPT1A","CPT1A"
"gene-AP3M1|AP3M1","AP3M1"
"gene-MKLN1|MKLN1","MKLN1"
"gene-LOC100223131|LOC100223131","LOC100223131"
"gene-MPP7|MPP7","MPP7"
"gene-SLC8B1|SLC8B1","SLC8B1"
"gene-GCGR|GCGR","GCGR"
"gene-EVA1B|EVA1B","EVA1B"
"gene-TMEM135|TMEM135","TMEM135"
"gene-RNH1|RNH1","RNH1"
"gene-RNF144B|RNF144B","RNF144B"
"gene-LOC100219136|LOC100219136","LOC100219136"
"gene-NUP50|NUP50","NUP50"
"gene-CDH4|CDH4","CDH4"
"gene-AGBL1|AGBL1","AGBL1"
"gene-REEP3|REEP3","REEP3"
"gene-SLC19A1|SLC19A1","SLC19A1"
