"GeneID","Symbol"
"gene-UCK2|UCK2","UCK2"
"gene-PLN|PLN","PLN"
"gene-LOC100219254|LOC100219254","LOC100219254"
"gene-ATXN1|ATXN1","ATXN1"
"gene-SYVN1|SYVN1","SYVN1"
"gene-KHSRP|KHSRP","KHSRP"
"gene-MRTFA|MRTFA","MRTFA"
"gene-LOC100220412|LOC100220412","LOC100220412"
"gene-EGFLAM|EGFLAM","EGFLAM"
"gene-IFT80|IFT80","IFT80"
"gene-HNRNPH1|HNRNPH1","HNRNPH1"
"gene-GABRR1|GABRR1","GABRR1"
"gene-LOC100224907|LOC100224907","LOC100224907"
"gene-STAT3|STAT3","STAT3"
"gene-LOC100232025|LOC100232025","LOC100232025"
"gene-PCSK6|PCSK6","PCSK6"
"gene-LOC140680325|LOC140680325","LOC140680325"
"gene-ANKRD31|ANKRD31","ANKRD31"
"gene-LOC115494690|LOC115494690","LOC115494690"
"gene-LOC115498509|LOC115498509","LOC115498509"
"gene-BRD2|BRD2","BRD2"
"gene-LOC140683609|LOC140683609","LOC140683609"
"gene-CAMP|CAMP","CAMP"
"gene-GBF1|GBF1","GBF1"
"gene-LOC115492180|LOC115492180","LOC115492180"
"gene-SLC3A2|SLC3A2","SLC3A2"
"gene-EZR|EZR","EZR"
"gene-CFAP58|CFAP58","CFAP58"
"gene-PTPN2|PTPN2","PTPN2"
"gene-NCL|NCL","NCL"
"gene-DKC1|DKC1","DKC1"
"gene-LOC121469792|LOC121469792","LOC121469792"
"gene-SRP72|SRP72","SRP72"
"gene-LOC140684015|LOC140684015","LOC140684015"
"gene-LOC115494383|LOC115494383","LOC115494383"
"gene-FEN1|FEN1","FEN1"
"gene-NSDHL|NSDHL","NSDHL"
"gene-LOC115494875|LOC115494875","LOC115494875"
"gene-LECT2|LECT2","LECT2"
"gene-LOC115494694|LOC115494694","LOC115494694"
"gene-PGC|PGC","PGC"
"gene-TXNRD1|TXNRD1","TXNRD1"
"gene-LOC100225866|LOC100225866","LOC100225866"
"gene-LOC121470533|LOC121470533","LOC121470533"
"gene-CAP1|CAP1","CAP1"
"gene-LOC115498566|LOC115498566","LOC115498566"
"gene-LOC100228737|LOC100228737","LOC100228737"
"gene-XRCC6|XRCC6","XRCC6"
"gene-LOC100230622|LOC100230622","LOC100230622"
"gene-LOC140680792|LOC140680792","LOC140680792"
"gene-CFH|CFH","CFH"
"gene-LOC121470875|LOC121470875","LOC121470875"
"gene-THSD7B|THSD7B","THSD7B"
"gene-DNAI1|DNAI1","DNAI1"
"gene-ZMYND19|ZMYND19","ZMYND19"
