"Sample","Band","Treatment","DistToCentroid"
"ZF_4715_D_L",4715,"C",162.42
"ZF_4817_D_L",4817,"B",123.25
"ZF_4552_D_L",4552,"A",93.63
"ZF_4765_D_L",4765,"D",88.61
"ZF_4782_D_L",4782,"C",86.62
"ZF_4601_D_L",4601,"C",75.11
"ZF_4797_D_L",4797,"B",69.47
"ZF_4718_D_L",4718,"A",68.79
"ZF_4748_D_L",4748,"C",68.17
"ZF_4796_D_L",4796,"A",67.63
"ZF_4805_D_L",4805,"C",66.27
"ZF_4809_D_L",4809,"B",65.68
"ZF_4729_D_L",4729,"D",63.36
"ZF_4712_D_L",4712,"B",59.94
"ZF_4773_D_L",4773,"D",59.04
"ZF_4554_D_L",4554,"C",58.74
"ZF_4806_D_L",4806,"A",55.91
"ZF_4534_D_L",4534,"B",55.75
"ZF_4703_D_L",4703,"B",54.94
"ZF_4720_D_L",4720,"E",50.54
"ZF_4533_D_L",4533,"E",49.78
"ZF_4753_D_L",4753,"A",48.93
"ZF_4625_D_L",4625,"E",48.51
"ZF_4529_D_L",4529,"C",46.43
"ZF_4562_D_L",4562,"D",46.2
"ZF_4795_D_L",4795,"D",43.8
"ZF_4531_D_L",4531,"B",43.03
"ZF_4814_D_L",4814,"C",41.76
"ZF_4808_D_L",4808,"A",40.74
"ZF_4785_D_L",4785,"E",40.65
"ZF_4704_D_L",4704,"C",39.4
"ZF_4717_D_L",4717,"C",38.36
"ZF_4745_D_L",4745,"E",36.9
"ZF_4749_D_L",4749,"D",36
"ZF_4723_D_L",4723,"D",35.63
"ZF_4739_D_L",4739,"E",34.69
"ZF_4784_D_L",4784,"E",33.05
"ZF_4801_D_L",4801,"A",32.59
"ZF_4767_D_L",4767,"A",31.29
"ZF_4755_D_L",4755,"A",30.54
"ZF_4604_D_L",4604,"D",30
"ZF_4619_D_L",4619,"E",29.49
"ZF_4530_D_L",4530,"D",28.2
"ZF_4752_D_L",4752,"D",26.72
"ZF_4741_D_L",4741,"B",26.47
"ZF_4622_D_L",4622,"A",23.66
"ZF_4738_D_L",4738,"E",23.56
"ZF_4792_D_L",4792,"B",21.28
"ZF_4548_D_L",4548,"E",16.64
"ZF_4620_D_L",4620,"B",14.16
