"","Control","Heat","Heat_2-HR_Repair","Heat_24-HR_Repair","Heat_2-WK_Repair"
"gene-CMSS1|CMSS1",3.35456040635969,2.89642982270555,3.21313455936343,3.14358118913533,3.48258553566899
"gene-TRMT10C|TRMT10C",5.34009330147768,5.03357073796074,5.15206295825319,5.29323243338478,5.34894704665899
"gene-NFKBIZ|NFKBIZ",4.90637751730628,6.53417339004473,4.771187401551,4.38975553775933,4.76861031648591
"gene-ZPLD1|ZPLD1",2.46147909587686,4.95227438072644,4.68008253682771,2.88078860950516,2.82937535062131
"gene-ATP5PF|ATP5PF",7.24581468280979,6.77574096576476,6.56560152442293,6.69008506798574,7.06700849005641
"gene-LOC115493362|LOC115493362",2.39431971260665,3.13417260842848,2.7986347269136,2.02174149129699,2.29222261945614
"gene-MPC2|MPC2",7.57454546520141,7.17984810268584,6.95845206658826,7.25201744550428,7.71051883031479
"gene-ADAMTS5|ADAMTS5",2.19321591186458,1.97583204010441,2.2476841022775,2.64391209097233,3.57923912575372
"gene-TTF2|TTF2",3.10720812429721,4.20187114522693,4.14439955442444,3.4271686647387,3.29349292046354
"gene-NME7|NME7",2.55221065059057,2.78735108082479,2.90440189923577,2.34407230706405,2.46523436355913
"gene-GRAMD1C|GRAMD1C",5.80132099727136,5.3188989585921,5.64297625848935,5.98299441418082,5.99892551719037
"gene-B4GALT4|B4GALT4",5.5682196094588,5.11944007827654,5.07561024119908,5.39337074881501,5.12968401177841
"gene-CASQ2|CASQ2",-3.98821085765826,-3.6721186372646,-4.74039431571851,-4.85455987679058,-4.32766109633915
"gene-NDUFB4|NDUFB4",5.95853116731867,5.4601994255382,5.34066730849379,5.63299395412829,5.94164582391431
"gene-NAA50|NAA50",5.85155378171736,5.39946628713629,5.63321826408736,5.85311879163989,5.86484942712549
"gene-MLF2|MLF2",8.14006032875407,7.71264993578219,7.76395247391998,8.21826100283396,8.11421202249178
"gene-LOC100190249|LOC100190249",9.68818112165272,9.19287681364217,9.06230974891822,9.60402611257109,9.62116882533134
"gene-LOC100224083|LOC100224083",-1.52837176448366,-2.36778383315208,-2.6181064649951,-1.02948426989109,-1.66238284901413
"gene-LOC100221157|LOC100221157",-1.73521967574665,-2.18443701079525,-2.19829739923469,-0.883091136237521,-1.32420330509557
"gene-FKBP4|FKBP4",8.14878865948398,8.56240158336938,7.94409458540796,7.80447892892466,7.34819564972101
"gene-A2M|A2M",8.39707853047516,9.35012835328397,9.44554949486144,8.63582332669207,8.30668837290059
"gene-AQP11|AQP11",5.93050898286442,5.08569122248754,5.55252435028549,6.23840566712969,6.01402619854567
"gene-NDUFC2|NDUFC2",6.30946976393263,5.6846348806086,5.75748490034657,6.0507246532655,6.50365238751052
"gene-ALG8|ALG8",2.3137097814996,2.05445061244275,2.42378821414523,2.70268093668015,2.73740479489236
"gene-TMEM135|TMEM135",6.51800344211076,5.79976037460797,5.87329931621147,6.41282496233057,6.28195426432019
"gene-SLC36A4|SLC36A4",2.16787338489952,1.55319191751636,2.29106698841927,2.61884076261033,2.40907533801871
"gene-LOC100223483|LOC100223483",0.96527078289364,1.37529544555544,-0.0427310822298274,-0.443205281648688,-0.000841867804236418
"gene-MMP7|MMP7",-2.44235142220291,-1.0876150967132,-1.52916833728764,-1.56669874374841,-3.04823956792297
"gene-ACOD1|ACOD1",1.12972229075464,2.57882785061107,2.20794894762839,1.60616710108161,0.300616696204561
"gene-UCHL3|UCHL3",3.04550421058014,2.60187291441342,3.18242163487931,3.32602975055427,3.29794283711937
"gene-LOC140680325|LOC140680325",-4.30451188867824,-3.11530600136612,-4.40149251906196,-2.68309121306026,-4.68717147929486
"gene-EPSTI1|EPSTI1",5.60943855851776,6.58714213452322,5.67063202257459,5.30493835974934,5.39604365621956
"gene-HTR2A|HTR2A",1.5499626437299,0.00908776920145082,0.108153448048672,0.645436972913717,1.1469956904374
"gene-ESD|ESD",7.27246866721585,6.74452935212294,6.54652224254442,6.81320866688716,7.16961759836164
"gene-SUCLA2|SUCLA2",8.78658104707503,8.42384195145283,8.38442670409177,8.56208843327069,8.96554872125563
"gene-FOXO1|FOXO1",6.31729153222922,6.16789858803826,6.26671764521907,6.61582639362058,6.18985060153126
"gene-N4BP2L1|N4BP2L1",5.06474425718872,4.76278343336975,5.1023589362159,5.44409986582108,5.39359039145538
"gene-HSPH1|HSPH1",6.19845426058092,7.61047319377201,5.70193309786034,5.9714835794134,5.02174334639367
