"Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cluster_1","GO:0019752","carboxylic acid metabolic process","26/193","333/10343",0.0780780780780781,4.18425679565576,8.14443689134427,5.21543048078925e-10,2.89128319384346e-07,2.71344269301732e-07,"SEPHS1/ELOVL5/BCAT1/IDH3A/PDHA1/ABCD3/CPT1A/AADAT/ELOVL2/HADH/ME1/MDH1/PGK1/IDH1/ACOX1/LOC100219367/GOT1/TIGAR/ABCD2/DBI/LOC100229817/ACAT2/SCD/SDHAF3/DLAT/HACD3",26
"Cluster_1","GO:0043436","oxoacid metabolic process","26/193","336/10343",0.0773809523809524,4.14689735998026,8.08626867206971,6.33358859549498e-10,2.89128319384346e-07,2.71344269301732e-07,"SEPHS1/ELOVL5/BCAT1/IDH3A/PDHA1/ABCD3/CPT1A/AADAT/ELOVL2/HADH/ME1/MDH1/PGK1/IDH1/ACOX1/LOC100219367/GOT1/TIGAR/ABCD2/DBI/LOC100229817/ACAT2/SCD/SDHAF3/DLAT/HACD3",26
"Cluster_1","GO:0006082","organic acid metabolic process","26/193","346/10343",0.0751445086705202,4.02704483512534,7.89714217801051,1.19095430111526e-09,3.62447092306076e-07,3.40153263546603e-07,"SEPHS1/ELOVL5/BCAT1/IDH3A/PDHA1/ABCD3/CPT1A/AADAT/ELOVL2/HADH/ME1/MDH1/PGK1/IDH1/ACOX1/LOC100219367/GOT1/TIGAR/ABCD2/DBI/LOC100229817/ACAT2/SCD/SDHAF3/DLAT/HACD3",26
"Cluster_1","GO:0032787","monocarboxylic acid metabolic process","17/193","188/10343",0.0904255319148936,4.84596516370852,7.33824499420964,7.46497422208743e-08,1.70388036619146e-05,1.59907605704715e-05,"ELOVL5/PDHA1/ABCD3/CPT1A/ELOVL2/HADH/ME1/PGK1/ACOX1/TIGAR/ABCD2/DBI/LOC100229817/ACAT2/SCD/DLAT/HACD3",17
"Cluster_1","GO:0000038","very long-chain fatty acid metabolic process","6/193","20/10343",0.3,16.0772020725389,9.3063780288101,1.21769092772445e-06,0.000222350363402484,0.000208673771614253,"ELOVL5/ABCD3/ELOVL2/ACOX1/ABCD2/HACD3",6
"Cluster_1","GO:1905039","carboxylic acid transmembrane transport","7/193","34/10343",0.205882352941176,11.0333739713502,8.08027401604353,2.48047989644238e-06,0.000327130738150779,0.0003070091898942,"SLC25A10/ABCD3/MPC1/SLC19A1/SLC25A13/SFXN1/ABCD2",7
"Cluster_1","GO:0007005","mitochondrion organization","12/193","121/10343",0.0991735537190083,5.31477754464095,6.58310916406545,2.50812176019217e-06,0.000327130738150779,0.0003070091898942,"ATP23/SAMM50/NUBPL/SLC25A4/APOOL/IMMT/HIGD1A/TTC19/OPA1/RHOT1/PRKN/SDHAF3",12
"Cluster_1","GO:1903825","organic acid transmembrane transport","7/193","35/10343",0.2,10.7181347150259,7.9410445487507,3.05201370723437e-06,0.000348311064338122,0.000326886731274839,"SLC25A10/ABCD3/MPC1/SLC19A1/SLC25A13/SFXN1/ABCD2",7
"Cluster_1","GO:0006631","fatty acid metabolic process","12/193","128/10343",0.09375,5.02412564766839,6.31691789212078,4.53748372058336e-06,0.00046030251521029,0.000431989678193551,"ELOVL5/ABCD3/CPT1A/ELOVL2/HADH/ACOX1/ABCD2/DBI/LOC100229817/ACAT2/SCD/HACD3",12
"Cluster_1","GO:0006635","fatty acid beta-oxidation","6/193","29/10343",0.206896551724138,11.0877255672682,7.50112831177363,1.29736892198574e-05,0.00118449782577298,0.00111164031841725,"ABCD3/HADH/ACOX1/ABCD2/LOC100229817/ACAT2",6
"Cluster_1","GO:0019395","fatty acid oxidation","6/193","33/10343",0.181818181818182,9.74375883184173,6.9370321601876,2.84280070359089e-05,0.0023068405014934,0.00216494860000649,"ABCD3/HADH/ACOX1/ABCD2/LOC100229817/ACAT2",6
"Cluster_1","GO:0046942","carboxylic acid transport","9/193","86/10343",0.104651162790698,5.60832630437402,5.91738969131453,3.03199189681498e-05,0.0023068405014934,0.00216494860000649,"SLC25A10/RBP7/ABCD3/MPC1/SLC19A1/SLC25A13/SFXN1/ABCD2/FABP1",9
"Cluster_1","GO:0015849","organic acid transport","9/193","87/10343",0.103448275862069,5.54386278363409,5.8687245776129,3.32804329956594e-05,0.00233731040961824,0.00219354432862079,"SLC25A10/RBP7/ABCD3/MPC1/SLC19A1/SLC25A13/SFXN1/ABCD2/FABP1",9
"Cluster_1","GO:0034440","lipid oxidation","6/193","36/10343",0.166666666666667,8.93177892918825,6.57360514244162,4.77206660391885e-05,0.00299519052571625,0.00281095876858595,"ABCD3/HADH/ACOX1/ABCD2/LOC100229817/ACAT2",6
"Cluster_1","GO:0044283","small molecule biosynthetic process","13/193","188/10343",0.0691489361702128,3.70573806636534,5.16264915982809,4.92090447817566e-05,0.00299519052571625,0.00281095876858595,"SEPHS1/GCH1/ELOVL5/SPTLC3/BCAT1/PGM2/ELOVL2/ADK/PGK1/PDSS2/GOT1/SCD/HACD3",13
"Cluster_1","GO:0015711","organic anion transport","10/193","115/10343",0.0869565217391304,4.66005857175039,5.44238794574307,5.52894024854926e-05,0.00315495152932842,0.00296089300152572,"SLC25A10/RBP7/ABCD3/MPC1/SLC19A1/SLC25A13/SLC25A4/SFXN1/ABCD2/FABP1",10
"Cluster_1","GO:0033108","mitochondrial respiratory chain complex assembly","6/193","38/10343",0.157894736842105,8.46168530133624,6.35407927590792,6.55714615543531e-05,0.00352157319994849,0.00330496406843612,"ATP23/SAMM50/NUBPL/HIGD1A/TTC19/SDHAF3",6
