"Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cluster_1","GO:0005740","mitochondrial envelope","19/184","175/10160",0.108571428571429,5.99503105590062,9.0518917967912,3.33317253797679e-10,6.13303746987729e-08,5.89445248821158e-08,"SLC25A3/ETFDH/VDAC3/VDAC2/MPC1/RNF144B/NDUFC2/CYCS/PRELID3B/SLC25A4/LETM1/APOOL/SFXN1/IMMT/TTC19/OPA1/RHOT1/SDHAF3/SLC25A26",19
"Cluster_1","GO:0031966","mitochondrial membrane","16/184","156/10160",0.102564102564103,5.66332218506132,7.97126139118266,2.02593368880239e-08,1.8638589936982e-06,1.79135189325685e-06,"SLC25A3/ETFDH/VDAC3/VDAC2/MPC1/RNF144B/NDUFC2/SLC25A4/LETM1/APOOL/SFXN1/IMMT/TTC19/OPA1/RHOT1/SLC25A26",16
"Cluster_1","GO:0031967","organelle envelope","20/184","269/10160",0.0743494423791822,4.10538225311136,7.01014945658457,8.05237846225888e-08,4.93879212351878e-06,4.74666519880523e-06,"SLC25A3/ETFDH/VDAC3/VDAC2/MPC1/RNF144B/NUP50/NDUFC2/CYCS/PRELID3B/SLC25A4/LETM1/APOOL/SFXN1/IMMT/TTC19/OPA1/RHOT1/SDHAF3/SLC25A26",20
"Cluster_1","GO:0005743","mitochondrial inner membrane","11/184","95/10160",0.115789473684211,6.39359267734554,7.17280839831478,1.06135448535901e-06,4.88223063265144e-05,4.69230404053456e-05,"SLC25A3/ETFDH/MPC1/NDUFC2/SLC25A4/LETM1/APOOL/SFXN1/IMMT/TTC19/SLC25A26",11
"Cluster_1","GO:0019866","organelle inner membrane","11/184","110/10160",0.1,5.52173913043478,6.4755250301459,4.57909019909664e-06,0.000168510519326756,0.000161955190199629,"SLC25A3/ETFDH/MPC1/NDUFC2/SLC25A4/LETM1/APOOL/SFXN1/IMMT/TTC19/SLC25A26",11
"Cluster_3","GO:0000786","nucleosome","11/154","38/10160",0.289473684210526,19.0977443609023,13.865600162263,5.73379826634808e-12,7.1672478329351e-10,6.69949060594355e-10,"LOC100221944/LOC100229197/LOC115493337/LOC100221480/LOC100220543/LOC100223493/LOC115493503/LOC115493339/LOC121469108/LOC115496993/LOC100226305",11
"Cluster_3","GO:0032993","protein-DNA complex","11/154","66/10160",0.166666666666667,10.995670995671,10.1066647971181,3.55667700704689e-09,2.2229231294043e-07,2.07784814622213e-07,"LOC100221944/LOC100229197/LOC115493337/LOC100221480/LOC100220543/LOC100223493/LOC115493503/LOC115493339/LOC121469108/LOC115496993/LOC100226305",11
"Cluster_3","GO:0005789","endoplasmic reticulum membrane","12/154","253/10160",0.0474308300395257,3.12920281299728,4.25463003552997,0.000457935416774032,0.0121347563835904,0.0113428038617139,"DERL3/RRBP1/SELENOS/MACO1/CALR/SLC51A/SEL1L/SARAF/CANX/SEC61B/SLC35B1/ARL6IP1",12
"Cluster_3","GO:0000785","chromatin","12/154","255/10160",0.0470588235294118,3.10466004583652,4.22260442252836,0.000491459616121266,0.0121347563835904,0.0113428038617139,"LOC100221944/LOC100229197/LOC115493337/LOC100221480/LOC100220543/LOC100223493/HMGN2/LOC115493503/LOC115493339/LOC121469108/LOC115496993/LOC100226305",12
"Cluster_3","GO:0042175","nuclear outer membrane-endoplasmic reticulum membrane network","12/154","257/10160",0.046692607003891,3.0804992672697,4.19089066336522,0.000527032240084239,0.0121347563835904,0.0113428038617139,"DERL3/RRBP1/SELENOS/MACO1/CALR/SLC51A/SEL1L/SARAF/CANX/SEC61B/SLC35B1/ARL6IP1",12
"Cluster_3","GO:0098827","endoplasmic reticulum subcompartment","12/154","260/10160",0.0461538461538462,3.04495504495505,4.14389204839858,0.000584448273424287,0.0121347563835904,0.0113428038617139,"DERL3/RRBP1/SELENOS/MACO1/CALR/SLC51A/SEL1L/SARAF/CANX/SEC61B/SLC35B1/ARL6IP1",12
"Cluster_3","GO:0005791","rough endoplasmic reticulum","3/154","12/10160",0.25,16.4935064935065,6.66201649337145,0.000679546357481061,0.0121347563835904,0.0113428038617139,"MACO1/SEC61B/ARL6IP1",3
"Cluster_3","GO:0140534","endoplasmic reticulum protein-containing complex","5/154","61/10160",0.0819672131147541,5.40770704705131,4.28345338138817,0.00225279476481853,0.032746743332193,0.0306095874515657,"DERL3/SELENOS/HYOU1/SEC61B/ARL6IP1",5
"Cluster_3","GO:0005788","endoplasmic reticulum lumen","3/154","18/10160",0.166666666666667,10.995670995671,5.26552881549231,0.0023577655199179,0.032746743332193,0.0306095874515657,"PDIA4/ERLEC1/PDIA6",3
"Cluster_3","GO:0031984","organelle subcompartment","13/154","366/10160",0.0355191256830601,2.3433397203889,3.24714693036154,0.00370789440848952,0.046348680106119,0.0433238188781407,"DERL3/RRBP1/SELENOS/MACO1/CALR/SLC51A/SEL1L/SARAF/CANX/SEC61B/SLC35B1/ARL6IP1/TEPSIN",13
"Cluster_5","GO:0005740","mitochondrial envelope","9/95","175/10160",0.0514285714285714,5.50015037593985,5.83381172815398,3.58097664178784e-05,0.00386745477313086,0.00358097664178784,"MPC2/SLC25A20/CISD1/COX6A1/COQ9/MICOS13/SDHD/SDHB/NDUFA7",9
"Cluster_5","GO:0031967","organelle envelope","10/95","269/10160",0.0371747211895911,3.97573860301311,4.80541844685419,0.000199472687499559,0.0107715251249762,0.00997363437497794,"MPC2/SLC25A20/CISD1/RANBP3L/COX6A1/COQ9/MICOS13/SDHD/SDHB/NDUFA7",10
"Cluster_5","GO:0031966","mitochondrial membrane","7/95","156/10160",0.0448717948717949,4.79892037786775,4.64532433891189,0.000627457115462724,0.0225884561566581,0.0209152371820908,"MPC2/CISD1/COX6A1/COQ9/MICOS13/SDHB/NDUFA7",7
"Cluster_6","GO:0043292","contractile muscle fiber","8/92","61/10160",0.131147540983607,14.4832501781896,10.0964364169112,6.60084922395932e-08,7.45895962307403e-06,6.53136660054922e-06,"MYL1/ACTC1/TNNT3/ACTA1/CSRP3/TCAP/MYOZ3/CASQ2",8
"Cluster_6","GO:0030017","sarcomere","7/92","53/10160",0.132075471698113,14.5857260049221,9.47888913728559,4.35264452006493e-07,2.45924415383669e-05,2.1534136046637e-05,"ACTC1/TNNT3/ACTA1/CSRP3/TCAP/MYOZ3/CASQ2",7
"Cluster_6","GO:0030016","myofibril","7/92","59/10160",0.11864406779661,13.10243183493,8.9117758775924,9.21822285142884e-07,3.4721972740382e-05,3.04039630889232e-05,"ACTC1/TNNT3/ACTA1/CSRP3/TCAP/MYOZ3/CASQ2",7
"Cluster_6","GO:0030018","Z disc","4/92","34/10160",0.117647058823529,12.9923273657289,6.69532653614752,0.000237186723865958,0.00569068260760753,0.00498299175701079,"CSRP3/TCAP/MYOZ3/CASQ2",4
"Cluster_6","GO:0031674","I band","4/92","36/10160",0.111111111111111,12.2705314009662,6.4754114054881,0.000297130668470646,0.00569068260760753,0.00498299175701079,"CSRP3/TCAP/MYOZ3/CASQ2",4
"Cluster_6","GO:0016460","myosin II complex","3/92","15/10160",0.2,22.0869565217391,7.81234289462382,0.000302160138457037,0.00569068260760753,0.00498299175701079,"MYL1/TNNC1/CALML4",3
"Cluster_6","GO:0099512","supramolecular fiber","8/92","258/10160",0.0310077519379845,3.42433434445568,3.77041102237317,0.00229331886755387,0.0331812238075051,0.0290548210331205,"MYL1/ACTC1/TNNT3/ACTA1/CSRP3/TCAP/MYOZ3/CASQ2",8
