"Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cluster_3","GO:0030527","structural constituent of chromatin","11/148","34/10501",0.323529411764706,22.9552861685215,15.330624584803,6.49341816456933e-13,1.57140719582578e-10,1.47639823531261e-10,"LOC100221944/LOC100229197/LOC115493337/LOC100221480/LOC100220543/LOC100223493/LOC115493503/LOC115493339/LOC121469108/LOC115496993/LOC100226305",11
"Cluster_3","GO:0046982","protein heterodimerization activity","11/148","72/10501",0.152777777777778,10.8399962462462,10.0168748431215,4.34044391542769e-09,5.2519371376675e-07,4.93439939859148e-07,"LOC100221944/LOC100229197/LOC115493337/LOC100221480/LOC100220543/LOC100223493/LOC115493503/LOC115493339/LOC121469108/LOC115496993/LOC100226305",11
"Cluster_3","GO:0046983","protein dimerization activity","13/148","186/10501",0.0698924731182796,4.95905986631793,6.51337863251598,2.10392417049363e-06,0.000169716549753153,0.000159455305553202,"LOC100221944/LOC100229197/LOC115493337/LOC100221480/LOC100220543/LOC100223493/LOC115493503/LOC115493339/LOC121469108/LOC115496993/ID3/LOC100226305/MAX",13
"Cluster_3","GO:0022839","monoatomic ion-gated channel activity","3/148","11/10501",0.272727272727273,19.3507371007371,7.28038778126421,0.000416628158482932,0.0221744039253507,0.0208337157367366,"KCNT2/TRPM5/TMEM63A",3
"Cluster_3","GO:0003756","protein disulfide isomerase activity","3/148","12/10501",0.25,17.7381756756757,6.93623984881891,0.000549778609719438,0.0221744039253507,0.0208337157367366,"PDIA4/PDIA3/PDIA6",3
"Cluster_3","GO:0016864","intramolecular oxidoreductase activity, transposing S-S bonds","3/148","12/10501",0.25,17.7381756756757,6.93623984881891,0.000549778609719438,0.0221744039253507,0.0208337157367366,"PDIA4/PDIA3/PDIA6",3
"Cluster_5","GO:0015078","proton transmembrane transporter activity","13/106","58/10501",0.224137931034483,22.2044567338972,16.3517351140716,1.14975303718455e-14,2.54095421217786e-12,2.1905821024253e-12,"ATP5PO/ATP5PB/ATP5PF/ATP5F1C/ATP5MF/NDUFS7/ATP5MC3/NDUFS1/ATP5F1B/ATP5PD/ATP5MC1/ATP5MG/NDUFV1",13
"Cluster_5","GO:0046933","proton-transporting ATP synthase activity, rotational mechanism","7/106","11/10501",0.636363636363636,63.0420240137221,20.7888225070335,2.79033854146893e-12,3.08332408832317e-10,2.65816461055724e-10,"ATP5PO/ATP5PB/ATP5F1C/ATP5MF/ATP5F1B/ATP5PD/ATP5MG",7
"Cluster_5","GO:0015252","proton channel activity","7/106","15/10501",0.466666666666667,46.2308176100629,17.7015165909622,5.26375789106192e-11,3.87763497974895e-09,3.34294799397266e-09,"ATP5PO/ATP5PB/ATP5F1C/ATP5MF/ATP5F1B/ATP5PD/ATP5MG",7
"Cluster_5","GO:0009055","electron transfer activity","5/106","13/10501",0.384615384615385,38.1023222060958,13.5164226918081,1.15039411434392e-07,6.35592748175017e-06,5.47950880779605e-06,"NDUFS7/NDUFS1/ETFA/SDHB/NDUFV1",5
