"Cluster","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cluster_1","Metabolism","Global and overview maps","tgu01210","2-Oxocarboxylic acid metabolism","7/106","23/4265",0.304347826086957,12.2456931911403,8.63240658068477,8.48699463695464e-07,0.000105238733498238,9.20168892217188e-05,"100225395/100190682/100225079/100228964/100220748/100218937/100221470",7
"Cluster_1","Metabolism","Global and overview maps","tgu01200","Carbon metabolism","11/106","80/4265",0.1375,5.53242924528302,6.53273988150966,3.31814588001951e-06,0.00020572504456121,0.000179878434548426,"100224467/100190682/100225079/100219269/100190381/100232264/100220748/100230333/100218937/100224772/100221470",11
"Cluster_1","Metabolism","Carbohydrate metabolism","tgu00020","Citrate cycle (TCA cycle)","6/106","22/4265",0.272727272727273,10.9734133790738,7.48661870667834,1.10431324930137e-05,0.000412583368140758,0.00036074776671051,"100224467/100190682/100225079/100190381/100220748/100221470",6
"Cluster_1","Metabolism","Global and overview maps","tgu01212","Fatty acid metabolism","8/106","46/4265",0.173913043478261,6.99753896636587,6.52851343067829,1.33091409077664e-05,0.000412583368140758,0.00036074776671051,"100230721/100226785/100190615/100231239/100230333/100224772/100229833/100222541",8
"Cluster_1","Metabolism","Lipid metabolism","tgu01040","Biosynthesis of unsaturated fatty acids","5/106","21/4265",0.238095238095238,9.57996406109613,6.29179405811778,0.00012784325673261,0.00317051276696874,0.00277218009335976,"100230721/100190615/100230333/100229833/100222541",5
"Cluster_1","Metabolism","Carbohydrate metabolism","tgu00620","Pyruvate metabolism","5/106","27/4265",0.185185185185185,7.45108315863033,5.36785921158182,0.000450361017428278,0.00930746102685108,0.0081381025956338,"100225079/100219269/100190381/100224772/100221470",5
"Cluster_1","Metabolism","Carbohydrate metabolism","tgu00010","Glycolysis / Gluconeogenesis","5/106","31/4265",0.161290322580645,6.48965307364577,4.89685664189881,0.000875825651470057,0.015514625826041,0.0135654198648746,"100221811/100225079/100232264/100225117/100221470",5
"Cluster_1","Metabolism","Lipid metabolism","tgu00062","Fatty acid elongation","4/106","19/4265",0.210526315789474,8.47070506454816,5.20973301328165,0.00104782218333079,0.0162412438416273,0.0142007480109305,"100230721/100190615/100231239/100222541",4
"Cluster_1","Organismal Systems","Endocrine system","tgu03320","PPAR signaling pathway","6/106","51/4265",0.117647058823529,4.73362930077691,4.28189574572173,0.0014849460852811,0.020459257174984,0.0178888241852577,"100226785/100219269/100230333/100227345/100190430/100229833",6
"Cluster_1","Metabolism","Global and overview maps","tgu01230","Biosynthesis of amino acids","5/106","42/4265",0.119047619047619,4.78998203054807,3.94020053642748,0.00353085694072794,0.0437826260650264,0.038281922620524,"100225395/100190682/100232264/100220748/100218937",5
"Cluster_1","Metabolism","Lipid metabolism","tgu00071","Fatty acid degradation","4/106","27/4265",0.148148148148148,5.96086652690426,4.12787006911329,0.00407214914059836,0.0459042266758361,0.0401369723905868,"100226785/100231239/100230333/100224772",4
"Cluster_3","Genetic Information Processing","Folding, sorting and degradation","tgu04141","Protein processing in endoplasmic reticulum","20/74","127/4265",0.15748031496063,9.07639923387955,12.2769368997603,1.0208799993142e-14,7.65659999485648e-13,7.65659999485648e-13,"100217667/100190262/100225821/100190272/100232043/100217698/100190479/100225681/100222913/100228575/100229535/100221840/100221810/101234078/100231514/100232562/100221388/100190240/100229780/100223400",20
"Cluster_5","Metabolism","Energy metabolism","tgu00190","Oxidative phosphorylation","33/79","80/4265",0.4125,22.2697784810127,26.3804840979216,5.79990314902057e-39,4.23392929878501e-37,3.78519994988711e-37,"100190392/100220589/100190523/100229691/100219261/100190221/100190740/100190435/100190122/100190425/100223708/100220458/100219756/100190724/100221153/100190339/100190396/100232347/100190275/100190640/100218328/100232751/100221387/100231893/100190504/100223119/100230773/100190489/100190674/115490854/100228353/115490907/100190134",33
"Cluster_5","Organismal Systems","Circulatory system","tgu04260","Cardiac muscle contraction","8/79","43/4265",0.186046511627907,10.0441566087724,8.18777159139245,8.31321719847802e-07,3.03432427744448e-05,2.71273403318756e-05,"100229691/100219261/100219756/100190396/100218328/100232751/100231893/100223119",8
"Cluster_5","Metabolism","Global and overview maps","tgu01200","Carbon metabolism","10/79","80/4265",0.125,6.74841772151899,7.12964840823873,1.53986862253804e-06,3.74701364817589e-05,3.34988963499503e-05,"100227336/100217618/100190484/100224460/100227287/100226063/100231891/100225815/100190674/115497373",10
"Cluster_5","Metabolism","Carbohydrate metabolism","tgu00020","Citrate cycle (TCA cycle)","5/79","22/4265",0.227272727272727,12.2698504027618,7.27973394672159,3.94974410068403e-05,0.000720828298374836,0.000644431932216868,"100227336/100217618/100190484/100227287/100190674",5
"Cluster_5","Metabolism","Amino acid metabolism","tgu00270","Cysteine and methionine metabolism","5/79","31/4265",0.161290322580645,8.70763576970192,5.91628566151326,0.00022364721012152,0.00326524926777419,0.00291918463737563,"100190484/100231507/100190518/100226707/115497373",5
"Cluster_6",NA,NA,"tgu04156","Integrated stress response (ISR) signaling pathway","4/40","36/4265",0.111111111111111,11.8472222222222,6.35881488657252,0.000314836030541317,0.00933426468818499,0.00850287269166649,"100223479/100218236/100219118/100190406",4
"Cluster_6","Cellular Processes","Cell motility","tgu04820","Cytoskeleton in muscle cells","7/40","147/4265",0.0476190476190476,5.07738095238095,4.89465429087085,0.000359010180314807,0.00933426468818499,0.00850287269166649,"100190595/100229664/100222975/100222022/100231853/100229240/100222376",7
"Cluster_6","Organismal Systems","Circulatory system","tgu04260","Cardiac muscle contraction","4/40","43/4265",0.0930232558139535,9.91860465116279,5.71869932523058,0.000629124942034579,0.0109048323285994,0.00993355171633545,"100229664/100220193/100222022/100229314",4
"Cluster_6","Organismal Systems","Circulatory system","tgu04261","Adrenergic signaling in cardiomyocytes","5/40","98/4265",0.0510204081632653,5.44005102040816,4.32627861911164,0.00201096577767125,0.0261425551097262,0.0238140684197911,"100229664/100220193/100222022/100219636/100218950",5
"Cluster_6","Cellular Processes","Cell motility","tgu04814","Motor proteins","5/40","106/4265",0.0471698113207547,5.02948113207547,4.08726537347899,0.00284065708592715,0.0295428336936424,0.0269114881824678,"100190595/100229664/100222975/100222022/100231853",5
