"Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cluster_1","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION","26/101","192/3527",0.135416666666667,4.72885726072607,9.12192749231046,6.97349416099117e-12,3.13807237244603e-10,2.64258726100718e-10,"SLC25A3/UQCRC1/HCCS/SUCLG1/ETFDH/FDX1/IDH3A/VDAC3/PDHA1/VDAC2/MPC1/CPT1A/NDUFV2/UQCRFS1/NDUFC2/MDH1/CYCS/SLC25A4/IDH1/NDUFS3/MRPL15/IMMT/ATP6V1H/OPA1/RHOT1/DLAT",26
"Cluster_1","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM","16/101","129/3527",0.124031007751938,4.33126103308005,6.61759209853131,4.63164530333948e-07,1.04212019325138e-05,8.77574899580113e-06,"HCCS/ELOVL5/SUCLG1/ETFDH/PDHA1/CPT1A/GPD2/AADAT/HADH/FMO1/ME1/MDH1/IDH1/ACOX1/FABP1/ACAT2",16
"Cluster_1","HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS","17/101","178/3527",0.0955056179775281,3.33513182778952,5.48873157505079,8.0414937051413e-06,0.00012062240557712,0.000101576762591259,"UQCRC1/SLC25A10/SUCLG1/IDH3A/SAMM50/SLC19A1/GPD2/HADH/ME1/IDH1/NDUFS3/ACOX1/MRPL15/IMMT/DDT/DLAT/GADD45A",17
"Cluster_1","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM","12/101","146/3527",0.0821917808219178,2.87020208870202,3.96232907968933,0.000796168855142642,0.00838112406904394,0.00705778868972122,"GCH1/ELOVL5/BCAT1/ETFDH/FMO1/IDH1/ACOX1/DDT/ABCD2/LEAP2/FABP1/COMT",12
"Cluster_1","HALLMARK_PEROXISOME","HALLMARK_PEROXISOME","9/101","90/3527",0.1,3.49207920792079,4.11151133570448,0.000931236007671549,0.00838112406904394,0.00705778868972122,"ELOVL5/ABCD3/SLC25A4/IDH1/ACOX1/NUDT19/DIO1/ABCD2/ESR2",9
"Cluster_3","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","9/56","106/3527",0.0849056603773585,5.34754043126685,5.77202077729292,3.31650401540885e-05,0.00129343656600945,0.00125678046899704,"HSP90B1/HYOU1/CALR/XBP1/ATF6/DNAJC3/FKBP14/FUS/PDIA6",9
"Cluster_5","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION","49/80","192/3527",0.255208333333333,11.2514973958333,22.251306026493,7.70049315364392e-44,2.07913315148386e-42,1.94538774407846e-42,"SUCLA2/ATP5PO/FH/MDH2/NDUFA4/COX7A2/UQCRB/ATP5PB/ATP5PF/NDUFS2/NDUFB8/ATP5F1C/SLC25A20/ATP5MF/PRDX3/NDUFS7/ATP5MC3/NDUFS1/COX7B/NDUFB4/ATP5F1B/ACO2/ETFA/NDUFB5/UQCR10/ATP5PD/NDUFB6/NDUFA5/UQCRH/UQCRC2/COX6A1/NDUFA2/CYC1/ATP5MC1/MRPS15/COX4I1/ACADM/UQCRQ/ATP5MG/SLC25A11/COX6C/NDUFA9/TIMM13/SDHD/NDUFAB1/SDHB/NDUFV1/NDUFA7/NDUFA8",49
"Cluster_5","HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS","18/80","178/3527",0.101123595505618,4.45828651685393,7.21238505194183,4.40096229577523e-08,5.94129909929655e-07,5.55911026834765e-07,"ATP5PO/MDH2/PRDX3/ACADL/COX7B/ACO2/UQCR10/NDUFA5/COX6A1/CYC1/COQ9/ACADM/UQCRQ/CHCHD10/NDUFAB1/SDHB/PGM1/SCARB1",18
"Cluster_6","HALLMARK_MYOGENESIS","HALLMARK_MYOGENESIS","10/49","159/3527",0.0628930817610063,4.52701835451162,5.40125455586722,4.6869075487421e-05,0.00132384686567762,0.0011757850451742,"MYL1/ACTC1/PYGM/TNNT3/TNNC1/ACTA1/CSRP3/TCAP/CASQ2/GABARAPL2",10
"Cluster_6","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","8/49","106/3527",0.0754716981132075,5.43242202541394,5.49910364266968,8.27404291048514e-05,0.00132384686567762,0.0011757850451742,"EIF2AK3/HSPA5/BAG3/NABP1/DNAJA4/H2AX/CHAC1/HERPUD1",8
"Cluster_6","HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_UP","7/49","128/3527",0.0546875,3.93638392857143,4.01621215427657,0.00169427378651243,0.0180722537227993,0.0160510148195915,"HSPA2/H2AX/STIP1/SQSTM1/HMOX1/BTG2/FKBP4",7
