"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0045333","cellular respiration",64,-0.808901453660715,-2.6556488337107,1e-10,1.985e-08,1.60947368421053e-08,1962,"tags=72%, list=12%, signal=64%","NDUFV3/SDHC/COX6A1/SDHB/SUCLG2/NDUFS6/NDUFB9/NDUFV1/IDH3B/CHCHD5/NDUFA8/UQCRH/SDHA/ACO1/NDUFS8/COQ10A/SDHD/NDUFS7/UQCR10/COX7B/NDUFB8/NDUFS2/ATP5MF/NDUFAF1/NDUFB6/SUCLG1/ACLY/NDUFC2/NDUFA5/SUCLA2/COX7A2/FH/OGDH/ACO2/IREB2/ATP5F1B/ATP5PO/NDUFV2/MDH1/NDUFS1/NDUFA10/MDH2/DLST/CYCS/IDH3A/CS"
"GO:0015980","energy derivation by oxidation of organic compounds",88,-0.759744682778446,-2.65475220116246,1e-10,1.985e-08,1.60947368421053e-08,1962,"tags=60%, list=12%, signal=54%","NDUFV3/SDHC/GBE1/COX6A1/PYGL/SDHB/PHKB/SUCLG2/NDUFS6/NDUFB9/NDUFV1/IDH3B/CHCHD5/NDUFA8/UQCRH/SDHA/ACO1/NDUFS8/COQ10A/SDHD/NDUFS7/UQCR10/COX7B/NDUFB8/NDUFS2/ATP5MF/PHKG1/NDUFAF1/NDUFB6/SUCLG1/ACLY/NDUFC2/INPP5K/NDUFA5/PHKA2/SUCLA2/COX7A2/FH/OGDH/ACO2/IREB2/ATP5F1B/ATP5PO/NDUFV2/MDH1/NDUFS1/NDUFA10/PYGM/MDH2/DLST/CYCS/IDH3A/CS"
"GO:0009060","aerobic respiration",59,-0.820996526629851,-2.64267384796789,1e-10,1.985e-08,1.60947368421053e-08,1962,"tags=73%, list=12%, signal=65%","NDUFV3/SDHC/COX6A1/SDHB/SUCLG2/NDUFS6/NDUFB9/NDUFV1/IDH3B/NDUFA8/UQCRH/SDHA/ACO1/NDUFS8/SDHD/NDUFS7/UQCR10/COX7B/NDUFB8/NDUFS2/ATP5MF/NDUFAF1/NDUFB6/SUCLG1/ACLY/NDUFC2/SUCLA2/COX7A2/FH/OGDH/ACO2/IREB2/ATP5F1B/ATP5PO/NDUFV2/MDH1/NDUFS1/NDUFA10/MDH2/DLST/CYCS/IDH3A/CS"
"GO:0006091","generation of precursor metabolites and energy",125,-0.709930324904499,-2.61460181437358,1e-10,1.985e-08,1.60947368421053e-08,1962,"tags=54%, list=12%, signal=48%","NDUFV3/SDHC/NDUFS4/GBE1/COX6A1/GPI/PYGL/SDHB/PHKB/SUCLG2/NDUFS6/TKT/NDUFB9/NDUFV1/IDH3B/TPI1/CHCHD5/NDUFA8/UQCRH/RPIA/TIGAR/PKM/PGAM1/SDHA/ENO1/ACO1/NDUFS8/COQ10A/SDHD/NDUFS7/UQCR10/COX7B/NDUFB8/NDUFS2/ATP5MF/PHKG1/NDUFAF1/NDUFB6/PFKM/SUCLG1/ACLY/NDUFC2/NNT/INPP5K/NDUFA5/PHKA2/SUCLA2/COX7A2/FH/OGDH/FDX1/ACO2/IREB2/ETFDH/ATP5F1B/ATP5PO/NDUFV2/MDH1/NDUFS1/NDUFA10/PYGM/MDH2/DLST/CYCS/IDH3A/CS/PGK1"
"GO:0007005","mitochondrion organization",121,-0.635645203067976,-2.33979427227795,1e-10,1.985e-08,1.60947368421053e-08,2219,"tags=42%, list=13%, signal=37%","STOML2/MFF/CHCHD2/HIGD2A/PGAM5/PDE2A/NDUFB2/NDUFA11/SLC25A46/MICOS13/ATPAF1/VAT1/PRKN/ATPAF2/CHCHD10/TWNK/NDUFAF7/RAB5IF/MIGA2/NDUFAF4/SLC25A33/APOOL/NDUFS8/SDHAF3/PPIF/NDUFS7/AIFM1/NDUFAF1/LONP1/LOC100221073/MFN2/CHCHD3/MIEF1/NDUFA12/TTC19/DNAJC11/MTX2/PHB1/COX7A2/OPA1/IMMT/RHOT1/CHCHD7/DNM1L/MFN1/SAMM50/MIEF2/HIGD1A/SLC25A4/ATP23/NUBPL"
"GO:0072521","purine-containing compound metabolic process",194,-0.551389818111456,-2.15296734370435,1e-10,1.985e-08,1.60947368421053e-08,2543,"tags=36%, list=15%, signal=31%","COASY/ANTKMT/ADCY1/NAPRT/ALDOC/AMPD3/PGD/LOC115495423/PANK1/AMPD2/LOC100224870/PDE2A/ADSL/GPI/HAAO/NADK2/ATP5ME/SUCLG2/GUCY2C/ATP6V1A/TKT/ACSS1/ACOT8/TPI1/ACSL5/PAPSS1/GNMT/ACSS2/RPIA/TIGAR/PKM/PGAM1/ENO1/PANK4/ATP5MF/ATP5MC3/IMPDH2/PFKM/ATP5PB/IDH1/ACLY/PANK3/NNT/PARG/ATP5PD/PPCS/PDHB/SUCLA2/ATP5F1A/NUDT15/PDHX/ATP5PF/DLAT/ATP5F1C/ATP5MC1/SLC25A13/MVD/SLC25A12/SAMHD1/ATP5F1B/ATP5PO/MDH1/ADK/ENPP1/LOC100219367/LOC101233080/PDHA1/PGM2/PGK1"
"GO:0043436","oxoacid metabolic process",336,-0.512691978393839,-2.11965111129064,1e-10,1.985e-08,1.60947368421053e-08,2232,"tags=33%, list=13%, signal=29%","ACACB/LOC115492298/LOC115495423/LOC100222166/ETFB/DDAH1/LOC100224870/ALOX5/CPT2/ASNSD1/HGD/LOC100227392/UROC1/PC/ACACA/AMACR/RGN/ELOVL1/GPAM/LOC100223914/ACADS/LPIN2/GPI/HAAO/HADHA/WDTC1/NDUFAB1/ACSS1/AMT/SLC25A44/PEX2/ACOT8/GCAT/IDH3B/TPI1/HACD2/ACBD5/CDO1/AFMID/CPT1B/ACSL5/AS3MT/MTRR/PAPSS1/LOC121469393/GNMT/ACSS2/TIGAR/PKM/PGAM1/ACOX2/DECR1/ENO1/ACO1/LOC100222299/HIBCH/ABHD2/AADAT/GCSH/LOC100230413/GNPDA2/SDHAF3/PPARG/ELOVL6/GATM/SDSL/EHHADH/ABCD2/FGFR4/HADH/PFKM/EGLN1/IDH1/SRR/BLMH/ACADL/ACLY/ACSL1/FASN/PDHB/HACD3/ETFA/PDHX/ALDH8A1/DLAT/LOC100225196/FH/LOC100229817/IREB2/DBI/ACAT2/PSAT1/ACOX1/MDH1/SCD/LOC100219367/LOC101233080/ABCD3/ME1/ELOVL2/GOT1/MDH2/PDHA1/BCAT1/IDH3A/CS/PGK1/CPT1A/ELOVL5/SEPHS1"
"GO:0019752","carboxylic acid metabolic process",333,-0.513648525907313,-2.11906964563231,1e-10,1.985e-08,1.60947368421053e-08,2232,"tags=33%, list=13%, signal=29%","ACACB/LOC115492298/LOC115495423/LOC100222166/ETFB/DDAH1/LOC100224870/ALOX5/CPT2/ASNSD1/HGD/LOC100227392/UROC1/PC/ACACA/AMACR/RGN/ELOVL1/GPAM/LOC100223914/ACADS/LPIN2/GPI/HAAO/HADHA/WDTC1/NDUFAB1/ACSS1/AMT/SLC25A44/PEX2/ACOT8/GCAT/IDH3B/TPI1/HACD2/ACBD5/CDO1/AFMID/CPT1B/ACSL5/AS3MT/MTRR/LOC121469393/GNMT/ACSS2/TIGAR/PKM/PGAM1/ACOX2/DECR1/ENO1/ACO1/LOC100222299/HIBCH/ABHD2/AADAT/GCSH/LOC100230413/GNPDA2/SDHAF3/PPARG/ELOVL6/GATM/SDSL/EHHADH/ABCD2/FGFR4/HADH/PFKM/EGLN1/IDH1/SRR/BLMH/ACADL/ACLY/ACSL1/FASN/PDHB/HACD3/ETFA/PDHX/ALDH8A1/DLAT/LOC100225196/FH/LOC100229817/IREB2/DBI/ACAT2/PSAT1/ACOX1/MDH1/SCD/LOC100219367/LOC101233080/ABCD3/ME1/ELOVL2/GOT1/MDH2/PDHA1/BCAT1/IDH3A/CS/PGK1/CPT1A/ELOVL5/SEPHS1"
"GO:0006082","organic acid metabolic process",346,-0.503533000004135,-2.08679816328317,1e-10,1.985e-08,1.60947368421053e-08,2232,"tags=32%, list=13%, signal=28%","ACACB/LOC115492298/LOC115495423/LOC100222166/ETFB/DDAH1/LOC100224870/ALOX5/CPT2/ASNSD1/HGD/LOC100227392/UROC1/PC/ACACA/AMACR/RGN/ELOVL1/GPAM/LOC100223914/ACADS/LPIN2/GPI/HAAO/HADHA/WDTC1/NDUFAB1/ACSS1/AMT/SLC25A44/PEX2/ACOT8/GCAT/IDH3B/TPI1/HACD2/ACBD5/CDO1/AFMID/CPT1B/ACSL5/AS3MT/MTRR/PAPSS1/LOC121469393/GNMT/ACSS2/TIGAR/PKM/PGAM1/ACOX2/DECR1/ENO1/ACO1/LOC100222299/HIBCH/ABHD2/AADAT/GCSH/LOC100230413/GNPDA2/SDHAF3/PPARG/ELOVL6/GATM/SDSL/EHHADH/ABCD2/FGFR4/HADH/PFKM/EGLN1/IDH1/SRR/BLMH/ACADL/ACLY/ACSL1/FASN/LOC100224630/PDHB/HACD3/ETFA/PDHX/ALDH8A1/DLAT/LOC100225196/FH/LOC100229817/IREB2/DBI/ACAT2/PSAT1/ACOX1/MDH1/SCD/LOC100219367/LOC101233080/ABCD3/ME1/ELOVL2/GOT1/MDH2/PDHA1/BCAT1/IDH3A/CS/PGK1/CPT1A/ELOVL5/SEPHS1"
"GO:0019637","organophosphate metabolic process",447,-0.436061697608421,-1.844661303077,1e-10,1.985e-08,1.60947368421053e-08,2288,"tags=27%, list=13%, signal=24%","ABHD12B/CTPS2/AMPD3/PGD/UMPS/PIGV/LOC115495423/PANK1/AMPD2/CTPS1/LOC100224870/MTMR1/PIP4P2/GDE1/PDXK/TGDS/SOCS7/CMPK1/PDE2A/PMM2/GPAM/INPP5B/ADSL/GPI/ACP6/HAAO/PIK3C3/NADK2/GPD1L/ATP5ME/SUCLG2/GUCY2C/ATP6V1A/TKT/ACSS1/PLPP5/DPM1/ACOT8/CETP/TPI1/PLBD2/PIGY/LOC100226902/ACSL5/PIGN/LOC100229594/PGAP1/PAPSS1/IPMK/ACSS2/CLN8/RPIA/PPIP5K2/MTMR9/TIGAR/SOCS5/PKM/PGAM1/FDFT1/ENO1/PLAAT1/LOC115494036/PANK4/PLA2G12A/ENPP2/PI4K2B/PEMT/PIK3R2/SACM1L/ABHD12/ATP5MF/PGAP2/ATP5MC3/IMPDH2/PFKM/ATP5PB/PTEN/MOCS1/IDH1/ACLY/PANK3/NNT/LOC100222802/INPP5K/BPNT2/RFK/PARG/MTM1/ATP5PD/GFUS/PPCS/PDHB/SUCLA2/SOCS6/ATP5F1A/NUDT15/PDHX/BPNT1/ISYNA1/ATP5PF/DLAT/ATP5F1C/ATP5MC1/UAP1L1/SLC25A13/MVD/SLC25A12/SAMHD1/PCYT2/GMPR/ATP5F1B/ATP5PO/MDH1/ENPP1/LOC100219367/LOC101233080/PDHA1/GPD2/PGK1/AGPAT2/LOC121468661"
