"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0000786","nucleosome",38,0.853877325166618,2.49698731516003,1e-10,8.5e-09,6.94736842105263e-09,1282,"tags=71%, list=8%, signal=66%","LOC100221480/LOC100221944/LOC100220543/LOC115493339/LOC100229197/LOC115493337/LOC100223493/LOC100225375/LOC121469108/LOC100224417/LOC100232209/LOC115493503/LOC115493336/LOC100226305/LOC100231060/LOC100224416/LOC100218691/LOC100227296/LOC101233594/LOC100229139/LOC100228204/LOC100229276/LOC100227298/LOC115496993/LOC100226365/LOC115493338/LOC121468303"
"GO:0032993","protein-DNA complex",66,0.74446609588124,2.37761766648835,1e-10,8.5e-09,6.94736842105263e-09,1502,"tags=45%, list=9%, signal=42%","LOC100221480/LOC100221944/LOC100220543/LOC115493339/LOC100229197/LOC115493337/LOC100223493/LOC100225375/LOC121469108/LOC100224417/LOC100232209/LOC115493503/LOC115493336/LOC100226305/LOC100231060/LOC100224416/LOC100218691/LOC100227296/LOC101233594/LOC100229139/POLD2/LOC100228204/LOC100229276/LOC100227298/LOC115496993/LOC100226365/RPA2/LOC115493338/LOC121468303/GINS2"
"GO:0005740","mitochondrial envelope",175,-0.578446137264849,-2.20040534959004,1e-10,8.5e-09,6.94736842105263e-09,1967,"tags=34%, list=12%, signal=30%","PDE2A/NDUFB2/GPAM/COX6A1/SLC25A46/MICOS13/VAT1/SDHB/GRPEL1/FUNDC2/COQ4/MRS2/SLC25A20/TOMM40L/ABCB7/CHCHD5/PSEN2/TOMM22/MICU3/LOC116807250/TIMM44/TIMM17A/SPG7/APOOL/LOC100190710/SFXN1/SLC25A16/MIX23/SDHAF3/SDHD/SLC25A19/MPC2/SLC25A26/CHCHD4/MFN2/CHCHD3/NDUFC2/MIEF1/NNT/ATAD1/TTC19/MTX2/LETM1/OPA1/IMMT/RHOT1/ETFDH/LOC100221217/CISD1/MFN1/VDAC2/MIEF2/PRELID3B/CYCS/SLC25A4/VDAC3/MPC1/SLC25A3/RNF144B"
"GO:0031966","mitochondrial membrane",156,-0.57889736234561,-2.16840432159554,1e-10,8.5e-09,6.94736842105263e-09,3563,"tags=49%, list=21%, signal=39%","APOO/TIMM10/MICU2/BOK/TMEM11/SLC25A5/LPIN1/TAFAZZIN/GNPAT/MICU1/LOC100232595/TOMM20/UQCR11/COQ9/ENDOG/SFXN2/CHDH/SHMT2/MICOS10/OMA1/NDUFA7/TIMM22/ABCB9/MFF/TRAP1/PDE2A/NDUFB2/GPAM/COX6A1/SLC25A46/MICOS13/VAT1/SDHB/GRPEL1/FUNDC2/COQ4/MRS2/TOMM40L/ABCB7/PSEN2/TOMM22/MICU3/LOC116807250/TIMM44/TIMM17A/SPG7/APOOL/LOC100190710/SFXN1/SLC25A16/SLC25A19/MPC2/SLC25A26/MFN2/CHCHD3/NDUFC2/MIEF1/NNT/ATAD1/TTC19/MTX2/LETM1/OPA1/IMMT/RHOT1/ETFDH/LOC100221217/CISD1/MFN1/VDAC2/MIEF2/SLC25A4/VDAC3/MPC1/SLC25A3/RNF144B"
"GO:0031967","organelle envelope",269,-0.505788889394676,-2.00803078576975,1e-10,8.5e-09,6.94736842105263e-09,2152,"tags=29%, list=13%, signal=26%","MFF/TRAP1/ALOX5/P2RX3/PDE2A/ENY2/NDUFB2/GPAM/COX6A1/SLC25A46/MICOS13/VAT1/SDHB/GRPEL1/PARP16/FUNDC2/CSE1L/COQ4/MRS2/SLC25A20/TOMM40L/ABCB7/CHCHD5/PSEN2/TOMM22/RANBP1/LOC100230113/DPY19L3/MICU3/LOC116807250/TIMM44/TIMM17A/IPO11/SPG7/APOOL/LOC100190710/DPY19L4/RAE1/SFXN1/SLC25A16/MIX23/SDHAF3/SDHD/SLC25A19/MPC2/SLC25A26/TOR3A/CHCHD4/MFN2/CHCHD3/NDUFC2/MIEF1/NNT/NUP37/ATAD1/TTC19/MTX2/RANBP3L/LETM1/OPA1/IMMT/SEC13/IPO8/RHOT1/ETFDH/LOC100221217/CISD1/MFN1/VDAC2/MIEF2/PRELID3B/CYCS/NUP50/SLC25A4/VDAC3/MPC1/SLC25A3/RNF144B"
"GO:0098798","mitochondrial protein-containing complex",97,-0.629960108293287,-2.22326015080572,9.18737095091197e-10,6.50772109022932e-08,5.31900423473851e-08,4339,"tags=54%, list=25%, signal=40%","MRPL49/MTX3/MRPL40/MRPS34/AFG3L2/MRPL44/MRPL32/MRPL27/CHCHD6/MRPS7/POLG/APOO/MICU2/MRPL22/MICU1/MRPS17/MRPS2/MRPS26/TOMM20/MRPL16/MRPL46/LOC100224449/MRPS16/MICOS10/DAP3/MRPS35/TIMM22/MRPS31/MICOS13/HADHA/GRPEL1/MRPS22/TOMM40L/MRPS9/MRPL28/MICU3/MRPS15/SUPV3L1/TIMM17A/SPG7/MRPL21/APOOL/MRPL12/MRPL13/CHCHD3/MRPL53/MTX2/IMMT/MRPL42/LOC100221217/MRPL47/MRPL15"
"GO:0005743","mitochondrial inner membrane",95,-0.622532437977087,-2.18462178293086,7.59618427167288e-09,4.6119690220871e-07,3.76953505210835e-07,3617,"tags=52%, list=21%, signal=41%","APOO/TIMM10/MICU2/TMEM11/SLC25A5/MICU1/LOC100232595/UQCR11/COQ9/ENDOG/SFXN2/CHDH/SHMT2/MICOS10/OMA1/NDUFA7/TIMM22/ABCB9/TRAP1/PDE2A/NDUFB2/COX6A1/MICOS13/GRPEL1/COQ4/MRS2/ABCB7/PSEN2/MICU3/TIMM44/TIMM17A/SPG7/APOOL/SFXN1/SLC25A16/SLC25A19/MPC2/SLC25A26/CHCHD3/NDUFC2/NNT/TTC19/LETM1/IMMT/ETFDH/LOC100221217/SLC25A4/MPC1/SLC25A3"
"GO:0005759","mitochondrial matrix",106,-0.592408001469399,-2.11539647679932,1.30707945889632e-08,6.94385962538671e-07,5.67547659783929e-07,4339,"tags=52%, list=25%, signal=39%","MRPL49/MRPL40/MRPS34/TFB1M/MRPL44/MRPL32/MRPL27/FASTK/POLDIP2/MTERF2/MRPS7/POLG/TBRG4/MRPL22/FASTKD3/PRIMPOL/MRPS17/MRPS2/MRPS26/MLYCD/FASTKD1/MRPL16/MRPL46/SHMT2/LOC100224449/TSFM/MRPS16/SARDH/DAP3/MRPS35/PITRM1/MRPS31/PDE2A/LACTB2/HADHA/GRPEL1/PDPR/MRPS22/MRPS9/MRPL28/MRPS15/MRPL57/MRPL21/FASTKD2/CLPX/TFB2M/GLRX5/LONP1/MRPL12/MRPL13/MRPL53/MRPL42/MRPL47/MRPL15/CS"
"GO:0019866","organelle inner membrane",110,-0.576864205137733,-2.06885852775556,6.23871926922632e-08,2.94606187713465e-06,2.40792673549086e-06,2939,"tags=41%, list=17%, signal=34%","UQCR11/COQ9/ENDOG/SFXN2/CHDH/SHMT2/MICOS10/OMA1/NDUFA7/TIMM22/ABCB9/TRAP1/P2RX3/PDE2A/NDUFB2/COX6A1/MICOS13/GRPEL1/COQ4/MRS2/ABCB7/PSEN2/DPY19L3/MICU3/TIMM44/TIMM17A/SPG7/APOOL/DPY19L4/SFXN1/SLC25A16/SLC25A19/MPC2/SLC25A26/CHCHD3/NDUFC2/NNT/TTC19/LETM1/IMMT/ETFDH/LOC100221217/SLC25A4/MPC1/SLC25A3"
"GO:0005777","peroxisome",63,-0.640978924057614,-2.08413239211724,5.67516135240689e-07,2.01601931745162e-05,1.64776811085829e-05,3517,"tags=56%, list=21%, signal=44%","LONP2/ACAA1/GNPAT/HMGCR/MLYCD/PEX10/TYSND1/PEX3/PEX6/SOD1/LOC115495423/PXMP4/MFF/PIK3C3/PEX1/PEX2/AGPS/ACOT8/ACBD5/PEX19/PEX5/ACOX2/PEX14/PEX7/EHHADH/ABCD2/IDE/PEX26/IDH1/CAT/PEX13/ACOX1/ABCD3/CRAT/PEX11A"
