"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0030527","structural constituent of chromatin",34,0.864643259156266,2.47987958991224,1e-10,6.88e-08,5.76842105263158e-08,1282,"tags=79%, list=8%, signal=74%","LOC100221480/LOC100221944/LOC100220543/LOC115493339/LOC100229197/LOC115493337/LOC100223493/LOC100225375/LOC121469108/LOC100224417/LOC100232209/LOC115493503/LOC115493336/LOC100226305/LOC100231060/LOC100224416/LOC100218691/LOC100227296/LOC101233594/LOC100229139/LOC100228204/LOC100229276/LOC100227298/LOC115496993/LOC100226365/LOC115493338/LOC121468303"
"GO:0046982","protein heterodimerization activity",72,0.682941761126842,2.21778648146008,1.90664565318525e-09,6.55886104695726e-07,5.49916746287114e-07,1282,"tags=39%, list=8%, signal=36%","LOC100221480/LOC100221944/LOC100220543/LOC115493339/LOC100229197/LOC115493337/LOC100223493/LOC100225375/LOC121469108/LOC100224417/LOC100232209/LOC115493503/LOC115493336/LOC100226305/LOC100231060/LOC100224416/LOC100218691/NFYB/LOC100227296/LOC101233594/LOC100228204/BCL2L1/LOC100229276/TAF9B/LOC115496993/LOC100226365/LOC115493338/LOC121468303"
"GO:0016874","ligase activity",132,-0.564041719167332,-2.06904682638197,8.5996167141622e-09,1.4791340748359e-06,1.24015525246339e-06,2894,"tags=42%, list=17%, signal=35%","MCCC2/YARS2/SLC27A6/ATP5MG/CAD/IARS2/LOC100221968/TTL/LARS1/NAPRT/TARS1/CTPS2/ACSBG2/ACACB/SARS1/CTPS1/UBA2/LRRC47/ASNSD1/PC/ACACA/HLCS/NARS1/MCCC1/GSS/NARS2/MARS2/SUCLG2/ACSS1/FARS2/UBA6/QRSL1/ACSL5/TTLL1/ACSS2/WARS1/GCLC/AACS/RIMKLB/UBA1/RLIG1/ATP5MF/LARS2/ATP5PB/AARS1/SUCLG1/ACSL1/IARS1/ATP5PD/PPCS/SUCLA2/ATP5F1A/ATP5F1C/ATP5F1B/ATP5PO/EPRS1"
"GO:0016491","oxidoreductase activity",446,-0.409738639450212,-1.71508088399793,8.04101415661442e-09,1.4791340748359e-06,1.24015525246339e-06,2747,"tags=28%, list=16%, signal=24%","ADI1/GPX1/CHDH/LOC100217613/SORD/SQLE/DEGS1/ENOX1/HSD17B12/SARDH/KDM1B/SESN3/ALDH5A1/DPYD/CYGB/MSRB1/F5/PGD/LOC115492298/ALDH3A2/OXNAD1/ALOX5/HGD/ACAD9/LOC121470910/GPX7/SDHC/CRYZ/LOC100220322/LOC100222111/LOC100220938/LOC100223914/DOHH/ALKBH5/HAAO/LOC100223232/HADHA/VAT1/HSDL1/LOC100229546/PRDX6/GPD1L/GLRX2/FDXR/AGMO/PYROXD1/PDPR/NDUFV1/SC5D/LOC100190001/ALDH7A1/SOD2/IDH3B/CDO1/PRDX1/PRDX3/LOC115497391/DLD/P3H1/MTRR/TXNRD3/SDHA/ACOX2/DECR1/JMJD4/ACADVL/SQOR/NDUFS8/ALDH1A2/HSD17B4/DNAJC10/F8/TXN2/NDOR1/SPR/LOC100228937/SDHD/NDUFS7/LOC100222525/NDUFS2/EHHADH/AIFM1/DHCR24/HADH/AKR1A1/CHCHD4/HMOX2/IMPDH2/LOC100231862/EGLN1/IDH1/ACADL/CAT/LOC100228631/MMACHC/NOS3/FASN/NXN/LOC100224630/GFUS/PDHB/LOC100231722/VKORC1L1/ALDH8A1/BCO1/NDUFS3/OGDH/SUOX/LOC100229817/ETFDH/GMPR/LOC100225021/NDUFV2/ACOX1/MDH1/NDUFS1/SCD/LOC100219367/ME1/DIO1/MDH2/PDHA1/GPD2/IDH3A/FADS1/LOC100222881"
"GO:0016817","hydrolase activity, acting on acid anhydrides",476,-0.37790962407931,-1.58904990810993,5.16278605727398e-07,7.10399361480899e-05,5.9562247566024e-05,3331,"tags=30%, list=20%, signal=25%","ARF1/ATP13A2/ABCA3/RAB5A/RABL3/RAB30/ATP1A3/ABCA7/ARL8B/RAB12/ABCB5/EIF5B/MDN1/ATP8B2/SMC3/DRG1/SRCAP/GPN3/CLPB/RAD54L2/CCT8/FITM2/RAB4B/RAB1A/HRAS/DHX9/RAB8B/CCT2/ABCF1/DOLPP1/ABCA5/AFG2A/NKIRAS1/RALA/VPS4B/PEX6/TOR2A/GNAS/ABCB9/RND2/ASCC3/ATP2B1/SEPTIN9/SEPTIN11/TRAP1/RAB29/ARHGAP5/ARHGAP35/ARL5A/CHD2/LOC100221050/ARL1/RAB23/VCP/RHOQ/GFM1/NAV1/LOC100226244/PSMC2/CDC42/RAB14/RAB34/ATP6V1A/PEX1/ABCG8/AFG1L/SEPTIN5/RASD2/KRAS/ATP8A1/SAR1B/RAB9B/DNM1/RHOC/ABCF2/NVL/MLH3/ABCB7/DRG2/REM1/EIF2S3/AFG2B/GNAI3/LOC100230113/DNAH8/ATP9B/ACYP1/BMS1/RAN/SUPV3L1/ABCE1/DQX1/SPG7/MLH1/NRAS/PSMC1/EFTUD2/PSMC3/NUDT19/RAB33A/LOC100221408/CLPX/VWA8/SEPTIN8/NSF/RHOA/MCM3/RAB19/RNGTT/DMC1/ABCD2/MRAS/ARF4/TOR3A/GSPT1/LONP1/ABCB1/MFN2/RAP1A/LOC100227038/ATL1/ATP1A1/RAB6A/RAB10/RAB21/LOC121468025/ATAD1/DHX37/NUDT15/ATAD2B/OPA1/RHOT1/ATP5F1B/RAB18/DNM1L/RAB11B/ENPP1/RAB25/ABCD3/MFN1/RFC5/LOC100190505/MTIF2"
"GO:0016462","pyrophosphatase activity",469,-0.377730182752581,-1.58511520024042,7.38118700584685e-07,7.2546523714609e-05,6.08254207399109e-05,3331,"tags=30%, list=20%, signal=25%","ARF1/ATP13A2/ABCA3/RAB5A/RABL3/RAB30/ATP1A3/ABCA7/ARL8B/RAB12/ABCB5/EIF5B/MDN1/ATP8B2/SMC3/DRG1/SRCAP/GPN3/CLPB/RAD54L2/CCT8/FITM2/RAB4B/RAB1A/HRAS/DHX9/RAB8B/CCT2/ABCF1/DOLPP1/ABCA5/AFG2A/NKIRAS1/RALA/VPS4B/PEX6/TOR2A/GNAS/ABCB9/RND2/ASCC3/ATP2B1/SEPTIN9/SEPTIN11/TRAP1/RAB29/ARHGAP5/ARHGAP35/ARL5A/CHD2/LOC100221050/ARL1/RAB23/VCP/RHOQ/GFM1/NAV1/LOC100226244/PSMC2/CDC42/RAB14/RAB34/ATP6V1A/PEX1/ABCG8/AFG1L/SEPTIN5/RASD2/KRAS/ATP8A1/SAR1B/RAB9B/DNM1/RHOC/ABCF2/NVL/MLH3/ABCB7/DRG2/REM1/EIF2S3/AFG2B/GNAI3/LOC100230113/DNAH8/ATP9B/ACYP1/BMS1/RAN/ABCE1/DQX1/SPG7/MLH1/NRAS/PSMC1/EFTUD2/PSMC3/RAB33A/LOC100221408/CLPX/VWA8/SEPTIN8/NSF/RHOA/MCM3/RAB19/RNGTT/DMC1/ABCD2/MRAS/ARF4/TOR3A/GSPT1/LONP1/ABCB1/MFN2/RAP1A/LOC100227038/ATL1/ATP1A1/RAB6A/RAB10/RAB21/LOC121468025/ATAD1/DHX37/NUDT15/ATAD2B/OPA1/RHOT1/ATP5F1B/RAB18/DNM1L/RAB11B/ENPP1/RAB25/ABCD3/MFN1/RFC5/LOC100190505/MTIF2"
"GO:0016818","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",475,-0.376084048200994,-1.58021844683559,6.75075477455544e-07,7.2546523714609e-05,6.08254207399109e-05,3331,"tags=30%, list=20%, signal=25%","ARF1/ATP13A2/ABCA3/RAB5A/RABL3/RAB30/ATP1A3/ABCA7/ARL8B/RAB12/ABCB5/EIF5B/MDN1/ATP8B2/SMC3/DRG1/SRCAP/GPN3/CLPB/RAD54L2/CCT8/FITM2/RAB4B/RAB1A/HRAS/DHX9/RAB8B/CCT2/ABCF1/DOLPP1/ABCA5/AFG2A/NKIRAS1/RALA/VPS4B/PEX6/TOR2A/GNAS/ABCB9/RND2/ASCC3/ATP2B1/SEPTIN9/SEPTIN11/TRAP1/RAB29/ARHGAP5/ARHGAP35/ARL5A/CHD2/LOC100221050/ARL1/RAB23/VCP/RHOQ/GFM1/NAV1/LOC100226244/PSMC2/CDC42/RAB14/RAB34/ATP6V1A/PEX1/ABCG8/AFG1L/SEPTIN5/RASD2/KRAS/ATP8A1/SAR1B/RAB9B/DNM1/RHOC/ABCF2/NVL/MLH3/ABCB7/DRG2/REM1/EIF2S3/AFG2B/GNAI3/LOC100230113/DNAH8/ATP9B/ACYP1/BMS1/RAN/ABCE1/DQX1/SPG7/MLH1/NRAS/PSMC1/EFTUD2/PSMC3/NUDT19/RAB33A/LOC100221408/CLPX/VWA8/SEPTIN8/NSF/RHOA/MCM3/RAB19/RNGTT/DMC1/ABCD2/MRAS/ARF4/TOR3A/GSPT1/LONP1/ABCB1/MFN2/RAP1A/LOC100227038/ATL1/ATP1A1/RAB6A/RAB10/RAB21/LOC121468025/ATAD1/DHX37/NUDT15/ATAD2B/OPA1/RHOT1/ATP5F1B/RAB18/DNM1L/RAB11B/ENPP1/RAB25/ABCD3/MFN1/RFC5/LOC100190505/MTIF2"
"GO:0046983","protein dimerization activity",186,0.492550039244008,1.8459934076829,9.16008082087883e-07,7.8776695059558e-05,6.60490038137053e-05,3201,"tags=38%, list=19%, signal=31%","LOC100221480/LOC100221944/LOC100220543/HES1/LOC115493339/LOC100229197/LOC115493337/LOC100223493/LOC100225375/LOC121469108/TCF3/LOC100224417/LOC100232209/LOC115493503/LOC115493336/LOC100226305/TFAP4/LOC100231060/LOC100224416/LOC100218691/NFYB/LOC100227296/LOC101233594/MAX/LOC100228204/BCL2L1/LOC100229276/E2F3/MXD1/TAF9B/LOC115496993/ID2/LOC100226365/RBPMS2/FXR1/BHLHA15/HSPB8/ANO1/LOC115493338/LOC121468303/NCOA1/MYC/ASCL4/MEF2A/ID3/TCF12/LOC115496397/HAND2/CENPW/TENM3/DDIT3/TWIST2/TWIST1/TAF4B/POLR2J/USF3/AHR/TCF21/USF2/BAX/HEY2/BCL2/BCL2A1/LOC100231116/DGKD/ID4/MYCL/POLE4/TENM2/TCF24"
"GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding",495,0.384855343097149,1.59087051411492,1.78186642026838e-06,0.000136213788571627,0.000114206175240593,2921,"tags=27%, list=17%, signal=23%","FOSL2/SOX9/FOXP4/ZBTB16/HES1/CREB3L2/LOC100222731/ATF6/RELA/TCF3/CREB3/STAT3/SLC2A4RG/PBX3/TGIF1/DACH1/GATA5/CREM/TGIF2/DLX2/KLF4/TFAP4/LOC121470792/NR1D2/SMAD9/ZFHX3/SOX4/NFYB/CREB3L1/FOXK1/JUND/LOC100222777/LOC115493072/STAT4/E2F8/TBX18/GATA1/FOXA2/VDR/ZBTB8A/EBF2/RFX1/NFE2L3/E2F3/NR4A3/MXD1/CEBPD/SP3/EOMES/GFI1B/NFIC/GFI1/HOXD9/DLX1/EGR3/BHLHA15/LOC115498601/STAT6/FOXA1/SNAI1/SCRT2/EGR2/E2F7/IRF8/MEIS1/LOC115491620/SP1/KDM6A/ATF3/LEF1/HBP1/PAX5/JDP2/MYC/NFIX/ZNF217/DBP/GLI2/MEF2A/TBX21/LRRFIP1/TCF12/CEBPG/LOC115496397/HOXB6/JUN/HOXA4/FOXC1/NR1D1/SALL1/ZBTB45/CARF/MYB/DLX3/MAFB/RBPJ/DDIT3/POU6F1/DMTF1/GRHL3/CREB3L4/PROX1/SKI/GATA3/LOC100222056/FOXO3/TCF7L2/NFATC1/EGR1/ZNF341/RXRA/KLF8/SOX8/FOXQ1/KDM6B/GMEB2/IRF4/REL/THRA/BCL11B/USF2/DACH2/IRF1/HIVEP2/IKZF1/MYBL1/ZNF384/TBX1/TEAD1/HEY2/LOC115498449/SOX11/HOXA3/CC2D1A/LOC100227703"
"GO:0017111","ribonucleoside triphosphate phosphatase activity",433,-0.378929879097075,-1.58001151225063,4.0909857250242e-06,0.000281459817881665,0.000235985281822449,3331,"tags=31%, list=20%, signal=26%","ARF1/ATP13A2/ABCA3/RAB5A/RABL3/RAB30/ATP1A3/ABCA7/ARL8B/RAB12/ABCB5/EIF5B/MDN1/ATP8B2/SMC3/DRG1/SRCAP/GPN3/CLPB/RAD54L2/CCT8/RAB4B/RAB1A/HRAS/DHX9/RAB8B/CCT2/ABCF1/ABCA5/AFG2A/NKIRAS1/RALA/VPS4B/PEX6/TOR2A/GNAS/ABCB9/RND2/ASCC3/ATP2B1/SEPTIN9/SEPTIN11/TRAP1/RAB29/ARHGAP5/ARHGAP35/ARL5A/CHD2/LOC100221050/ARL1/RAB23/VCP/RHOQ/GFM1/NAV1/LOC100226244/PSMC2/CDC42/RAB14/RAB34/ATP6V1A/PEX1/ABCG8/AFG1L/SEPTIN5/RASD2/KRAS/ATP8A1/SAR1B/RAB9B/DNM1/RHOC/ABCF2/NVL/MLH3/ABCB7/DRG2/REM1/EIF2S3/AFG2B/GNAI3/LOC100230113/DNAH8/ATP9B/BMS1/RAN/ABCE1/DQX1/SPG7/MLH1/NRAS/PSMC1/EFTUD2/PSMC3/RAB33A/LOC100221408/CLPX/VWA8/SEPTIN8/NSF/RHOA/MCM3/RAB19/DMC1/ABCD2/MRAS/ARF4/TOR3A/GSPT1/LONP1/ABCB1/MFN2/RAP1A/LOC100227038/ATL1/ATP1A1/RAB6A/RAB10/RAB21/LOC121468025/ATAD1/DHX37/ATAD2B/OPA1/RHOT1/ATP5F1B/RAB18/DNM1L/RAB11B/RAB25/ABCD3/MFN1/RFC5/LOC100190505/MTIF2"
