"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"OXPHOS subunits","OXPHOS subunits",79,-0.781979434606368,-2.69357720111657,1e-10,1.18e-08,6.73684210526316e-09,1962,"tags=73%, list=12%, signal=65%","NDUFV3/NDUFB2/SDHC/NDUFS4/NDUFA11/COX6A1/SDHB/UQCRQ/NDUFA2/ATP5ME/NDUFAB1/NDUFS6/NDUFA6/NDUFB9/COX5A/UQCRFS1/NDUFV1/CYC1/NDUFA8/UQCRH/SDHA/NDUFB10/COX4I1/NDUFS8/SDHD/NDUFS7/UQCR10/COX7B/UQCRC2/NDUFA9/NDUFB8/NDUFS2/ATP5MF/NDUFB6/UQCRB/ATP5MC3/ATP5PB/NDUFA4/NDUFC2/NDUFA5/NDUFA12/ATP5PD/ATP5F1A/COX7A2/ATP5PF/NDUFB4/NDUFS3/ATP5F1C/ATP5MC1/ATP5F1B/ATP5PO/NDUFV2/NDUFB5/NDUFS1/NDUFA10/UQCRC1/CYCS/HCCS"
"CI subunits","CI subunits",37,-0.792778711831552,-2.3529951929433,6.35146514191157e-09,3.74736443372783e-07,2.13944088990706e-07,2987,"tags=86%, list=18%, signal=71%","NDUFB11/NDUFB3/NDUFC1/NDUFA7/NDUFA13/NDUFV3/NDUFB2/NDUFS4/NDUFA11/NDUFA2/NDUFAB1/NDUFS6/NDUFA6/NDUFB9/NDUFV1/NDUFA8/NDUFB10/NDUFS8/NDUFS7/NDUFA9/NDUFB8/NDUFS2/NDUFB6/NDUFC2/NDUFA5/NDUFA12/NDUFB4/NDUFS3/NDUFV2/NDUFB5/NDUFS1/NDUFA10"
"TCA cycle","TCA cycle",20,-0.866289925800622,-2.25588566735247,1.21559784620999e-07,3.58601364631946e-06,2.04732268835366e-06,1919,"tags=80%, list=11%, signal=71%","SDHC/SDHB/SUCLG2/IDH3B/DLD/SDHA/SDHD/SUCLG1/SUCLA2/FH/OGDH/ACO2/MDH2/DLST/IDH3A/CS"
"Mitochondrial ribosome","Mitochondrial ribosome",79,-0.62780016809135,-2.16249704888881,1.00617761968509e-07,3.58601364631946e-06,2.04732268835366e-06,4339,"tags=54%, list=25%, signal=41%","MRPL49/MRPS27/MRPL40/MRPS18B/MRPL37/MRPS34/MRPL44/MRPL32/MRPL27/MRPL45/MRPS7/MRPS36/MRPL1/MRPL22/MRPS17/MRPS2/MRPS26/MRPL35/MRPL18/MRPL16/MRPL46/MRPS16/DAP3/MRPS35/MRPS31/MRPL30/MRPL9/MRPS22/PTCD3/MRPS9/MRPL28/MRPS15/MRPL57/MRPL21/MRPS25/MRPL12/MRPL13/MRPS5/MRPL53/MRPS14/MRPL42/MRPL47/MRPL15"
"SLC25A family","SLC25A family",39,-0.736382367640974,-2.20771345844913,6.28043666961686e-07,1.3325209888476e-05,7.60761313882663e-06,1958,"tags=49%, list=11%, signal=43%","SLC25A21/SLC25A46/SLC25A44/SLC25A20/SLC25A33/SLC25A30/SLC25A16/SLC25A19/SLC25A26/SLC25A51/SLC25A1/SLC25A11/SLC25A13/SLC25A12/SLC25A47/MTCH1/SLC25A4/SLC25A10/SLC25A3"
"Fe-S-containing proteins","Fe-S-containing proteins",30,-0.774387644747115,-2.20144399767905,6.77553045176747e-07,1.3325209888476e-05,7.60761313882663e-06,2095,"tags=53%, list=12%, signal=47%","BOLA1/SDHB/GLRX2/UQCRFS1/NDUFV1/NDUFS8/NDUFS7/NDUFS2/GLRX5/FDX1/ACO2/ETFDH/NDUFV2/NDUFS1/CISD1/NUBPL"
"Fatty acid oxidation","Fatty acid oxidation",37,-0.714759895108533,-2.1214325917172,5.83991338831623e-06,9.25835936479763e-05,5.28577162664628e-05,2232,"tags=49%, list=13%, signal=42%","ACACB/ETFB/CPT2/AMACR/ACADS/HADHA/ACSS1/SLC25A20/CPT1B/DECR1/ACADVL/HADH/ACADL/ACSL1/ETFA/ETFDH/CRAT/CPT1A"
"Small molecule transport","Small molecule transport",14,-0.873496001942208,-2.08760316477147,6.27685380664246e-06,9.25835936479763e-05,5.28577162664628e-05,1400,"tags=64%, list=8%, signal=59%","MRS2/STARD7/MPC2/SLC8B1/SLC30A9/MPV17L/VDAC2/VDAC3/MPC1"
"Pyruvate metabolism","Pyruvate metabolism",14,-0.866438464818118,-2.07073607344766,1.03494363076514e-05,0.000135692609366986,7.74694647590284e-05,1837,"tags=71%, list=11%, signal=64%","PDK3/PDPR/DLD/PDP2/MPC2/PDHB/PDHX/DLAT/PDHA1/MPC1"
"Malate-aspartate shuttle","Malate-aspartate shuttle",6,-0.955249257521057,-1.82190379578212,4.71531020738916e-05,0.000556406604471921,0.000317663003445165,520,"tags=83%, list=3%, signal=81%","SLC25A11/SLC25A13/SLC25A12/MDH2/SLC25A10"
"TCA-associated","TCA-associated",13,-0.834934595402478,-1.96759084425257,0.000162864690865635,0.00174709395655863,0.000997448824440251,742,"tags=54%, list=4%, signal=52%","PC/MPC2/SLC25A1/ACLY/SLC25A11/FAHD1/MPC1"
"Gluconeogenesis","Gluconeogenesis",7,-0.910880088536725,-1.78128729958731,0.000181938532295654,0.0017890622342406,0.00102140930411595,742,"tags=100%, list=4%, signal=96%","MPC2/SLC25A1/SLC25A11/MDH2/SLC25A10/MPC1"
"Lipid metabolism","Lipid metabolism",20,-0.75834913322965,-1.97479953252471,0.000262816423979485,0.00238556446381379,0.00136196365463053,972,"tags=60%, list=6%, signal=57%","ACAA1/LYPLAL1/MLYCD/ACOT9/FABP1/HSD17B4/EHHADH/SLC25A1/LYPLA1/FASN/ACOT13/DBI"
"Fe-S cluster biosynthesis","Fe-S cluster biosynthesis",22,-0.726217687237554,-1.91484999459292,0.000485609403704887,0.00409299354551262,0.00233676705542201,2867,"tags=50%, list=17%, signal=42%","NFU1/CISD3/BOLA1/GRPEL1/NDUFAB1/FDXR/ABCB7/GLRX5/FDX1/CISD1/NUBPL"
"OXPHOS assembly factors","OXPHOS assembly factors",62,-0.551028454576112,-1.79519778315628,0.000543793489156277,0.00427784211469605,0.00244230058287732,2317,"tags=32%, list=14%, signal=28%","CMC1/TACO1/HIGD2A/ACAD9/SCO2/ATPAF1/COX10/BCS1L/ATPAF2/NDUFAF7/RAB5IF/NDUFAF4/UQCC1/SDHAF3/AIFM1/NDUFAF1/COX20/TTC19/HIGD1A/NUBPL"
