"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"tgu00190","Oxidative phosphorylation",80,-0.729695599407105,-2.42785463473137,1e-10,8.3e-09,6.78947368421053e-09,1503,"tags=56%, list=15%, signal=48%","100231827/100227257/100190761/100190489/100229692/100231893/100190180/100228353/100190413/100229321/100190275/100227575/100190134/100218328/100230079/100222863/100190674/100190425/100190396/100219756/100232751/100230773/100190740/100190122/100190640/100219261/100223708/100190221/100190064/100220589/100232347/751975/100229691/100190724/100228726/100190435/100221387/100221153/100190523/100190350/100190339/100220186/100220458/100190392/100225003"
"tgu01200","Carbon metabolism",80,-0.690668748673943,-2.29800388531139,1e-10,8.3e-09,6.78947368421053e-09,1475,"tags=55%, list=14%, signal=47%","100230441/100232428/100231122/100227621/100225534/100220154/100230242/100229569/100223031/100224627/100190753/100230199/100224916/100230152/100218728/101233932/100230079/100231891/100227513/100227137/100226063/100190674/115497373/100220748/100224467/100223841/100227336/100221470/100224460/100217618/100229811/100227287/100224772/100217791/100230333/100190381/100219269/100225815/100218937/100190484/100225079/100226824/100190682/100232264"
"tgu00020","Citrate cycle (TCA cycle)",22,-0.868522706276585,-2.25811553738483,3.1686390591177e-09,1.75331361271179e-07,1.43422610044275e-07,1263,"tags=86%, list=12%, signal=76%","100225534/100224627/100230199/100230079/100227513/100190674/100220748/100224467/100221719/100227336/100221470/100217618/100229811/100227287/100190381/100190484/100225079/100226824/100190682"
"tgu04146","Peroxisome",69,-0.65115113664564,-2.12756246066268,1.36254247107353e-07,5.65455125495516e-06,4.62547312548647e-06,1872,"tags=43%, list=18%, signal=36%","100230879/100219028/100190732/115497940/100217501/100221948/115493925/100220704/100226822/100190330/100190347/100217956/100218387/100227938/100228411/100218359/100230055/100218417/100218226/100229171/100221578/100220748/100223841/100228952/100229678/101233694/100230333/100218710/100231079/100226480"
"tgu01212","Fatty acid metabolism",46,-0.707315653646197,-2.11713006151943,3.050951318531e-07,1.01291583775229e-05,8.28574147558946e-06,1715,"tags=52%, list=17%, signal=44%","100222373/100222209/100225257/100225083/100232428/100223714/115492591/100217956/100218387/100218226/100231220/100229171/100231239/100224317/100228952/100226957/100222541/100224772/100230333/100229833/100190615/100226785/100225746/100230721"
"tgu01210","2-Oxocarboxylic acid metabolism",23,-0.793862382473798,-2.091814061948,7.7460122320348e-06,0.000214306338419629,0.000175304487356577,1109,"tags=57%, list=11%, signal=51%","100224627/100230199/100227513/100228964/100220748/100221470/100229811/100227287/100218937/100225079/100225395/100226824/100190682"
"tgu00630","Glyoxylate and dicarboxylate metabolism",29,-0.733284774093803,-2.00127555572781,1.02623341411106e-05,0.000243363923917766,0.000199073850256131,1283,"tags=45%, list=13%, signal=39%","100227621/100229569/100223031/100226881/100230199/100224916/100227513/100226063/100223841/100227287/100224772/100190381/100190484"
"tgu04060","Cytokine-cytokine receptor interaction",103,0.516678907677242,1.86984966179477,1.70529357483693e-05,0.000353848416778664,0.000289451146255216,2223,"tags=46%, list=22%, signal=36%","100499187/115490767/100221010/100230419/100218293/100220619/100226205/100229955/100230545/100232380/115498274/100231177/115490882/100232686/101233953/100217694/105760516/100232204/100224026/100228054/100232567/100218097/101232973/101232975/100218713/100226842/100232487/100226174/100219851/100227485/100232671/115490717/115493371/100228892/100222755/100231725/105759145/100217637/100227213/100226664/100227247/100229496/100231136/115495927/100225461/100221891/100231454"
"tgu00620","Pyruvate metabolism",27,-0.72593578898408,-1.97300937052102,2.38738871352022e-05,0.000440340584938174,0.000360202507653928,1755,"tags=63%, list=17%, signal=52%","100190196/100222747/100225257/100229569/100223716/100230199/100228708/100224916/100218728/100220342/100221470/100217618/100224772/100190381/100219269/100190484/100225079"
"tgu01240","Biosynthesis of cofactors",92,-0.528198754921654,-1.80520393868449,7.59561646993122e-05,0.00126087233400858,0.00103140476275908,2000,"tags=37%, list=20%, signal=30%","100226988/100228756/100218581/100220282/100229392/100220803/100231399/100227066/100229908/100230441/100223597/100227805/100220571/100229666/100229692/100230014/101234251/100218588/100226881/100230199/100218278/100232729/100220342/100232601/100226807/100222512/100190089/100230928/100228904/100222352/100217791/100225395/100218061/100221053"
