"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0099537","trans-synaptic signaling",187,-0.654140044688171,-2.1034089978057,1e-10,8.26463389645243e-08,7.55573582791143e-08,1844,"tags=29%, list=11%, signal=27%","APBA2/RIMS4/GRID2/CLSTN2/GABRB2/LRRC4C/NAPB/LOC100144431/NLGN4X/LRRC4/GRM7/GRIN2A/SYN3/UNC13C/GRIN2B/GABRB3/GABRR3/FCHSD1/DLGAP1/RAPSN/CHRM4/CRHR2/LIN7B/LOC100230156/PENK/LIN7A/SNCA/DGKI/SYT13/GRIK1/CACNG2/GABRA1/GRM5/GABRA2/GRM8/PTCHD1/CADPS/GRIA4/GRIA1/PDZD11/SV2B/CPLX1/CALB1/SNCB/SLC12A5/GABRR1/SYN2/SYT2/GABRD/GABRA4/JPH3/GRIA2/SYT1/SNAP25/GRIN1"
"GO:0007268","chemical synaptic transmission",186,-0.654368436615848,-2.09909956940209,1.66541740986447e-10,8.26463389645243e-08,7.55573582791143e-08,1844,"tags=30%, list=11%, signal=27%","APBA2/RIMS4/GRID2/CLSTN2/GABRB2/LRRC4C/NAPB/LOC100144431/NLGN4X/LRRC4/GRM7/GRIN2A/SYN3/UNC13C/GRIN2B/GABRB3/GABRR3/FCHSD1/DLGAP1/RAPSN/CHRM4/CRHR2/LIN7B/LOC100230156/PENK/LIN7A/SNCA/DGKI/SYT13/GRIK1/CACNG2/GABRA1/GRM5/GABRA2/GRM8/PTCHD1/CADPS/GRIA4/GRIA1/PDZD11/SV2B/CPLX1/CALB1/SNCB/SLC12A5/GABRR1/SYN2/SYT2/GABRD/GABRA4/JPH3/GRIA2/SYT1/SNAP25/GRIN1"
"GO:0098916","anterograde trans-synaptic signaling",186,-0.654368436615848,-2.09909956940209,1.66541740986447e-10,8.26463389645243e-08,7.55573582791143e-08,1844,"tags=30%, list=11%, signal=27%","APBA2/RIMS4/GRID2/CLSTN2/GABRB2/LRRC4C/NAPB/LOC100144431/NLGN4X/LRRC4/GRM7/GRIN2A/SYN3/UNC13C/GRIN2B/GABRB3/GABRR3/FCHSD1/DLGAP1/RAPSN/CHRM4/CRHR2/LIN7B/LOC100230156/PENK/LIN7A/SNCA/DGKI/SYT13/GRIK1/CACNG2/GABRA1/GRM5/GABRA2/GRM8/PTCHD1/CADPS/GRIA4/GRIA1/PDZD11/SV2B/CPLX1/CALB1/SNCB/SLC12A5/GABRR1/SYN2/SYT2/GABRD/GABRA4/JPH3/GRIA2/SYT1/SNAP25/GRIN1"
"GO:0007267","cell-cell signaling",258,-0.609563731788964,-2.02435308829915,1.51512779246489e-10,8.26463389645243e-08,7.55573582791143e-08,2076,"tags=28%, list=12%, signal=25%","CACNA1E/PTPRN/GJA9/SLC17A7/LOC100219548/ARC/DLG2/ADRA1A/APBA2/RIMS4/GRID2/CLSTN2/PANX1/GABRB2/LRRC4C/NAPB/LOC100144431/NLGN4X/LRRC4/GRM7/GABBR1/GRIN2A/SYN3/UNC13C/GRIN2B/GABRB3/GABRR3/LOC121470963/FCHSD1/DLGAP1/RAPSN/CHRM4/CRHR2/DTNA/LIN7B/LOC100230156/SYT7/PENK/LIN7A/SNCA/DGKI/SYT13/GRIK1/CACNG2/GABRA1/GRM5/GABRA2/GRM8/PTCHD1/CADPS/GRIA4/GRIA1/CHGA/PDZD11/POMC/SYT9/SV2B/CPLX1/CALB1/SNCB/SLC12A5/GABRR1/SYN2/SYT2/GABRD/GABRA4/JPH3/GRIA2/SYT1/SNAP25/GRIN1"
"GO:0099536","synaptic signaling",198,-0.638932707013546,-2.06749339405895,3.06569629100698e-10,1.21708142752977e-07,1.11268640119916e-07,1844,"tags=28%, list=11%, signal=26%","APBA2/RIMS4/GRID2/CLSTN2/GABRB2/LRRC4C/NAPB/LOC100144431/NLGN4X/LRRC4/GRM7/GRIN2A/SYN3/UNC13C/GRIN2B/GABRB3/GABRR3/FCHSD1/DLGAP1/RAPSN/CHRM4/CRHR2/DTNA/LIN7B/LOC100230156/PENK/LIN7A/SNCA/DGKI/SYT13/GRIK1/CACNG2/GABRA1/GRM5/GABRA2/GRM8/PTCHD1/CADPS/GRIA4/GRIA1/PDZD11/SV2B/CPLX1/CALB1/SNCB/SLC12A5/GABRR1/SYN2/SYT2/GABRD/GABRA4/JPH3/GRIA2/SYT1/SNAP25/GRIN1"
"GO:0007272","ensheathment of neurons",22,-0.925112508125771,-2.15207014518956,7.19538367506334e-09,1.78535457437509e-06,1.63221598102753e-06,176,"tags=27%, list=1%, signal=27%","CST7/PLP1/LOC121468894/LOC121468922/LOC121469095/LOC121468923"
"GO:0008366","axon ensheathment",22,-0.925112508125771,-2.15207014518956,7.19538367506334e-09,1.78535457437509e-06,1.63221598102753e-06,176,"tags=27%, list=1%, signal=27%","CST7/PLP1/LOC121468894/LOC121468922/LOC121469095/LOC121468923"
"GO:0042552","myelination",22,-0.925112508125771,-2.15207014518956,7.19538367506334e-09,1.78535457437509e-06,1.63221598102753e-06,176,"tags=27%, list=1%, signal=27%","CST7/PLP1/LOC121468894/LOC121468922/LOC121469095/LOC121468923"
"GO:0006811","monoatomic ion transport",459,-0.500042117447496,-1.75555108397353,1.53051101693344e-08,3.37562707623653e-06,3.08608303297456e-06,2233,"tags=22%, list=13%, signal=20%","NPSR1/LOC105758620/AKAP9/KCNH4/CACNA1H/KCNK12/CACNA1E/KCNJ10/SLC17A7/NKAIN4/KCNQ4/ARC/ASIC3/LOC100224802/RYR3/LOC121469088/FGF12/SLC39A3/SLC30A5/GRID2/ATP2A1/PANX1/GABRB2/WNK2/LOC100221772/LOC100144431/LOC105760330/FGF13/P2RX4/SLC48A1/SLC39A14/GRIN2A/HCN1/KCNV1/KCNQ1/STEAP2/KCNQ5/SLC4A5/SCNN1A/KCNQ3/MELTF/SCN8A/KCNH1/GRIN2B/GABRB3/GABRR3/SLC8A3/KCNAB1/SLC39A13/SLC25A37/LOC100228479/ATP2B2/ATP6V0D2/WNK4/ATP6V1C2/SCNN1D/LOC100230156/KCNIP2/CACNB2/ATP6V1G3/CACNA1D/SLC6A8/ATP1B2/SCN4A/LOC105758604/KCNJ3/GRIK1/CACNG2/ANO4/GABRA1/KCNIP4/SELENOK/GABRA2/KCNQ2/SLC12A8/DPP6/KCNT2/KCNA2/KCNC1/LOC115498404/TRPM1/SFXN5/SLC24A2/GRIA4/GRIA1/SARAF/KCNB1/KCNA4/CACNA1I/TRPM3/TRPM5/LOC100222137/SLC6A1/SLC12A5/GABRR1/SLC6A17/GABRD/GABRA4/KCNT1/GRIA2/GRIN1/LOC100221337/ATP1A3"
"GO:0034220","monoatomic ion transmembrane transport",341,-0.514338643561028,-1.7525341037598,1.18369504323284e-07,2.3496346608172e-05,2.14809500477203e-05,2233,"tags=24%, list=13%, signal=22%","NPSR1/LOC105758620/AKAP9/KCNH4/CACNA1H/KCNK12/CACNA1E/KCNJ10/KCNQ4/ARC/ASIC3/LOC100224802/RYR3/FGF12/SLC39A3/SLC30A5/ATP2A1/GABRB2/WNK2/LOC100144431/LOC105760330/FGF13/P2RX4/SLC39A14/HCN1/KCNV1/KCNQ1/KCNQ5/SCNN1A/KCNQ3/SCN8A/KCNH1/GABRB3/GABRR3/SLC8A3/KCNAB1/SLC39A13/SLC25A37/LOC100228479/ATP2B2/ATP6V0D2/WNK4/ATP6V1C2/SCNN1D/LOC100230156/KCNIP2/CACNB2/ATP6V1G3/CACNA1D/SLC6A8/ATP1B2/SCN4A/LOC105758604/KCNJ3/CACNG2/ANO4/GABRA1/KCNIP4/GABRA2/KCNQ2/SLC12A8/DPP6/KCNT2/KCNA2/KCNC1/LOC115498404/TRPM1/SLC24A2/KCNB1/KCNA4/CACNA1I/TRPM3/TRPM5/LOC100222137/SLC6A1/SLC12A5/GABRR1/SLC6A17/GABRD/GABRA4/KCNT1/LOC100221337/ATP1A3"
"GO:0042063","gliogenesis",21,-0.897969012583486,-2.06190422904752,2.70232916371677e-07,4.87647580907073e-05,4.45819662990213e-05,506,"tags=33%, list=3%, signal=32%","HAPLN3/HAPLN2/PLP1/LOC121468894/LOC121468922/LOC121469095/LOC121468923"
"GO:0023061","signal release",73,-0.707071432811085,-2.03372062786357,6.97844899127328e-07,0.000115435177063979,0.000105533737376799,1300,"tags=25%, list=8%, signal=23%","SYN3/UNC13C/LOC121470963/LIN7B/SYT7/LIN7A/SNCA/SYT13/CADPS/CHGA/PDZD11/POMC/SYT9/CPLX1/SYN2/SYT2/SYT1/SNAP25"
"GO:0098660","inorganic ion transmembrane transport",326,-0.507253514072478,-1.72804571441785,8.44938489512099e-07,0.000129015607821655,0.000117949308171568,2233,"tags=25%, list=13%, signal=22%","NPSR1/LOC105758620/AKAP9/KCNH4/CACNA1H/KCNK12/CACNA1E/KCNJ10/KCNQ4/ASIC3/LOC100224802/RYR3/FGF12/SLC39A3/SLC30A5/ATP2A1/GABRB2/WNK2/LOC100144431/LOC105760330/RHBG/RHCE/FGF13/P2RX4/SLC39A14/HCN1/KCNV1/KCNQ1/KCNQ5/SCNN1A/KCNQ3/SCN8A/KCNH1/GABRB3/GABRR3/SLC8A3/KCNAB1/SLC39A13/SLC25A37/LOC100228479/ATP2B2/ATP6V0D2/WNK4/ATP6V1C2/SCNN1D/LOC100230156/KCNIP2/CACNB2/ATP6V1G3/CACNA1D/SLC6A8/ATP1B2/SCN4A/LOC105758604/KCNJ3/CACNG2/ANO4/GABRA1/KCNIP4/GABRA2/KCNQ2/SLC12A8/DPP6/KCNT2/KCNA2/KCNC1/LOC115498404/SLC24A2/KCNB1/KCNA4/CACNA1I/TRPM5/LOC100222137/SLC6A1/SLC12A5/GABRR1/SLC6A17/GABRD/GABRA4/KCNT1/LOC100221337/ATP1A3"
"GO:0098655","monoatomic cation transmembrane transport",301,-0.508831513112048,-1.71830364294211,1.70094764063943e-06,0.000241170076190662,0.000220483739282886,2233,"tags=24%, list=13%, signal=21%","NPSR1/LOC105758620/AKAP9/KCNH4/CACNA1H/KCNK12/CACNA1E/KCNJ10/KCNQ4/ASIC3/LOC100224802/RYR3/FGF12/SLC39A3/SLC30A5/ATP2A1/WNK2/LOC105760330/FGF13/P2RX4/SLC39A14/HCN1/KCNV1/KCNQ1/KCNQ5/SCNN1A/KCNQ3/SCN8A/KCNH1/SLC8A3/KCNAB1/SLC39A13/SLC25A37/LOC100228479/ATP2B2/ATP6V0D2/WNK4/ATP6V1C2/SCNN1D/KCNIP2/CACNB2/ATP6V1G3/CACNA1D/SLC6A8/ATP1B2/SCN4A/LOC105758604/KCNJ3/CACNG2/KCNIP4/KCNQ2/SLC12A8/DPP6/KCNT2/KCNA2/KCNC1/LOC115498404/TRPM1/SLC24A2/KCNB1/KCNA4/CACNA1I/TRPM3/TRPM5/LOC100222137/SLC6A1/SLC12A5/SLC6A17/KCNT1/LOC100221337/ATP1A3"
"GO:0010001","glial cell differentiation",18,-0.901819547124379,-2.00182084887062,1.96652195075915e-06,0.000246571156944263,0.000225421542925579,506,"tags=39%, list=3%, signal=38%","HAPLN3/HAPLN2/PLP1/LOC121468894/LOC121468922/LOC121469095/LOC121468923"
"GO:0071805","potassium ion transmembrane transport",103,-0.645214240931389,-1.9553977026361,2.01252282721587e-06,0.000246571156944263,0.000225421542925579,2193,"tags=31%, list=13%, signal=27%","AKAP9/KCNH4/KCNK12/KCNJ10/KCNQ4/LOC100224802/WNK2/LOC105760330/HCN1/KCNV1/KCNQ1/KCNQ5/KCNQ3/KCNH1/KCNAB1/WNK4/KCNIP2/ATP1B2/LOC105758604/KCNJ3/KCNIP4/KCNQ2/SLC12A8/DPP6/KCNT2/KCNA2/KCNC1/KCNB1/KCNA4/SLC12A5/KCNT1/ATP1A3"
"GO:0030001","metal ion transport",326,-0.499226235254583,-1.70069941838466,2.11169252798613e-06,0.000246571156944263,0.000225421542925579,2233,"tags=23%, list=13%, signal=20%","NPSR1/LOC105758620/AKAP9/KCNH4/CACNA1H/KCNK12/CACNA1E/KCNJ10/NKAIN4/KCNQ4/ASIC3/LOC100224802/RYR3/FGF12/SLC39A3/SLC30A5/ATP2A1/WNK2/LOC100221772/LOC105760330/FGF13/P2RX4/SLC48A1/SLC39A14/HCN1/KCNV1/KCNQ1/STEAP2/KCNQ5/SCNN1A/KCNQ3/MELTF/SCN8A/KCNH1/SLC8A3/KCNAB1/SLC39A13/SLC25A37/LOC100228479/ATP2B2/WNK4/SCNN1D/KCNIP2/CACNB2/CACNA1D/SLC6A8/ATP1B2/SCN4A/LOC105758604/KCNJ3/CACNG2/KCNIP4/SELENOK/KCNQ2/SLC12A8/DPP6/KCNT2/KCNA2/KCNC1/TRPM1/SLC24A2/SARAF/KCNB1/KCNA4/CACNA1I/TRPM3/TRPM5/LOC100222137/SLC6A1/SLC12A5/SLC6A17/KCNT1/LOC100221337/ATP1A3"
"GO:0050877","nervous system process",115,-0.640949890919931,-1.96158239903095,2.83385173576719e-06,0.000312510871972104,0.000285705286108926,1796,"tags=30%, list=11%, signal=27%","ADGRV1/GABRB2/LOC105759208/CRYBB3/LOC100144431/LOC100220647/OPRL1/SYNM/GRIN2A/LHFPL5/KBTBD13/SCN8A/GRIN2B/GABRB3/GABRR3/DLGAP1/TNNI3/LOC100230156/PENK/PDE6H/SCN4A/CACNG2/GABRA1/WHRN/GABRA2/TMC1/PTCHD1/PCDH15/CST7/GABRR1/LHFPL4/GABRD/GABRA4/LOC100221337"
"GO:0006813","potassium ion transport",111,-0.627182232746834,-1.90590742493641,4.53688108785643e-06,0.000473984682073421,0.000433328697809666,2193,"tags=29%, list=13%, signal=25%","AKAP9/KCNH4/KCNK12/KCNJ10/KCNQ4/LOC100224802/WNK2/LOC105760330/HCN1/KCNV1/KCNQ1/KCNQ5/KCNQ3/KCNH1/KCNAB1/WNK4/KCNIP2/ATP1B2/LOC105758604/KCNJ3/KCNIP4/KCNQ2/SLC12A8/DPP6/KCNT2/KCNA2/KCNC1/KCNB1/KCNA4/SLC12A5/KCNT1/ATP1A3"
"GO:0009060","aerobic respiration",59,0.714394679794831,1.99210533510238,5.54686193637195e-06,0.000546505583125155,0.000499629126505511,2897,"tags=54%, list=17%, signal=45%","SUCLG1/IDH3A/DLST/MDH1/NDUFS2/MDH2/CYCS/CS/NDUFV2/ACO2/SUCLG2/ATP5F1B/NDUFC2/COX7A2/NDUFA10/ATP5PO/NDUFS7/FH/SUCLA2/IDH3B/ANTKMT/SDHC/NDUFS8/SHMT2/ACO1/NDUFA8/COX7B/SDHB/ATP5MF/ACLY/ATPSCKMT/OGDH"
"GO:0021700","developmental maturation",21,-0.865754778008184,-1.98793434191829,5.78167115648779e-06,0.000546505583125155,0.000499629126505511,169,"tags=38%, list=1%, signal=38%","UNC13C/SYBU/SEZ6/ADGRB3/LOC121468894/LOC121468922/LOC121469095/LOC121468923"
