"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0045202","synapse",325,-0.605730148225854,-2.04051048739264,1e-10,4.25e-08,3.58947368421053e-08,1192,"tags=22%, list=7%, signal=21%","GABRB3/SLITRK2/GABRR3/SLC8A3/FCHSD1/PRSS12/DLGAP1/ATP2B2/RAPSN/RTN1/CHRM4/LRRC7/CRHR2/DTNA/LIN7B/GPC1/LOC100230156/SYT7/PENK/SH2D5/GAP43/LIN7A/SNTB2/SNCA/SYT13/LZTS3/SLITRK3/ARHGAP44/GAD1/HAPLN3/GRIK1/CACNG2/GABRA1/SLITRK4/GRM5/MAP1A/ADGRB1/GABRA2/CSPG5/PCLO/KCNA2/KCNC1/RAB3C/PTCHD1/CBLN1/ZMYND19/AMPH/CADPS/GRIA4/ADAM22/GRIA1/KCNB1/PDZD11/HAPLN2/KCNA4/MAP1B/SV2B/SEZ6/CPLX1/CALB1/NEFM/ADGRB3/SNCB/GABRR1/SLC6A17/LHFPL4/SYN2/SYT2/GABRD/GABRA4/GRIA2/SYT1/GRIN1"
"GO:0043005","neuron projection",342,-0.557651083018513,-1.88168596991574,5.92658642607104e-10,1.2593996155401e-07,1.06366630067907e-07,1681,"tags=23%, list=10%, signal=21%","NAPB/BRINP2/LOC100144431/CNTF/NPY4R2/OPRL1/HCN1/TENM3/GIGYF2/EPHA5/RGS9/UNC13C/SCN8A/PCSK1/SSTR4/GABRB3/GABRR3/SLC8A3/KCNAB1/MAP2/PRSS12/ERMN/CNTN2/SARM1/RTN1/PCSK2/MAP6/CHRM4/LRRC7/DCX/CRHR2/LOC100230156/FEZ1/MAGI2/PENK/PDE6H/COBL/SNCA/SYT13/LZTS3/CHL1/SCN4A/ARHGAP44/ADCYAP1/GABRA1/WHRN/MAP1A/ADGRB1/GABRA2/PCLO/KCNA2/KCNC1/PCDH15/GRIA4/UNC80/GRIA1/KCNB1/KCNA4/MAP1B/STMN3/CACNA1I/BRINP1/SV2B/SEZ6/SLC6A1/CPLX1/CALB1/NEFM/SNCB/GABRR1/SYT2/GABRD/GABRA4/GRIA2/SYT1/GRIN1/LOC100221337"
"GO:0034702","monoatomic ion channel complex",101,-0.654605212628715,-1.93966176640792,1.54610099124011e-06,0.000149369560954222,0.000126154849004061,1489,"tags=32%, list=9%, signal=29%","GRIN2A/HCN1/KCNV1/KCNQ1/KCNQ5/SCNN1A/KCNQ3/SCN8A/GRIN2B/KCNAB1/SCNN1D/KCNIP2/CACNB2/CACNA1D/SCN4A/LOC105758604/GRIK1/CACNG2/KCNIP4/KCNQ2/DPP6/KCNA2/KCNC1/GRIA4/UNC80/GRIA1/KCNB1/KCNA4/CACNA1I/GRIA2/GRIN1/LOC100221337"
"GO:1902495","transmembrane transporter complex",126,-0.632718956982294,-1.9352382646828,1.46343255157416e-06,0.000149369560954222,0.000126154849004061,1867,"tags=33%, list=11%, signal=29%","RYR3/LRRC55/VWC2L/LOC105760330/GRIN2A/HCN1/KCNV1/KCNQ1/KCNQ5/SCNN1A/KCNQ3/SCN8A/GRIN2B/KCNAB1/ATP6V0D2/ATP6V1C2/SCNN1D/KCNIP2/CACNB2/ATP6V1G3/CACNA1D/ATP1B2/SCN4A/LOC105758604/GRIK1/CACNG2/KCNIP4/KCNQ2/DPP6/KCNA2/KCNC1/LOC115498404/GRIA4/UNC80/GRIA1/KCNB1/KCNA4/CACNA1I/GRIA2/GRIN1/LOC100221337"
"GO:1990351","transporter complex",130,-0.613089863003542,-1.88834469823053,1.75728895240261e-06,0.000149369560954222,0.000126154849004061,1867,"tags=32%, list=11%, signal=28%","RYR3/LRRC55/VWC2L/LOC105760330/GRIN2A/HCN1/KCNV1/KCNQ1/KCNQ5/SCNN1A/KCNQ3/SCN8A/GRIN2B/KCNAB1/ATP6V0D2/ATP6V1C2/SCNN1D/KCNIP2/CACNB2/ATP6V1G3/CACNA1D/ATP1B2/SCN4A/LOC105758604/GRIK1/CACNG2/KCNIP4/KCNQ2/DPP6/KCNA2/KCNC1/LOC115498404/GRIA4/UNC80/GRIA1/KCNB1/KCNA4/CACNA1I/GRIA2/GRIN1/LOC100221337"
"GO:0030424","axon",130,-0.609772946783075,-1.87812844521876,2.70236717682634e-06,0.000191417675025199,0.000161667931104874,1279,"tags=24%, list=8%, signal=22%","UNC13C/SCN8A/SLC8A3/KCNAB1/PRSS12/ERMN/CNTN2/MAP6/LRRC7/CRHR2/FEZ1/PENK/COBL/SNCA/SYT13/CHL1/SCN4A/PCLO/KCNA2/KCNC1/UNC80/KCNB1/KCNA4/SLC6A1/CPLX1/CALB1/NEFM/SNCB/SYT2/SYT1/LOC100221337"
"GO:0098794","postsynapse",141,-0.59115089470427,-1.83196526277124,4.94031035239538e-06,0.000299947414252576,0.000253330200025086,1844,"tags=26%, list=11%, signal=24%","APBA2/GRID2/CLSTN2/LRRC4C/LOC100144431/NLGN4X/LRRC4/GRIPAP1/SLC8A3/DLGAP1/ATP2B2/RTN1/LRRC7/SH2D5/GAP43/LZTS3/SLITRK3/ARHGAP44/GRIK1/CACNG2/GABRA1/GRM5/ADGRB1/GABRA2/KCNC1/GRIA4/ADAM22/GRIA1/KCNB1/KCNA4/SEZ6/CALB1/NEFM/ADGRB3/LHFPL4/GABRA4/GRIA2"
"GO:0098793","presynapse",127,-0.59831103669576,-1.83658779982287,2.67272413702709e-05,0.00141988469779564,0.00119920911937663,1300,"tags=18%, list=8%, signal=17%","SYN3/UNC13C/PRSS12/CRHR2/SYT7/PENK/SNCA/ARHGAP44/GAD1/GRIK1/PCLO/KCNA2/KCNC1/RAB3C/AMPH/SV2B/CPLX1/CALB1/SNCB/SLC6A17/SYN2/SYT2/SYT1"
"GO:0036477","somatodendritic compartment",159,-0.543533858988537,-1.71147402520496,7.30467055280759e-05,0.00310848688438274,0.00262537220451892,1067,"tags=19%, list=6%, signal=18%","PRSS12/ERMN/SARM1/MAP6/CHRM4/CRHR2/MAGI2/PENK/COBL/SNCA/LZTS3/CADM2/ARHGAP44/ADCYAP1/GABRA1/MAP1A/ADGRB1/GABRA2/KCNA2/KCNC1/GRIA4/GRIA1/KCNB1/KCNA4/MAP1B/BRINP1/SEZ6/CALB1/SNCB/GABRA4/GRIA2"
"GO:0005740","mitochondrial envelope",175,0.512345402790256,1.6947365438292,7.31408678678292e-05,0.00310848688438274,0.00262537220451892,3143,"tags=34%, list=18%, signal=28%","SLC25A3/VDAC2/APOOL/SLC25A19/LETM1/MCU/ETFDH/PRELID3B/VDAC3/TMEM70/SLC25A4/IMMT/CYCS/OPA1/CHCHD4/SPG7/MARCHF5/TOMM40L/MFN1/MPC2/CHCHD3/SFXN1/COX19/NDUFC2/RNF144B/NNT/LOC100219950/RHOT1/MICU3/BAK1/MPC1/SLC25A20/ABCB7/SLC25A26/SDHAF3/CHCHD6/MIEF2/OMA1/LOC100221217/TOMM6/EXOG/TIMM17A/ABCB10/NLN/SHMT2/TTC19/COQ9/SDHB/APOO/CISD1/TRAP1/TAFAZZIN/TIMM50/COQ4/MFF/MICOS13/MTX1/EFHD1/NDUFA7/ATAD1"
