"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0005216","monoatomic ion channel activity",245,-0.581406113518065,-1.91684538305052,2.74113585419516e-09,1.88590146768627e-06,1.65333773100403e-06,2184,"tags=28%, list=13%, signal=25%","KCNH4/CACNA1H/KCNK12/CACNA1E/KCNJ10/KCNQ4/ASIC3/TMCO1/LOC100224802/RYR3/LRRC55/GRID2/BEST3/GABRB2/TMEM63B/LOC100144431/P2RX4/GRIN2A/HCN1/KCNV1/KCNQ1/KCNQ5/SCNN1A/KCNQ3/SCN8A/KCNH1/GRIN2B/GABRB3/GABRR3/KCNAB1/SCNN1D/LOC100230156/TMEM63A/CACNB2/CACNA1D/TMC5/SCN4A/LOC105758604/KCNJ3/GRIK1/CACNG2/ANO4/GABRA1/TMEM63C/GABRA2/KCNQ2/KCNT2/KCNA2/TMC1/KCNC1/TRPM1/SLC24A2/PIEZO2/GRIA4/UNC80/GRIA1/KCNB1/KCNA4/CACNA1I/TRPM3/TRPM5/GABRR1/GABRD/GABRA4/KCNT1/GRIA2/SNAP25/GRIN1/LOC100221337"
"GO:0022836","gated channel activity",186,-0.618327898267795,-1.96461107657808,1.03343981157696e-08,3.55503295182474e-06,3.11663690543998e-06,2184,"tags=32%, list=13%, signal=28%","KCNH4/CACNA1H/KCNK12/CACNA1E/KCNJ10/KCNQ4/ASIC3/LOC100224802/RYR3/LRRC55/GRID2/GABRB2/TMEM63B/LOC100144431/P2RX4/GRIN2A/HCN1/KCNV1/KCNQ1/KCNQ5/SCNN1A/KCNQ3/KCNH1/GRIN2B/GABRB3/GABRR3/KCNAB1/SCNN1D/LOC100230156/TMEM63A/CACNB2/CACNA1D/TMC5/LOC105758604/KCNJ3/GRIK1/CACNG2/ANO4/GABRA1/TMEM63C/GABRA2/KCNQ2/KCNT2/KCNA2/TMC1/KCNC1/PIEZO2/GRIA4/GRIA1/KCNB1/KCNA4/CACNA1I/TRPM5/GABRR1/GABRD/GABRA4/KCNT1/GRIA2/SNAP25/GRIN1"
"GO:0015267","channel activity",281,-0.553071462008708,-1.85569758575444,3.44666731138836e-08,4.00367269969134e-06,3.50995173947849e-06,2184,"tags=27%, list=13%, signal=24%","KCNH4/CACNA1H/KCNK12/GJB7/CACNA1E/KCNJ10/GJA9/KCNQ4/LOC100219548/ASIC3/TMCO1/LOC100224802/RYR3/LRRC55/GRID2/BEST3/PANX1/GABRB2/LOC100220064/TMEM63B/LOC100144431/RHBG/RHCE/P2RX4/GRIN2A/HCN1/KCNV1/KCNQ1/KCNQ5/SCNN1A/KCNQ3/SCN8A/KCNH1/LOC115491449/GRIN2B/GABRB3/GABRR3/KCNAB1/SCNN1D/LOC100230156/TMEM63A/CACNB2/CACNA1D/TMC5/SCN4A/LOC105758604/KCNJ3/GRIK1/CACNG2/ANO4/GABRA1/TMEM63C/GABRA2/KCNQ2/KCNT2/KCNA2/TMC1/KCNC1/TRPM1/SLC24A2/PIEZO2/GRIA4/UNC80/GRIA1/KCNB1/KCNA4/CACNA1I/TRPM3/TRPM5/GABRR1/GABRD/GABRA4/KCNT1/GRIA2/SNAP25/GRIN1/LOC100221337"
"GO:0022803","passive transmembrane transporter activity",281,-0.553071462008708,-1.85569758575444,3.44666731138836e-08,4.00367269969134e-06,3.50995173947849e-06,2184,"tags=27%, list=13%, signal=24%","KCNH4/CACNA1H/KCNK12/GJB7/CACNA1E/KCNJ10/GJA9/KCNQ4/LOC100219548/ASIC3/TMCO1/LOC100224802/RYR3/LRRC55/GRID2/BEST3/PANX1/GABRB2/LOC100220064/TMEM63B/LOC100144431/RHBG/RHCE/P2RX4/GRIN2A/HCN1/KCNV1/KCNQ1/KCNQ5/SCNN1A/KCNQ3/SCN8A/KCNH1/LOC115491449/GRIN2B/GABRB3/GABRR3/KCNAB1/SCNN1D/LOC100230156/TMEM63A/CACNB2/CACNA1D/TMC5/SCN4A/LOC105758604/KCNJ3/GRIK1/CACNG2/ANO4/GABRA1/TMEM63C/GABRA2/KCNQ2/KCNT2/KCNA2/TMC1/KCNC1/TRPM1/SLC24A2/PIEZO2/GRIA4/UNC80/GRIA1/KCNB1/KCNA4/CACNA1I/TRPM3/TRPM5/GABRR1/GABRD/GABRA4/KCNT1/GRIA2/SNAP25/GRIN1/LOC100221337"
"GO:0015318","inorganic molecular entity transmembrane transporter activity",371,-0.511233557699958,-1.74808143623121,2.50188155082179e-08,4.00367269969134e-06,3.50995173947849e-06,1965,"tags=22%, list=12%, signal=20%","ASIC3/TMCO1/LOC100224802/RYR3/SLC39A3/LRRC55/SLC30A5/BEST3/ATP2A1/GABRB2/LOC100220064/LOC100144431/LOC105760330/RHBG/RHCE/SLC39A14/GRIN2A/HCN1/KCNV1/KCNQ1/KCNQ5/SLC4A5/SCNN1A/KCNQ3/SCN8A/KCNH1/LOC115491449/GRIN2B/GABRB3/GABRR3/SLC8A3/KCNAB1/SLC39A13/SLC25A37/ATP2B2/ATP6V0D2/ATP6V1C2/SCNN1D/LOC100230156/CACNB2/ATP6V1G3/CACNA1D/SLC6A8/SCN4A/LOC105758604/SLC45A2/KCNJ3/GRIK1/CACNG2/ANO4/GABRA1/GABRA2/KCNQ2/SLC12A8/KCNT2/SLC1A2/KCNA2/TMC1/KCNC1/LOC115498404/TRPM1/SLC24A2/GRIA4/GRIA1/KCNB1/KCNA4/CACNA1I/TRPM5/LOC100222137/SLC6A1/SLC1A3/SLC12A5/GABRR1/GABRD/GABRA4/KCNT1/GRIA2/SNAP25/GRIN1/LOC100221337/ATP1A3"
"GO:0015075","monoatomic ion transmembrane transporter activity",410,-0.50529980005913,-1.73219430810661,3.49157502880059e-08,4.00367269969134e-06,3.50995173947849e-06,1867,"tags=21%, list=11%, signal=19%","ASIC3/TMCO1/LOC100224802/RYR3/SLC39A3/LRRC55/SLC30A5/GRID2/BEST3/ATP2A1/GABRB2/TMEM63B/LOC100144431/LOC105760330/P2RX4/SLC39A14/GRIN2A/HCN1/KCNV1/KCNQ1/KCNQ5/SLC4A5/SCNN1A/KCNQ3/SCN8A/KCNH1/GRIN2B/GABRB3/GABRR3/SLC8A3/KCNAB1/SLC39A13/SLC25A37/ATP2B2/ATP6V0D2/ATP6V1C2/SCNN1D/LOC100230156/TMEM63A/CACNB2/ATP6V1G3/CACNA1D/SLC6A8/TMC5/SCN4A/LOC105758604/SLC45A2/KCNJ3/GRIK1/CACNG2/ANO4/GABRA1/TMEM63C/GABRA2/KCNQ2/SLC12A8/KCNT2/SLC1A2/KCNA2/TMC1/KCNC1/LOC115498404/TRPM1/SFXN5/SLC24A2/PIEZO2/GRIA4/UNC80/GRIA1/KCNB1/KCNA4/CACNA1I/TRPM3/TRPM5/LOC100222137/SLC6A1/SLC1A3/SLC12A5/GABRR1/GABRD/GABRA4/KCNT1/GRIA2/SNAP25/GRIN1/LOC100221337/ATP1A3"
"GO:0022890","inorganic cation transmembrane transporter activity",309,-0.536067466370469,-1.80982999103218,5.66082615469442e-08,5.56378342061394e-06,4.87767426562391e-06,2208,"tags=24%, list=13%, signal=21%","LOC105758620/KCNH4/CACNA1H/KCNK12/CACNA1E/KCNJ10/KCNQ4/ASIC3/TMCO1/LOC100224802/RYR3/SLC39A3/LRRC55/SLC30A5/ATP2A1/LOC105760330/RHBG/RHCE/SLC39A14/GRIN2A/HCN1/KCNV1/KCNQ1/KCNQ5/SLC4A5/SCNN1A/KCNQ3/SCN8A/KCNH1/GRIN2B/SLC8A3/KCNAB1/SLC39A13/SLC25A37/ATP2B2/ATP6V0D2/ATP6V1C2/SCNN1D/CACNB2/ATP6V1G3/CACNA1D/SLC6A8/SCN4A/LOC105758604/SLC45A2/KCNJ3/GRIK1/CACNG2/KCNQ2/SLC12A8/KCNT2/SLC1A2/KCNA2/TMC1/KCNC1/LOC115498404/TRPM1/SLC24A2/GRIA4/GRIA1/KCNB1/KCNA4/CACNA1I/TRPM5/LOC100222137/SLC6A1/SLC1A3/SLC12A5/KCNT1/GRIA2/SNAP25/GRIN1/LOC100221337/ATP1A3"
"GO:0015276","ligand-gated monoatomic ion channel activity",94,-0.691054205703106,-2.0309618203325,2.27936255960213e-07,1.74244604556252e-05,1.52757280310178e-05,1965,"tags=34%, list=12%, signal=30%","KCNJ10/ASIC3/RYR3/GRID2/GABRB2/TMEM63B/LOC100144431/P2RX4/GRIN2A/SCNN1A/GRIN2B/GABRB3/GABRR3/SCNN1D/LOC100230156/TMEM63A/KCNJ3/GRIK1/ANO4/GABRA1/TMEM63C/GABRA2/KCNT2/GRIA4/GRIA1/TRPM5/GABRR1/GABRD/GABRA4/KCNT1/GRIA2/GRIN1"
"GO:0022834","ligand-gated channel activity",94,-0.691054205703106,-2.0309618203325,2.27936255960213e-07,1.74244604556252e-05,1.52757280310178e-05,1965,"tags=34%, list=12%, signal=30%","KCNJ10/ASIC3/RYR3/GRID2/GABRB2/TMEM63B/LOC100144431/P2RX4/GRIN2A/SCNN1A/GRIN2B/GABRB3/GABRR3/SCNN1D/LOC100230156/TMEM63A/KCNJ3/GRIK1/ANO4/GABRA1/TMEM63C/GABRA2/KCNT2/GRIA4/GRIA1/TRPM5/GABRR1/GABRD/GABRA4/KCNT1/GRIA2/GRIN1"
"GO:0015079","potassium ion transmembrane transporter activity",105,-0.648413399876124,-1.93767499956603,1.57499382527156e-06,0.000108359575178684,9.49969959874323e-05,2184,"tags=28%, list=13%, signal=24%","KCNH4/KCNK12/KCNJ10/KCNQ4/LOC100224802/LRRC55/LOC105760330/HCN1/KCNV1/KCNQ1/KCNQ5/KCNQ3/KCNH1/KCNAB1/LOC105758604/KCNJ3/GRIK1/KCNQ2/SLC12A8/KCNT2/KCNA2/KCNC1/SLC24A2/KCNB1/KCNA4/SLC12A5/KCNT1/SNAP25/ATP1A3"
