"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"tgu04141","Protein processing in endoplasmic reticulum",127,-0.635468838254968,-2.00221212243382,4.26248326807944e-07,7.07572222501187e-05,5.74313535067546e-05,803,"tags=29%, list=8%, signal=27%","100230089/100225468/100232642/100225681/100221023/100222173/100222627/100226016/100228575/100227940/100229646/100230603/100226591/100221388/100225249/100190365/100222568/100218167/100223400/100232562/100223479/100218236/100222913/100227372/100225821/100190479/100231514/100221840/101234078/100229535/100229780/100190240/100232043/100190262/100217667/100217698/100190272"
"tgu04082","Neuroactive ligand signaling",110,-0.625523110716896,-1.93398443326903,2.7732174943565e-06,0.00023017705203159,0.000186827283830333,877,"tags=29%, list=9%, signal=27%","100226617/100227070/100227722/100220449/100219022/100232437/778440/751956/100222300/100230475/100219441/115492695/100220023/100190068/751958/751992/752008/100232756/751963/100218134/751954/751952/115492163/100224299/100225982/100229066/100225338/100223958/100221609/100232833/751775/751779"
"tgu01212","Fatty acid metabolism",46,0.740078069550754,1.97749012907663,8.08385684154794e-06,0.000447306745232319,0.000363064447620399,1719,"tags=52%, list=17%, signal=44%","100230721/100190615/100225746/100228952/100226785/100231239/100229833/100229171/100226957/100231220/100232428/100222541/100230333/100232649/115492591/100223714/100229322/100227254/100223843/100222631/100224772/100231849/100217956/100222209"
"tgu04080","Neuroactive ligand-receptor interaction",162,-0.556000560748872,-1.81525572964889,1.55371084696719e-05,0.000644790001491384,0.000523355232662633,1039,"tags=23%, list=10%, signal=21%","115497631/100227070/100220136/100227368/100227722/100230830/100220449/100219022/100232437/778440/751956/100222300/100232490/100230475/100219441/100231623/100220023/115495438/100222475/100219758/100190068/751586/100227865/751958/100225028/751992/752008/100232756/751963/751954/751952/100225338/100221609/100232833/751775/751607/751779"
"tgu00020","Citrate cycle (TCA cycle)",22,0.782199579881892,1.82320369694333,0.000435788510295641,0.0112954707540528,0.00916816903309297,1200,"tags=64%, list=12%, signal=56%","100224467/100190682/100226824/100190381/100221470/100190484/100225079/100227287/100225534/100220748/115496732/100217618/100227336/100224627"
"tgu00071","Fatty acid degradation",27,0.744413476505937,1.81742646431886,0.000544360036339895,0.0112954707540528,0.00916816903309297,1719,"tags=59%, list=17%, signal=49%","100229295/100228952/100226785/100231239/100229171/100232428/100230333/100225645/115492591/100229322/100227254/100224772/100219061/100231849/100217956/100222209"
"tgu04114","Oocyte meiosis",82,0.584837216770726,1.69689492646035,0.000533435705958118,0.0112954707540528,0.00916816903309297,1106,"tags=27%, list=11%, signal=24%","100226105/100229612/100220802/100217995/100221059/100229905/100223051/100224856/100229058/100223842/100190726/751774/100223686/105759030/100224238/100218430/100190399/100229976/100228589/100190311/100226622/100190745"
"tgu04218","Cellular senescence",111,0.552368658326435,1.68984221877343,0.000429946454626655,0.0112954707540528,0.00916816903309297,1367,"tags=23%, list=13%, signal=20%","100217629/100231612/100224096/100220802/115497941/100221276/100230789/100219709/100230031/100190545/100227980/100224372/100229058/100228629/100230911/100232504/105759030/100224238/100218430/100190399/100221185/100222189/100225195/100218382/100232515"
"tgu04340","Hedgehog signaling pathway",46,0.667299774095144,1.78302637343277,0.000737510899131106,0.0122426809255764,0.00993698895671385,630,"tags=15%, list=6%, signal=14%","100226105/100231612/100224096/101233062/100220091/100221136/100224246"
"tgu04910","Insulin signaling pathway",99,0.563383357215192,1.68562360206135,0.000714298348969646,0.0122426809255764,0.00993698895671385,1907,"tags=33%, list=19%, signal=27%","100226105/100217629/100220802/100225134/100230789/100227565/100218282/100226957/100218501/100232504/100224238/100190399/100231533/100232589/100221300/100230536/100222846/100224539/100221185/100220867/100224604/100189975/100225195/100222781/100225072/105758635/100222172/100230629/100227814/100190751/105759506/100221184/105760975"
