"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0006886","intracellular protein transport",287,0.497824941970128,1.96621527722672,1e-10,1.60076887297079e-07,1.40319286597943e-07,2371,"tags=28%, list=14%, signal=25%","TRAM2/SEC31A/TECPR2/CLTC/COPG1/GGA1/STX16/PEX5L/HIKESHI/MON1A/AP3B1/IPO11/IPO8/XPO5/USO1/SEC24A/ARF1/COPB1/SEC13/VCP/CSE1L/SNX9/COPB2/COG3/CLTCL1/ARF6/SEC24D/AP1G1/STX12/SCFD1/KPNA1/VPS26B/SCRIB/GGA3/COPA/PEX5/VPS45/PEX1/APPBP2/SEC24C/PEX13/XPO6/NUP155/ARHGAP44/SEC61A2/STX5/KPNA3/VPS36/VPS18/SNX17/AP3D1/SORL1/HEATR3/SEC31B/ASPSCR1/TNPO1/VPS37B/SNX27/NUP50/TOMM22/RPH3A/RAN/COPG2/CACNG2/IPO9/STX17/ARF3/KPNA5/PIK3R4/SAR1A/SRPRA/ARF4/AP2A2/AP2B1/ZFYVE16/SNX33/SEC23A/NUP153/KPNA6/NUP54/LRRC7"
"GO:0015031","protein transport",396,0.457446457241682,1.84806157669945,1.61286536319475e-10,1.60076887297079e-07,1.40319286597943e-07,2371,"tags=26%, list=14%, signal=23%","TRAM2/SEC31A/SNX21/TECPR2/C2CD2L/TFRC/CLTC/COPG1/GGA1/NSF/STX16/PEX5L/HIKESHI/MON1A/AP3B1/IPO11/IPO8/XPO5/USO1/SEC24A/ARF1/COPB1/SEC13/VCP/CSE1L/SNX9/COPB2/COG3/CLTCL1/ARF6/SEC24D/AP1G1/SCAMP1/STX12/CHGA/SCFD1/KPNA1/VPS26B/SCRIB/TIMM44/GGA3/COPA/PEX5/VPS45/PEX1/SNX30/APPBP2/SEC24C/PEX13/XPO6/NUP155/ARHGAP44/SCAMP4/SEC61A2/STX5/KPNA3/VPS36/VPS18/SNX17/AP3D1/SORL1/HEATR3/SEC31B/ASPSCR1/TNPO1/VPS37B/SNX27/NUP50/TOMM22/RPH3A/RAN/COPG2/GOLGA7/CACNG2/IPO9/RHBDF1/CHCHD4/PREB/STX17/ARF3/KPNA5/PIK3R4/SAR1A/HNF1B/AACS/SRPRA/TMEM167A/ARF4/GRPEL2/AP2A2/AP2B1/STXBP5/ZFYVE16/SNX33/SEC23A/NUP153/SNX18/LLGL2/TOMM40/KPNA6/SNX4/LOC100221217/NUP54/LRRC7"
"GO:0045184","establishment of protein localization",457,0.432509596592134,1.76548914091297,5.14216127217484e-10,3.40239670842235e-07,2.98245353786141e-07,2371,"tags=25%, list=14%, signal=22%","TRAM2/SEC31A/SNX21/TECPR2/C2CD2L/TFRC/CLTC/COPG1/GGA1/NSF/STX16/PEX5L/HIKESHI/MON1A/AP3B1/IPO11/IPO8/XPO5/USO1/SEC24A/ARF1/COPB1/SEC13/VCP/CSE1L/SNX9/COPB2/COG3/CLTCL1/ARF6/SEC24D/ZFAND2B/AP1G1/SCAMP1/STX12/CHGA/SCFD1/KPNA1/VPS26B/SCRIB/TIMM44/GGA3/COPA/PEX5/VPS45/PEX1/SNX30/APPBP2/SEC24C/PEX13/XPO6/NUP155/ARHGAP44/LRWD1/SCAMP4/SEC61A2/STX5/KPNA3/VPS36/VPS18/SNX17/AP3D1/SORL1/CAMLG/HEATR3/SEC31B/ASPSCR1/TNPO1/ZDHHC14/TRAK2/VPS37B/SNX27/NUP50/TOMM22/RPH3A/PMPCA/RAN/ZDHHC23/COPG2/GOLGA7/CACNG2/IPO9/SRP9/RHBDF1/CHCHD4/PREB/STX17/ARF3/KPNA5/PIK3R4/MIPEP/SAR1A/HNF1B/AACS/ATAD1/SRPRA/MFF/TMEM167A/ARF4/GRPEL2/AP2A2/AP2B1/STXBP5/ZFYVE16/SNX33/SEC23A/NUP153/SRP72/SNX18/LLGL2/TOMM40/KPNA6/SNX4/LOC100221217/NUP54/LRRC7"
"GO:0006694","steroid biosynthetic process",27,0.860028810766041,2.35678739600222,1.03084621573268e-09,5.11557434557342e-07,4.48418103843715e-07,397,"tags=41%, list=2%, signal=40%","FDFT1/SQLE/MVK/NSDHL/SCAP/DHCR7/HMGCR/LSS/INSIG1/HSD17B7/MSMO1"
"GO:0016125","sterol metabolic process",21,0.879049528119959,2.25031272071927,2.93390507398465e-08,8.43695453683583e-06,7.39561757888884e-06,397,"tags=48%, list=2%, signal=47%","FDFT1/SQLE/MVK/SCAP/DHCR7/HMGCR/LSS/INSIG1/HSD17B7/MSMO1"
"GO:0006695","cholesterol biosynthetic process",12,0.951033630587931,2.12106761279379,3.40028394431671e-08,8.43695453683583e-06,7.39561757888884e-06,184,"tags=58%, list=1%, signal=58%","FDFT1/MVK/SCAP/DHCR7/LSS/INSIG1/HSD17B7"
"GO:1902653","secondary alcohol biosynthetic process",12,0.951033630587931,2.12106761279379,3.40028394431671e-08,8.43695453683583e-06,7.39561757888884e-06,184,"tags=58%, list=1%, signal=58%","FDFT1/MVK/SCAP/DHCR7/LSS/INSIG1/HSD17B7"
"GO:0008610","lipid biosynthetic process",247,0.484038672096456,1.89108115547241,2.21322891033168e-08,8.43695453683583e-06,7.39561757888884e-06,2916,"tags=26%, list=17%, signal=22%","FDFT1/SQLE/IDI1/FDPS/MVK/NSDHL/MVD/SCAP/DHCR7/ELOVL5/PIK3R2/AGPAT2/HMGCR/LSS/INSIG1/PCYT1A/HSD17B7/PDSS1/MSMO1/PIP4K2B/UGCG/ST6GALNAC5/PISD/HMGCS1/IMPA2/SOCS5/SGMS2/ST3GAL6/CERS2/ELOVL1/PIK3C3/PEMT/PGAP2/LOC121468530/PI4K2A/PIGO/LOC116808047/PI4KA/SELENOI/LOC115494437/PIGN/ST3GAL1/LOC116808046/GPAT4/SCD/ELOVL2/ORMDL3/STAR/HACD3/PIGF/WDTC1/LOC100232706/LPIN1/LOC115494435/SPTLC1/IMPA1/GAL3ST1/BPNT2/PIGG/TTC7A/CERS4/LOC115493875/ACOT7/PI4K2B/SOCS7"
"GO:0006720","isoprenoid metabolic process",33,0.7944023756081,2.29017898767186,5.04818766228759e-08,9.66906260475428e-06,8.47565185504909e-06,843,"tags=27%, list=5%, signal=26%","FDFT1/IDI1/FDPS/MVK/MVD/HMGCR/LSS/PDSS1/HMGCS1"
"GO:0016126","sterol biosynthetic process",17,0.906834597445849,2.20978332708892,4.80292511769528e-08,9.66906260475428e-06,8.47565185504909e-06,397,"tags=59%, list=2%, signal=58%","FDFT1/SQLE/MVK/SCAP/DHCR7/HMGCR/LSS/INSIG1/HSD17B7/MSMO1"
"GO:0008203","cholesterol metabolic process",17,0.90611413032731,2.20802768583885,5.35817071296207e-08,9.66906260475428e-06,8.47565185504909e-06,184,"tags=47%, list=1%, signal=47%","FDFT1/SQLE/MVK/SCAP/DHCR7/LSS/INSIG1/HSD17B7"
"GO:0008202","steroid metabolic process",49,0.72561068712829,2.23858177548978,6.41503090074793e-08,1.06115302816539e-05,9.3017948060845e-06,397,"tags=29%, list=2%, signal=28%","FDFT1/SQLE/MVK/NSDHL/SCAP/DHCR7/DHCR24/HMGCR/LSS/INSIG1/HSD17B7/AMACR/LOC100225021/MSMO1"
"GO:0060047","heart contraction",33,-0.783114655707538,-2.16084561861869,7.78614420130492e-07,0.000118888432612233,0.00010421454546362,426,"tags=21%, list=3%, signal=21%","ADRB1/TNNT2/LOC100229852/TCAP/CSRP3/PLN/ACTC1"
"GO:0008299","isoprenoid biosynthetic process",17,0.876764646939029,2.13650858055464,1.52062801625945e-06,0.000215603329448214,0.000188992339163674,843,"tags=47%, list=5%, signal=45%","IDI1/FDPS/MVK/MVD/HMGCR/LSS/PDSS1/HMGCS1"
"GO:1902652","secondary alcohol metabolic process",22,0.827618991423168,2.16597444279959,1.74207925922163e-06,0.000230535155303662,0.000202081194069709,184,"tags=36%, list=1%, signal=36%","FDFT1/SQLE/MVK/SCAP/DHCR7/LSS/INSIG1/HSD17B7"
"GO:0098657","import into cell",244,0.452745924603112,1.76893209652833,1.94361209960026e-06,0.000241129376106657,0.000211367815831528,3626,"tags=33%, list=21%, signal=27%","SYT2/ATP1A3/CLTC/HGS/ARFGAP1/SNCB/HIP1R/SYT1/FCHO2/ADGRB1/CSNK1E/SLC27A4/SNX9/HEATR5B/EPN2/RAB29/ITSN1/CLTCL1/SLC1A2/SLC12A5/DNM2/CSNK1G2/CSNK1G1/SLC1A3/SGIP1/RALBP1/ARRB1/SLC39A14/BIN3/LOC100226244/PIK3C3/WNK2/PACSIN1/PACSIN2/LOC100222342/EHD3/SNCA/ATP9B/DYSF/SLC8A2/AMPH/SH3GL2/CACNG2/SNAP91/RABEP1/CLINT1/CACNA1B/LOC100230284/ATP1B2/OPHN1/AP2A2/SNX33/DENND1A/SNX18/KCNJ10/DENND1B/XKR6/SLC15A4/CACNA1E/NCF4/DNM1/EPN3/CSNK1G3/SLC12A4/AP3M1/RHOH/CLTB/RHOT1/PICALM/SMAP1/ATP1A1/NALF2/SLC8A3/NECAP1/SLC6A14/WNK1/RHOV/NLGN2/SYNJ2/LOC116806920/NLGN4X"
"GO:0046165","alcohol biosynthetic process",43,0.703169261483489,2.10861179738044,2.11739367750103e-06,0.000247236849990562,0.000216721470520694,184,"tags=16%, list=1%, signal=16%","FDFT1/MVK/SCAP/DHCR7/LSS/INSIG1/HSD17B7"
"GO:0008015","blood circulation",71,-0.638699845565189,-2.04653150362483,2.26446176697455e-06,0.000249719811524694,0.00021889797080754,1897,"tags=44%, list=11%, signal=39%","PDE4D/CASQ2/ENPEP/ADM/PRCP/OXTR/HTR2B/ADRB2/TMEM65/EDNRA/SGCD/GLP1R/AGTR1/TJP1/LOC115491955/ADRA2C/TNNI3/EDN1/ADRA1D/CORIN/HTR7/BDKRB2/ADRB1/EDN2/TNNT2/LOC100229852/TCAP/CSRP3/NPPA/PLN/ACTC1"
"GO:0009266","response to temperature stimulus",15,-0.88784579826377,-2.05328002086161,2.79044264387588e-06,0.000291527823583875,0.000255545800018107,629,"tags=47%, list=4%, signal=45%","HSBP1L1/LOC100218864/HSPB1/LOC100190429/HSP90AA1/DNAJA4/LOC105759762"
"GO:0048193","Golgi vesicle transport",159,0.496263633093834,1.83508468485256,3.27972803291821e-06,0.000325513007267132,0.000285336338863884,3495,"tags=41%, list=21%, signal=33%","SEC31A/COPG1/GGA1/NSF/USO1/SEC24A/TBC1D20/COPB1/SEC13/SEC22B/COPB2/COG3/SEC24D/AP1G1/EXOC4/SCFD1/SEC23IP/GGA3/COG8/COPA/ARCN1/SEC24C/NBAS/STX5/SEC16A/AP3D1/SORL1/SEC31B/EXOC8/ARFGAP2/ATP9B/GCC2/COPG2/YIPF6/GOLGA7/PREB/RABEP1/SAR1A/EXOC5/TRAPPC10/SEC22A/SEC23A/TEX261/SNX12/GOLGA4/COG2/TMED7/COG6/CCDC93/EXOC6B/GOLPH3L/SPIRE2/GOLPH3/COG4/CCDC91/YIPF5/TRAPPC2/YKT6/RAB12/SNX8/BLZF1/BET1L/TRAPPC2L/BICD2/ARFGAP3"
"GO:0003015","heart process",34,-0.753479754188799,-2.08813586674765,4.7007304545525e-06,0.000444330950108891,0.000389489094805779,426,"tags=21%, list=3%, signal=20%","ADRB1/TNNT2/LOC100229852/TCAP/CSRP3/PLN/ACTC1"
"GO:0009408","response to heat",14,-0.8909284643331,-2.03753158042066,7.72471764806563e-06,0.000696980205973195,0.0006109549412561,629,"tags=50%, list=4%, signal=48%","HSBP1L1/LOC100218864/HSPB1/LOC100190429/HSP90AA1/DNAJA4/LOC105759762"
