"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0022626","cytosolic ribosome",74,-0.729789995253619,-2.35604406517916,1.49925357467386e-10,3.18591384618195e-08,2.5408402686578e-08,3152,"tags=82%, list=19%, signal=67%","RPL38/RPS11/RPS13/RPL10A/RPL34/RPS8/RPL36A/RPS23/RPS28/LOC100190109/RPS19/RPS9/RPL27/RPS5/RPL21/RPL23A/RPS20/RPL6/RPL27A/RPL7A/RPL8/RPL29/RPLP1/RPL32/RPL5/RPL36/RPL4/RPL13A/RPL26L1/FAU/RPL14/RPL19/RPL11/RPSA/RPL7/RPL37/RPS14/RPL18A/RPL35A/RPS21/RPL39/RPL31/RPL18/RPL9/RPL23/RPLP2/RPS7/LOC116806891/RPS15A/RPL24/RPL15/RPS25/RPS4X/RPS15/RPL13/RPS29/RPL30/RPS3/RPL28/RPS27/RPS26"
"GO:0005840","ribosome",157,-0.612107784515244,-2.18021390411233,1e-10,3.18591384618195e-08,2.5408402686578e-08,3672,"tags=59%, list=22%, signal=46%","MRPL36/RPL12/MRPL18/MRPL55/MRPS18A/RPS16/RPL17/MRPL2/MRPL19/MRPL44/RPL38/RPS11/MRPS16/RPS13/RPL10A/RPL34/RPS8/RPL36A/MRPL33/RPS23/RPS28/LOC100190109/RPS19/MRPS23/RPS9/RPS17/MRPL51/MRPL54/RPL27/RPS5/RPL21/RPL23A/RPS20/MRPS15/RPL22L1/RPL6/TNFRSF6B/RPL27A/RPL7A/RPL8/RPL29/RPLP1/MRPS18B/RPL32/RPL5/RPL36/RPL4/RPL13A/RPS27A/RPL26L1/RPL22/FAU/RPP30/RPL14/RPL19/RPL11/RPSA/RPL7/RPL37/RPS14/RPL18A/RPL35A/RPS3A/RPS21/RPL39/MRPS12/RPL31/RPL18/RPL9/RPL23/RPLP2/RPS7/LOC116806891/HSPA14/RPS15A/RPL24/RPL15/RPS25/UBA52/RPS4X/RPS15/RPL13/RPS29/MRPL24/RPL30/RPL37A/RPS3/RPL28/RPS27/RPS24/RPS26/RPS18"
"GO:0000786","nucleosome",38,-0.805461978736435,-2.29912364754406,5.04887327278162e-09,5.23712162790978e-07,4.17672610324941e-07,2251,"tags=74%, list=13%, signal=64%","LOC100231116/SHPRH/LOC115493338/LOC100218691/LOC100221426/LOC115493503/LOC100224416/LOC100226365/LOC115493336/LOC100225322/LOC115493337/LOC100226305/LOC100227296/LOC100224417/LOC100229139/LOC100229197/LOC115493339/LOC121469108/LOC100231060/LOC100232209/LOC100223493/LOC100220543/LOC100221944/LOC100221480/LOC100229276/LOC100225375/LOC100227298/LOC100220586"
"GO:0044391","ribosomal subunit",130,-0.60314422890556,-2.10629597099025,4.04313568893001e-09,5.23712162790978e-07,4.17672610324941e-07,3962,"tags=62%, list=23%, signal=48%","RPS12/MRPL11/MRPL34/RPS27L/MRPL36/RPL12/MRPL55/MRPS18A/RPS16/RPL17/MRPL2/MRPL19/MRPL44/RPL38/RPS11/MRPS16/RPS13/RPL10A/RPL34/RPS8/RPL36A/RPS23/RPS28/LOC100190109/RPS19/RPS9/MRPL51/MRPL54/RPL27/RPS5/RPL21/RPL23A/RPS20/MRPS15/RPL6/RPL27A/RPL7A/RPL8/RPL29/RPLP1/RPL32/RPL5/RPL36/RPL4/RPL13A/RPL26L1/FAU/RPL14/RPL19/RPL11/RPSA/RPL7/RPL37/RPS14/RPL18A/RPL35A/RPS21/RPL39/MRPS12/RPL31/RPL18/RPL9/RPL23/RPLP2/RPS7/LOC116806891/RPS15A/RPL24/RPL15/RPS25/RPS4X/RPS15/RPL13/RPS29/RPL30/RPS3/RPL28/RPS27/RPS26/RPS18"
"GO:0098588","bounding membrane of organelle",424,0.427148733343807,1.75556309448741,6.1613195622468e-09,5.23712162790978e-07,4.17672610324941e-07,2348,"tags=23%, list=14%, signal=21%","PEX11A/SEC31A/SYT2/SNX21/SCAP/HMGCR/CLTC/ARFGAP1/COPG1/SYT1/PEX5L/SYNRG/USO1/SEC24A/SYN2/SYNGR1/COPB1/SEC13/SEC22B/MIEF2/GLG1/LOC100227480/FUNDC2/SV2B/COPB2/ATP6V1A/SPPL2B/PCSK7/EPN2/CLTCL1/ARF6/SEC24D/SLC25A17/MFN2/SLC32A1/AP1G1/SCAMP1/STX12/SCFD1/COPA/PEX5/VPS45/PEX1/ARCN1/SEC24C/PEX13/MTX3/HACE1/RGP1/SCAMP4/SEC61A2/ABCB9/MFN1/STX5/SGMS2/VPS36/PGAP2/SEC16A/AP3D1/TMEM79/ATP13A3/TMEM231/SEC31B/ATG16L1/PI4K2A/VDAC3/ABHD17C/VPS37B/SLC35A3/TOMM22/RPH3A/TMEM9/HPS6/COPG2/MIEF1/STX17/SLC66A1/PDE2A/TECPR1/CHST1/CLINT1/SAR1A/ABCD3/POMGNT1/MOSMO/ATAD1/SPATA18/SRPRA/MFF/CLEC16A/ATP6V0D2/AP2A2/ZFYVE16/SEC23A/TEX261/TOMM40/LPIN1/SNX4/CHMP4B"
"GO:0012506","vesicle membrane",169,0.533725944981762,2.0045267628199,9.87993440120493e-09,6.99828686752016e-07,5.5812962757684e-07,2475,"tags=28%, list=15%, signal=25%","SEC31A/SYT2/SNX21/CLTC/COPG1/SYT1/SYNRG/USO1/SEC24A/SYN2/SYNGR1/COPB1/SEC13/SEC22B/SV2B/COPB2/SPPL2B/EPN2/CLTCL1/ARF6/SEC24D/AP1G1/SCAMP1/STX12/COPA/ARCN1/SEC24C/SCAMP4/VPS36/SEC16A/AP3D1/ATP13A3/SEC31B/ASPSCR1/ABHD17C/VPS37B/RPH3A/COPG2/CLINT1/SAR1A/CLEC16A/AP2A2/ZFYVE16/SEC23A/SNX4/CHMP4B/SNX12/SEMA4C"
"GO:0030658","transport vesicle membrane",57,0.708255041462148,2.26418075984094,1.86943828706992e-08,1.13501610286388e-06,9.05201696897015e-07,1524,"tags=35%, list=9%, signal=32%","SEC31A/SYT2/CLTC/SYT1/SYNRG/USO1/SEC24A/SYN2/SYNGR1/SEC13/SEC22B/SV2B/CLTCL1/SEC24D/AP1G1/STX12/SEC24C/SEC16A/SEC31B/RPH3A"
"GO:0005794","Golgi apparatus",425,0.410011399924789,1.68387140809194,8.11382751465026e-08,4.31047086715795e-06,3.4377006048913e-06,3569,"tags=32%, list=21%, signal=26%","SCAP/CLTC/ARFGAP1/COPG1/GGA1/NSF/SYNRG/FAM20B/USO1/COPB1/CHPF/SEC22B/B4GALT7/LOC100218173/LYSMD3/GLG1/LOC100227480/COPB2/PCSK7/HEATR5B/COG3/RAB29/GORASP2/CLTCL1/AP1G1/SCAMP1/LOC105759397/SCFD1/GGA3/COG8/YIPF1/COPA/VPS45/GOLGB1/ARCN1/RAB11B/DYM/VPS53/HACE1/RGP1/SLC30A5/SCAMP4/TRAPPC12/LOC100229350/OPTN/NDST1/STX5/B4GALT5/SGMS2/PGAP2/RAB5B/TMEM79/SORL1/PI4K2A/SLC35E4/DENND5A/ZDHHC14/ATP9B/SLC30A7/MBTPS1/PLEKHA3/SLC35A3/GCC2/CLVS2/SELENOI/SLC30A1/GLT8D1/ZDHHC23/COPG2/ENTPD7/YIPF6/GOLGA7/CHPF2/MANEA/CHST1/TPST2/LOC100221408/POMGNT1/MOSMO/TRAPPC10/TMF1/RXYLT1/GNPNAT1/BACE1/MGAT4A/TEX261/GOLGA4/MAP6/B3GNT2/PDE4DIP/TRAPPC8/COG2/TRAPPC14/TMEM87A/QSOX2/TMED7/YIPF3/IFT57/NDST2/COG6/MGAT5B/SLC35B3/AFTPH/LOC115493875/RAB21/PI4K2B/SLC35B4/MAN2A2/MTTP/GOLPH3L/GOLPH3/COG4/SYAP1/CLTB/CCDC91/RAB25/CLCN3/RAB39B/GALNT10/C18H17orf75/LOC100229648/SRPRB/YIPF5/HID1/ZDHHC21/YKT6/EXTL1/ARL5A/BLZF1/M6PR/SLC29A3/KIAA0319L/SLC35B1/GNPTAB/SCAMP5/B3GALT9"
"GO:0030659","cytoplasmic vesicle membrane",167,0.531047184080106,1.98834710497756,9.28369136991103e-08,4.38396536912465e-06,3.49631417673842e-06,2475,"tags=28%, list=15%, signal=24%","SEC31A/SYT2/SNX21/CLTC/COPG1/SYT1/SYNRG/USO1/SEC24A/SYN2/SYNGR1/COPB1/SEC13/SEC22B/SV2B/COPB2/SPPL2B/EPN2/CLTCL1/ARF6/SEC24D/AP1G1/SCAMP1/STX12/COPA/ARCN1/SEC24C/SCAMP4/VPS36/SEC16A/AP3D1/ATP13A3/SEC31B/ABHD17C/VPS37B/RPH3A/COPG2/CLINT1/SAR1A/CLEC16A/AP2A2/ZFYVE16/SEC23A/SNX4/CHMP4B/SNX12/SEMA4C"
"GO:0005730","nucleolus",172,0.510625790907437,1.92180747435942,1.37688633072463e-07,5.85176690557967e-06,4.66691998414032e-06,2170,"tags=31%, list=13%, signal=27%","NOLC1/URB2/WDR43/FTSJ3/POLR1B/UTP15/PUM3/DDX24/GNL2/UPF3B/TAF1D/TCOF1/NOL6/RCL1/MYBBP1A/PDCD11/NOP14/URB1/DNTTIP2/MPHOSPH10/NOC2L/UTP4/NAT10/DKC1/LYAR/UTP3/NOL8/DDX1/SDAD1/NLE1/HEATR1/DCAF13/RRS1/DDX18/RBM19/SNU13/DHX9/UTP20/TTF1/KATNBL1/WDR12/UTP14A/FCF1/GNL3/POLR1A/NIP7/WDR46/BUD23/WDR3/BOP1/BYSL/BRIX1/PES1"
"GO:0022625","cytosolic large ribosomal subunit",47,-0.738965749107918,-2.1773467241592,2.0324060785703e-07,7.85247803083978e-06,6.26253356267594e-06,3152,"tags=83%, list=19%, signal=68%","RPL38/RPL10A/RPL34/RPL36A/LOC100190109/RPL27/RPL21/RPL23A/RPL6/RPL27A/RPL7A/RPL8/RPL29/RPLP1/RPL32/RPL5/RPL36/RPL4/RPL13A/RPL26L1/RPL14/RPL19/RPL11/RPL7/RPL37/RPL18A/RPL35A/RPL39/RPL31/RPL18/RPL9/RPL23/RPLP2/LOC116806891/RPL24/RPL15/RPL13/RPL30/RPL28"
"GO:0030662","coated vesicle membrane",46,0.713949560994687,2.18132293301547,2.74692622703707e-07,9.56273962162396e-06,7.62650689328277e-06,2233,"tags=52%, list=13%, signal=45%","SEC31A/CLTC/COPG1/SYNRG/USO1/SEC24A/COPB1/SEC13/SEC22B/COPB2/EPN2/CLTCL1/SEC24D/AP1G1/COPA/ARCN1/SEC24C/SEC16A/SEC31B/COPG2/CLINT1/SAR1A/AP2A2/SEC23A"
"GO:0030135","coated vesicle",86,0.611087718060994,2.06578335066832,2.98334514040197e-07,9.56273962162396e-06,7.62650689328277e-06,2266,"tags=38%, list=13%, signal=33%","SEC31A/CLTC/COPG1/HIP1R/SYNRG/USO1/SEC24A/COPB1/SEC13/FCHO2/SEC22B/DDHD2/COPB2/EPN2/CLTCL1/SEC24D/AP1G1/SEC23IP/COPA/ARCN1/SEC24C/SEC16A/SEC31B/CLVS2/COPG2/SNAP91/CLINT1/SAR1A/LOC100230284/AP2A2/SEC23A/DENND1A/TEX261"
"GO:0030133","transport vesicle",119,0.55932929547035,1.97576076930493,3.15007893418201e-07,9.56273962162396e-06,7.62650689328277e-06,3304,"tags=36%, list=19%, signal=29%","SEC31A/SYT2/CLTC/SYT1/SLC6A17/SYT13/SYNRG/USO1/SEC24A/SYN2/SYNGR1/SEC13/SEC22B/SV2B/CLTCL1/SEC24D/AP1G1/SEPTIN5/STX12/SYT9/SEC24C/LOC100229350/SEC16A/SEC31B/RPH3A/BLOC1S6/AMPH/SNAP91/SAR1A/LOC100230284/SEC23A/LOC121468977/SEMA4C/RAB3IP/AFTPH/TPRG1L/BLOC1S5/SYT4/CLTB/CLCN3/PICALM/SYT7/SPG21"
