"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0045333","cellular respiration",64,0.779926916280099,2.72318444551981,1e-10,1.71464136358257e-08,1.30115433715321e-08,1986,"tags=64%, list=12%, signal=57%","COQ10B/SUCLA2/NDUFB8/COX6A1/NDUFB9/NDUFA10/ATP5PO/FH/UQCRH/ATP5MF/COX7A2/NDUFS7/COX7B/UQCR10/NDUFA7/COX7C/UQCR11/NDUFS2/SDHAF2/NDUFS1/NDUFV1/SDHB/SDHD/ETFRF1/NDUFA8/ATP5F1E/SDHC/NDUFC2/NDUFB6/NDUFA5/NDUFS6/SHMT2/MDH2/NDUFS8/NDUFV3/NDUFV2/SUCLG1/ATP5F1B/COX7A2L/ACO2/NDUFAF1"
"GO:0009060","aerobic respiration",59,0.771477520083555,2.68621304315102,1e-10,1.71464136358257e-08,1.30115433715321e-08,1986,"tags=64%, list=12%, signal=57%","SUCLA2/NDUFB8/COX6A1/NDUFB9/NDUFA10/ATP5PO/FH/UQCRH/ATP5MF/COX7A2/NDUFS7/COX7B/UQCR10/NDUFA7/COX7C/UQCR11/NDUFS2/SDHAF2/NDUFS1/NDUFV1/SDHB/SDHD/NDUFA8/ATP5F1E/SDHC/NDUFC2/NDUFB6/NDUFS6/SHMT2/MDH2/NDUFS8/NDUFV3/NDUFV2/SUCLG1/ATP5F1B/COX7A2L/ACO2/NDUFAF1"
"GO:0015980","energy derivation by oxidation of organic compounds",88,0.726221931709273,2.68544196492197,1e-10,1.71464136358257e-08,1.30115433715321e-08,1830,"tags=45%, list=11%, signal=41%","COQ10B/SUCLA2/NDUFB8/COX6A1/NDUFB9/NDUFA10/ATP5PO/FH/UQCRH/ATP5MF/COX7A2/NDUFS7/COX7B/UQCR10/NDUFA7/COX7C/UQCR11/NDUFS2/SDHAF2/NDUFS1/NDUFV1/SDHB/SDHD/ETFRF1/NDUFA8/ATP5F1E/SDHC/NDUFC2/NDUFB6/NDUFA5/NDUFS6/SHMT2/MDH2/NDUFS8/NDUFV3/NDUFV2/SUCLG1/ATP5F1B/COX7A2L/ACO2"
"GO:0006119","oxidative phosphorylation",35,0.866116452080915,2.66006574397451,1e-10,1.71464136358257e-08,1.30115433715321e-08,1986,"tags=89%, list=12%, signal=78%","NDUFB8/COX6A1/NDUFB9/NDUFA10/ATP5PO/UQCRH/ATP5MF/COX7A2/COX7B/UQCR10/NDUFA7/COX7C/UQCR11/NDUFS2/SDHAF2/NDUFS1/NDUFV1/SDHD/NDUFA8/ATP5F1E/SDHC/NDUFC2/NDUFB6/NDUFS6/SHMT2/NDUFS8/NDUFV3/NDUFV2/ATP5F1B/COX7A2L/NDUFAF1"
"GO:0022900","electron transport chain",37,0.833847778007605,2.62580396811066,1e-10,1.71464136358257e-08,1.30115433715321e-08,1986,"tags=81%, list=12%, signal=72%","NDUFB8/COX6A1/NDUFB9/NDUFA10/UQCRH/COX7A2/COX7B/UQCR10/NDUFA7/COX7C/UQCR11/NDUFS2/NDUFB3/SDHAF2/NDUFS1/NDUFV1/SDHB/SDHD/ETFRF1/NDUFA8/SDHC/NDUFC2/NDUFB6/NDUFA5/NDUFS6/NDUFS8/NDUFV3/NDUFV2/COX7A2L/NDUFAF1"
"GO:0022904","respiratory electron transport chain",31,0.87070618488982,2.60165223934467,1e-10,1.71464136358257e-08,1.30115433715321e-08,1986,"tags=94%, list=12%, signal=83%","NDUFB8/COX6A1/NDUFB9/NDUFA10/UQCRH/COX7A2/COX7B/UQCR10/NDUFA7/COX7C/UQCR11/NDUFS2/SDHAF2/NDUFS1/NDUFV1/SDHB/SDHD/ETFRF1/NDUFA8/SDHC/NDUFC2/NDUFB6/NDUFA5/NDUFS6/NDUFS8/NDUFV3/NDUFV2/COX7A2L/NDUFAF1"
"GO:0042773","ATP synthesis coupled electron transport",28,0.869335083675724,2.58237948013017,1e-10,1.71464136358257e-08,1.30115433715321e-08,1986,"tags=93%, list=12%, signal=82%","NDUFB8/COX6A1/NDUFB9/NDUFA10/UQCRH/COX7A2/COX7B/UQCR10/NDUFA7/COX7C/UQCR11/NDUFS2/SDHAF2/NDUFS1/NDUFV1/SDHD/NDUFA8/SDHC/NDUFC2/NDUFB6/NDUFS6/NDUFS8/NDUFV3/NDUFV2/COX7A2L/NDUFAF1"
"GO:0006091","generation of precursor metabolites and energy",125,0.612660334624325,2.40421317101964,1e-10,1.71464136358257e-08,1.30115433715321e-08,2292,"tags=42%, list=13%, signal=36%","COQ10B/SUCLA2/NDUFB8/COX6A1/ENO2/NDUFB9/NDUFA10/ATP5PO/FH/UQCRH/ATP5MF/COX7A2/NDUFS7/COX7B/UQCR10/NDUFA7/COX7C/UQCR11/NDUFS2/NDUFB3/SDHAF2/NDUFS1/NDUFV1/SDHB/SDHD/ENO1/RPE/ETFRF1/NDUFA8/ATP5F1E/SDHC/NDUFC2/NDUFB6/TIGAR/NDUFA5/NDUFS6/SHMT2/MDH2/NDUFS8/NDUFV3/NDUFV2/SUCLG1/ATP5F1B/COX7A2L/ACO2/ENO4/NDUFAF1/GAPDH/GYS2/HK3/PGLS/SDHA"
"GO:0016054","organic acid catabolic process",110,0.620170892529625,2.39184329268301,1.12293892829085e-10,1.71464136358257e-08,1.30115433715321e-08,3892,"tags=52%, list=23%, signal=40%","ACAT1/BCKDHB/PAH/ACADM/ACADL/UROC1/KYNU/GAD2/GCSH/KMO/CDO1/HADHA/AGXT2/ECHS1/GLDC/HGD/IVD/HPD/TAT/AMT/LPIN2/MCCC2/AUH/DDO/ACAA1/ETFA/SHMT2/ECHDC1/TDO2/ALDH5A1/DECR1/GSTZ1/PHYH/OAT/PRODH2/SDSL/THNSL2/ABCD4/ABAT/HIBCH/AMDHD1/HDC/SARDH/GCAT/FAH/HACL1/ACAD11/ABHD3/LOC100229817/GNPDA2/ACAT2/SHMT1/ETFB/ACOX1/PCK1/LOC100218384/ALDH6A1"
"GO:0046395","carboxylic acid catabolic process",110,0.620170892529625,2.39184329268301,1.12293892829085e-10,1.71464136358257e-08,1.30115433715321e-08,3892,"tags=52%, list=23%, signal=40%","ACAT1/BCKDHB/PAH/ACADM/ACADL/UROC1/KYNU/GAD2/GCSH/KMO/CDO1/HADHA/AGXT2/ECHS1/GLDC/HGD/IVD/HPD/TAT/AMT/LPIN2/MCCC2/AUH/DDO/ACAA1/ETFA/SHMT2/ECHDC1/TDO2/ALDH5A1/DECR1/GSTZ1/PHYH/OAT/PRODH2/SDSL/THNSL2/ABCD4/ABAT/HIBCH/AMDHD1/HDC/SARDH/GCAT/FAH/HACL1/ACAD11/ABHD3/LOC100229817/GNPDA2/ACAT2/SHMT1/ETFB/ACOX1/PCK1/LOC100218384/ALDH6A1"
"GO:0006955","immune response",260,-0.534214187986287,-2.1386897273864,1e-10,1.71464136358257e-08,1.30115433715321e-08,3890,"tags=48%, list=23%, signal=37%","BDKRB1/SHLD3/XCR1/RELB/KARS1/SH2B2/TRAF3/LY96/LOC115498493/CD40/SAMHD1/SH2D1A/TRAFD1/DHX58/FRK/C1R/FYB2/FYN/LOC101232986/CACTIN/LOC115495264/LOC121468717/CCR7/THY1/KIT/DYSF/FGR/LOC115494917/EOMES/LOC115492234/LOC121468742/LOC101233771/LOC100230856/NFKBIA/CGAS/JCHAIN/MYD88/LOC100227529/LIF/IFIH1/INPPL1/LOC100222345/CCR5/MAPKAPK2/LOC115496483/TNFSF15/LOC100225145/C3AR1/STAT2/LOC100218918/RSAD2/IL18/SBNO2/PARP9/LCK/UNC93B1/LY86/THEMIS/NRROS/TNFRSF21/SASH3/CD86/C3/CD79B/CD74/CMKLR1/LOC100231469/IFNG/INPP5D/SRC/FYB1/CD79A/ADAM15/LOC100221316/PDCD1/LOC115497720/LOC121468750/SYK/CTLA4/RELA/CD274/EDA/ALPK1/CD80/CD8B/CCL19/LYN/LOC115493267/LOC100226645/CD8A/CSK/LOC115493244/C1S/STAT1/LOC121468062/LOC100228345/LOC100219691/NLRC5/CCL28/CRTAM/CD14/LOC100223082/TFEB/MARCHF1/HCK/LOC100218724/LOC115493242/LOC100232395/LOC100219761/LOC100227429/IFNAR1/PTPN22/LOC115497416/BTK/CADM1/TLR2/LOC121469195/STING1/LOC100229516/REL/TLR4/LOC101234202/LOC115498164/CAMP"
"GO:0007267","cell-cell signaling",258,0.487638906577456,2.09111480933628,1e-10,1.71464136358257e-08,1.30115433715321e-08,1678,"tags=21%, list=10%, signal=20%","GABRA2/CPLX1/SNAP25/GRIA2/SYN2/SYT1/GRIA4/GRIN1/CHRNB1/JPH3/GRIN2A/LOC100144431/NMB/LRRC4C/SYT10/GRIA1/GRIN2B/GJB1/SYT9/CADPS/PTCHD1/SNCB/NLGN4X/GABRA4/GABRA1/GABRD/DGKI/HTR1B/CHGA/POMC/SV2B/CRHR2/SYT2/GRM8/SLC12A5/UTRN/PTPRN2/STXBP3/LIN7A/LRRC4/HTR2A/SHH/GRM5/SNCA/TMEM25/GRIK3/STXBP4/CACNA1E/SLC12A7/GABRB2/CALB1/SYT17/LOC100225224/HTR7/LOC100228395"
"GO:0002376","immune system process",350,-0.490832394269574,-2.03225866814355,1e-10,1.71464136358257e-08,1.30115433715321e-08,3890,"tags=44%, list=23%, signal=35%","BDKRB1/SHLD3/XCR1/RELB/KARS1/SH2B2/MILR1/TRAF3/LY96/LOC115498493/CD40/SAMHD1/SH2D1A/TRAFD1/DHX58/FRK/CD99L2/C1R/CD3E/FYB2/FYN/DOCK8/LOC101232986/CD5/CACTIN/LOC115495264/IRF5/LOC121468717/LOC100222416/CCR7/THY1/IRF6/KIT/DYSF/FGR/CLCF1/LOC115494917/EOMES/LOC115492234/ADA/LOC121468742/LOC101233771/LOC100230856/SAMSN1/JAK2/NFKBIA/CGAS/JCHAIN/MYD88/LOC100227529/LIF/IFIH1/INPPL1/LOC100222345/CCR5/MAPKAPK2/SELPLG/LOC115496483/TNFSF15/LOC100225145/C3AR1/STAT2/LOC100218918/RSAD2/IL18/SBNO2/PARP9/TNFRSF13C/LCK/MADCAM1/WDFY4/UNC93B1/LY86/THEMIS/NRROS/TNFRSF21/SASH3/CD86/C3/IRF4/CD79B/IRF1/CD74/CMKLR1/LOC100231469/IRF8/IFNG/INPP5D/IRF7/SRC/FYB1/CD79A/ADAM15/LOC100221316/PDCD1/LOC115497720/PMS2/LOC121468750/TBX21/SYK/CTLA4/RELA/CSF1/CD274/EDA/TAPBP/ALPK1/BANK1/CD80/CD8B/CCL19/LYN/LGALS3/LOC115493267/LOC100226645/CD8A/CSK/LOC115493244/C1S/STAT1/MZB1/LOC121468062/LOC100228345/LOC100219387/LOC100219691/CASP3/NLRC5/CCL28/CRTAM/CD14/LOC100223082/TFEB/MARCHF1/HCK/LOC100218724/TNFRSF13B/LOC115493242/LOC100232395/LOC100219761/LOC100227429/IFNAR1/PTPN22/LOC115497416/BTK/CADM1/TLR2/LOC121469195/STING1/HELLS/LOC100229516/REL/TLR4/LOC101234202/LOC115498164/CAMP"
"GO:0099537","trans-synaptic signaling",187,0.534606357027846,2.19600581331414,1.70237553143956e-10,2.4137253070768e-08,1.83165367330076e-08,1678,"tags=24%, list=10%, signal=22%","GABRA2/CPLX1/SNAP25/GRIA2/SYN2/SYT1/GRIA4/GRIN1/CHRNB1/JPH3/GRIN2A/LOC100144431/LRRC4C/GRIA1/GRIN2B/CADPS/PTCHD1/SNCB/NLGN4X/GABRA4/GABRA1/GABRD/DGKI/HTR1B/SV2B/CRHR2/SYT2/GRM8/SLC12A5/STXBP3/LIN7A/LRRC4/HTR2A/GRM5/SNCA/TMEM25/GRIK3/CACNA1E/SLC12A7/GABRB2/CALB1/SYT17/LOC100225224/HTR7/LOC100228395"
"GO:0007268","chemical synaptic transmission",186,0.534907862771135,2.1961890054294,2.17894369411713e-10,2.70325202051406e-08,2.05136080676422e-08,1678,"tags=24%, list=10%, signal=22%","GABRA2/CPLX1/SNAP25/GRIA2/SYN2/SYT1/GRIA4/GRIN1/CHRNB1/JPH3/GRIN2A/LOC100144431/LRRC4C/GRIA1/GRIN2B/CADPS/PTCHD1/SNCB/NLGN4X/GABRA4/GABRA1/GABRD/DGKI/HTR1B/SV2B/CRHR2/SYT2/GRM8/SLC12A5/STXBP3/LIN7A/LRRC4/HTR2A/GRM5/SNCA/TMEM25/GRIK3/CACNA1E/SLC12A7/GABRB2/CALB1/SYT17/LOC100225224/HTR7/LOC100228395"
"GO:0098916","anterograde trans-synaptic signaling",186,0.534907862771135,2.1961890054294,2.17894369411713e-10,2.70325202051406e-08,2.05136080676422e-08,1678,"tags=24%, list=10%, signal=22%","GABRA2/CPLX1/SNAP25/GRIA2/SYN2/SYT1/GRIA4/GRIN1/CHRNB1/JPH3/GRIN2A/LOC100144431/LRRC4C/GRIA1/GRIN2B/CADPS/PTCHD1/SNCB/NLGN4X/GABRA4/GABRA1/GABRD/DGKI/HTR1B/SV2B/CRHR2/SYT2/GRM8/SLC12A5/STXBP3/LIN7A/LRRC4/HTR2A/GRM5/SNCA/TMEM25/GRIK3/CACNA1E/SLC12A7/GABRB2/CALB1/SYT17/LOC100225224/HTR7/LOC100228395"
