"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",192,0.71339540611161,2.95007903945742,1e-10,1.66666666666667e-09,8.07017543859649e-10,2363,"tags=52%, list=14%, signal=45%","PRDX3/NDUFA4/SUCLA2/NDUFB8/ACAT1/COX6A1/SLC25A20/CYB5A/ATP5MG/COX6C/ATP5PB/ATP5ME/ACADM/ATP5PO/FH/UQCRH/NDUFA2/UQCRB/ATP5MF/LDHB/UQCRQ/NDUFA1/CYC1/ATP5F1D/COX7A2/NDUFC1/NDUFS7/COX7B/UQCR10/NDUFA7/COX7C/MRPS15/COX4I1/UQCR11/NDUFS2/ATP5PF/UQCRC1/ISCA1/ATP5MC3/NDUFB3/COX5B/NDUFAB1/ATP5F1C/NDUFB2/HADHA/NDUFS1/NDUFV1/SDHB/SLC25A6/TIMM13/SDHD/ATP5PD/ECHS1/UQCRFS1/MRPS22/NDUFB1/NDUFA8/ATP5F1E/MRPL11/UQCRC2/COX6B1/SDHC/NDUFA3/NDUFC2/ECH1/ATP5MC1/NDUFB6/COX17/NDUFA5/NDUFS6/NDUFB4/ACAA1/ETFA/MDH2/NDUFA9/COX5A/NDUFS8/ACAA2/GPX4/ATP5F1A/COX15/NDUFV2/SUCLG1/NDUFB5/SLC25A11/ATP5F1B/DECR1/COX7A2L/PHYH/ACO2/PDHA1/OAT/PDP1/PDK4/NDUFS3/MTX2/SDHA/ISCU/MRPL34/MGST3"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",184,-0.573050399880389,-2.23085350610068,1e-10,1.66666666666667e-09,8.07017543859649e-10,3120,"tags=41%, list=18%, signal=34%","HMMR/MCM6/CHAF1A/TMPO/CUL5/SRSF10/MARCKS/PRIM2/NUSAP1/CCNB2/LIG3/PBK/AMD1/TNPO2/SMC4/TLE3/SMC2/CDC45/KNL1/ATRX/INCENP/KIF5B/TOP2A/HMGA1/POLE/CUL1/CCNT1/TTK/RPS6KA5/ARID4A/TOP1/RPA2/CCNA2/E2F2/MCM2/EXO1/MAD2L1/NDC80/KIF11/CENPF/NOTCH2/UBE2C/MKI67/CDC6/GSPT1/SS18/KIF4A/KPNB1/POLQ/BCL3/UPF1/SYNCRIP/KIF23/CDC7/BUB1/NUP98/SMARCC1/PAFAH1B1/E2F1/NOLC1/UCK2/EZH2/CBX1/ILF3/HMGN2/SQLE/HNRNPU/SMC1A/MYBL2/GINS2/MCM5/NCL/G3BP1/CTCF/DKC1/ABL1"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",186,-0.560974610655227,-2.18587079907549,1e-10,1.66666666666667e-09,8.07017543859649e-10,3135,"tags=39%, list=18%, signal=32%","SNRPB/HMMR/MCM6/PCNA/TMPO/CBX5/POLD2/WEE1/PRIM2/MELK/BUB1B/MCM4/CCNB2/CDCA3/SMC4/PAN2/TOP2A/HMGA1/XRCC6/POLE/NCAPD2/NAP1L1/ORC2/DNMT1/RPA2/MCM2/E2F8/CDKN1A/RRM2/ZW10/MAD2L1/SPAG5/DCK/RPA1/MRE11/PPP1R8/MKI67/PPM1D/IPO7/PMS2/GSPT1/KIF4A/PHF5A/CSE1L/SYNCRIP/DIAPH3/GINS1/TUBB/NOLC1/EZH2/PSIP1/ILF3/PA2G4/CNOT9/PRPS1/DLGAP5/GINS4/LYAR/USP1/SMC1A/SSRP1/TIMELESS/MYBL2/NUP205/MCM5/MCM7/HELLS/NUP107/CTCF/UBR7/ANP32E/TK1/NUP153"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE",188,-0.510273534123572,-1.9871790122538,3.28580885217985e-08,4.10726106522481e-07,1.98877904210886e-07,3541,"tags=41%, list=21%, signal=33%","ARHGAP27/STK38L/HOOK3/CDK1/YWHAE/CDC27/RALBP1/KIFAP3/FGD6/FLNB/ABI1/CDC42BPA/MARCKS/MYH10/DYNLL2/PCNT/CDC42EP4/CDC42EP1/NUSAP1/CCNB2/FLNA/SMC4/ARAP3/DLG1/INCENP/KIF5B/TOP2A/MYO9B/NIN/TTK/OPHN1/ARHGAP29/PXN/ARL8A/NCK2/ARHGDIA/DYNC1H1/FARP1/DOCK2/CKAP5/EZR/ARHGAP5/PIF1/NDC80/KIF11/CENPF/WASL/ARHGEF3/NOTCH2/CTTN/ITSN1/KIF3B/MARK4/ATG4B/CCDC88A/KIF4A/SYNPO/AKAP13/SUN2/ANLN/KIF23/CLASP1/BUB1/PAFAH1B1/ARF6/DLGAP5/WASF2/RAPGEF6/PCM1/MAP1S/SMC1A/GEMIN4/PREX1/ECT2/MYH9/ABR/ABL1"
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",132,-0.53919364337829,-1.99906107809017,7.49499430455991e-07,7.49499430455991e-06,3.6291551369448e-06,3716,"tags=50%, list=22%, signal=39%","LY75/HDAC9/CD40/CD3E/DARS1/EIF4G3/NOS2/IGSF6/THY1/B2M/ABI1/FGR/JAK2/FLNA/IL2RG/PTPRC/LIF/CCR5/IL12B/GALNT1/IL18/ITGB2/LCK/LY86/CD86/LCP2/IL2RB/IRF4/CD74/SPI1/WAS/IRF8/IFNG/GZMA/IRF7/FYB1/CD79A/IFNGR1/IL18RAP/CD2/IL12RB1/GPR65/ETS1/CSF1/SRGN/NCF4/TAPBP/RIPK2/IL2RA/CCND3/CD80/BCL3/CD8B/CCL19/LYN/CD8A/PTPN6/CSK/PRKCB/STAT1/STAB1/CRTAM/EIF3J/EIF3A/MMP9/TLR2"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",127,-0.528218061300246,-1.95421073907987,1.05298453017206e-06,8.77487108476718e-06,4.24888494630832e-06,4556,"tags=57%, list=27%, signal=42%","ADAR/CD38/EIF2AK2/NMI/HIF1A/UBE2L6/IFI35/CMTR1/LATS2/CIITA/TNFAIP3/PNP/CD40/SAMHD1/TRAFD1/DHX58/C1R/CASP7/IRF5/PLA2G4A/CMPK2/OGFR/B2M/IL10RA/TRIM25/PIM1/JAK2/NFKBIA/HELZ2/MYD88/PLSCR1/IFIH1/PFKP/ZNFX1/RNF213/STAT2/RSAD2/GPR18/SERPING1/ARID5B/PDE4B/NFKB1/CDKN1A/CFH/CD86/LCP2/IL2RB/IRF4/IRF1/CD74/STAT3/CMKLR1/IRF8/GZMA/NUP93/SOCS3/IRF7/USP18/CD274/CSF2RB/TAPBP/RIPK2/BANK1/PTPN6/C1S/STAT1/PTPN2/CASP3/NLRC5/MARCHF1/NAMPT/RAPGEF6/IL18BP"
"HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",52,-0.660084290074081,-2.17743596718405,1.32720244358309e-06,9.48001745416493e-06,4.59032424096407e-06,1413,"tags=37%, list=8%, signal=34%","RRP9/RCL1/NOP2/PES1/LAS1L/MPHOSPH10/GRWD1/NOLC1/CBX3/PPAN/TCOF1/PA2G4/UTP20/DDX18/PPRC1/MCM5/WDR43/RRP12/MYBBP1A"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING",61,-0.604050138564036,-2.03388842823672,2.16264320828718e-05,0.000135165200517949,6.54484128823752e-05,2636,"tags=43%, list=15%, signal=36%","PIM1/MYD88/IL2RG/PIK3R5/STAT2/ITGA4/TNFRSF21/IL6ST/IRF1/STAT3/ACVR1B/SOCS3/IFNGR1/IL12RB1/CSF1/CSF2RB/IL2RA/STAT1/PTPN2/BAK1/CD14/CBL/IFNAR1/TLR2/GRB2/CSF3R"
"HALLMARK_COMPLEMENT","HALLMARK_COMPLEMENT",140,-0.469365771808904,-1.76544369037715,2.58064990320672e-05,0.00014336943906704,6.9420991548251e-05,3620,"tags=40%, list=21%, signal=32%","TNFAIP3/CTSB/PRKCD/C1QA/PLAT/DYRK2/C1R/TMPRSS6/GNGT2/FYN/PRDM4/CASP7/PLA2G4A/RCE1/USP8/DUSP5/CTSC/PIM1/JAK2/PLSCR1/FCER1G/MMP14/SCG3/PIK3R5/RASGRP1/LRP1/SERPING1/DOCK10/PPP4C/LCK/PIK3CG/CFH/LCP2/C3/IRF1/MMP15/WAS/GNG2/GZMA/IRF7/XPNPEP1/SRC/GNB4/RHOG/AKAP10/LYN/LGALS3/C1S/MSRB1/CASP3/GNAI2/MAFF/HNF4A/GRB2/PRCP/LGMN"
"HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INFLAMMATORY_RESPONSE",136,-0.46868494928165,-1.75020236167869,4.77460171611092e-05,0.000238730085805546,0.000115595620495317,3042,"tags=37%, list=18%, signal=30%","CCR7/ABI1/IL10RA/RGS1/NFKBIA/ITGA5/CD48/LIF/VIP/MMP14/PIK3R5/TNFSF15/RASGRP1/IL12B/SLC31A2/C3AR1/PTPRE/IL18/LCK/PDE4B/GABBR1/NFKB1/KCNJ2/PTGER4/CDKN1A/PTAFR/LCP2/IL2RB/IRF1/CMKLR1/ACVR1B/IRF7/IL18RAP/RELA/CSF1/KCNA3/RHOG/TAPBP/RIPK2/LYN/MARCO/STAB1/CD14/NAMPT/IFNAR1/CYBB/TLR2/KLF6/P2RY2/CSF3R"
