"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"OXPHOS subunits","OXPHOS subunits",79,0.865642891300865,3.11809080798376,1e-10,5.9e-09,4.21052631578947e-09,1814,"tags=89%, list=11%, signal=80%","NDUFA4/NDUFA12/NDUFB8/COX6A1/NDUFB9/ATP5MG/NDUFA10/COX6C/ATP5PB/ATP5ME/ATP5PO/UQCRH/NDUFA2/UQCRB/ATP5MF/NDUFA11/UQCRQ/NDUFA1/CYC1/ATP5F1D/COX7A2/NDUFA13/NDUFC1/NDUFS7/COX7B/UQCR10/NDUFA7/COX7C/COX4I1/UQCR11/NDUFS2/ATP5PF/UQCRC1/ATP5MC3/NDUFB3/COX5B/NDUFAB1/NDUFB11/ATP5F1C/NDUFB2/NDUFS1/NDUFV1/SDHB/SDHD/ATP5PD/UQCRFS1/NDUFB1/NDUFA8/ATP5F1E/UQCRC2/COX6B1/NDUFS5/SDHC/NDUFA3/NDUFC2/ATP5MC1/NDUFB6/NDUFA5/NDUFS6/NDUFB4/ATP5IF1/NDUFA9/COX5A/NDUFS8/NDUFV3/ATP5F1A/NDUFV2/NDUFB5/ATP5F1B/COX7A2L"
"CI subunits","CI subunits",37,0.851632713411641,2.65248390209629,1e-10,5.9e-09,4.21052631578947e-09,1697,"tags=86%, list=10%, signal=78%","NDUFA12/NDUFB8/NDUFB9/NDUFA10/NDUFA2/NDUFA11/NDUFA1/NDUFA13/NDUFC1/NDUFS7/NDUFA7/NDUFS2/NDUFB3/NDUFAB1/NDUFB11/NDUFB2/NDUFS1/NDUFV1/NDUFB1/NDUFA8/NDUFS5/NDUFA3/NDUFC2/NDUFB6/NDUFA5/NDUFS6/NDUFB4/NDUFA9/NDUFS8/NDUFV3/NDUFV2/NDUFB5"
"Mitochondrial ribosome","Mitochondrial ribosome",79,0.654576303458767,2.35781795870993,2.0230245033044e-09,7.9572297129973e-08,5.6786652724334e-08,3534,"tags=66%, list=21%, signal=52%","MRPS24/MRPS15/MRPL27/MRPS35/MRPS18B/MRPL22/MRPS18C/MRPL30/MRPS22/MRPS14/MRPL54/MRPL9/MRPL11/MRPL37/MRPL23/MRPS36/MRPS25/MRPL12/MRPL44/MRPS16/MRPL20/MRPL57/MRPL38/MRPL40/MRPL53/GADD45GIP1/MRPL55/MRPS10/AURKAIP1/MRPL19/MRPS17/MRPL28/MRPL17/MRPL58/MRPL34/MRPS11/MRPS26/MRPS12/MRPL46/MRPL35/CHCHD1/MRPS33/MRPL13/MRPL24/MRPL39/MRPS18A/MRPS27/MRPS6/MRPS9/MRPL51/MRPL18/MRPS30"
"OXPHOS assembly factors","OXPHOS assembly factors",62,0.683769851516234,2.36273217049695,1.31445485776079e-08,3.87764183039432e-07,2.76727338475955e-07,2839,"tags=52%, list=17%, signal=43%","FOXRED1/LYRM2/SDHAF2/FMC1/ATPAF2/ATPAF1/ECSIT/HIGD2A/TIMMDC1/SCO1/NDUFAF6/CMC1/ACAD9/COX17/COA5/SDHAF3/COX14/COX15/TMEM70/TTC19/NDUFAF8/COA3/COX7A2L/NDUFAF1/DMAC1/NDUFAF5/SDHAF4/TIMM21/TMEM186/CMC2/NUBPL/COX20"
"CIII subunits","CIII subunits",9,0.946592244418331,2.0980022896292,4.61520437098524e-07,1.08918823155252e-05,7.77297578271198e-06,918,"tags=100%, list=5%, signal=95%","UQCRH/UQCRB/UQCRQ/CYC1/UQCR10/UQCR11/UQCRC1/UQCRFS1/UQCRC2"
"CV subunits","CV subunits",16,0.885148182618323,2.23358707122016,1.10445340092737e-06,2.1720916884905e-05,1.55011003638929e-05,1775,"tags=94%, list=10%, signal=84%","ATP5MG/ATP5PB/ATP5ME/ATP5PO/ATP5MF/ATP5F1D/ATP5PF/ATP5MC3/ATP5F1C/ATP5PD/ATP5F1E/ATP5MC1/ATP5IF1/ATP5F1A/ATP5F1B"
"Fe-S-containing proteins","Fe-S-containing proteins",30,0.750033531770985,2.24483670385436,1.69133066285966e-06,2.85110026024915e-05,2.03468350419208e-05,2863,"tags=77%, list=17%, signal=64%","NDUFS7/NDUFS2/ISCA1/BOLA3/NDUFS1/NDUFV1/SDHB/UQCRFS1/CISD1/NFU1/NDUFS8/NDUFV2/ISCA2/NFS1/ACO2/GLRX2/LIAS/NTHL1/ISCU/RSAD1/ABAT/NUBPL/ETFDH"
"CIV subunits","CIV subunits",11,0.89405335527089,2.05715246415864,7.76557656138553e-06,0.000114542254280437,8.17429111724792e-05,1814,"tags=100%, list=11%, signal=89%","NDUFA4/COX6A1/COX6C/COX7A2/COX7B/COX7C/COX4I1/COX5B/COX6B1/COX5A/COX7A2L"
"Branched-chain amino acid metabolism","Branched-chain amino acid metabolism",25,0.708024397955646,2.02847756619947,0.000187773139398875,0.0024619144943408,0.00175694165519415,3892,"tags=68%, list=23%, signal=53%","ACAT1/BCKDHB/HADHA/ECHS1/IVD/MCCC2/AUH/ETFA/HIBCH/HSD17B10/ETFDH/PPM1K/DLD/DBT/MCCC1/ETFB/ALDH6A1"
"CI assembly factors","CI assembly factors",19,0.7439284230175,1.98060154897949,0.000268630946633899,0.00316984517028001,0.00226215534007494,2719,"tags=68%, list=16%, signal=58%","FOXRED1/LYRM2/ECSIT/TIMMDC1/NDUFAF6/ACAD9/TMEM70/NDUFAF8/NDUFAF1/DMAC1/NDUFAF5/TMEM186/NUBPL"
