"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"tgu00190","Oxidative phosphorylation",80,0.787574050784023,2.85781509350941,1e-10,8.3e-09,5.94736842105263e-09,1068,"tags=65%, list=10%, signal=59%","100220589/100190740/100190275/100190504/100190392/100223119/100190221/100190180/100190523/100218328/100219261/100190122/100190489/100231893/100227546/100228144/100229691/115490854/100190425/100219756/100190396/115490907/100224240/100225003/100223708/100231909/115498214/100228353/100190435/100227257/100220458/100190674/100232347/100227575/100226767/100190134/100190357/100232751/105758798/100190064/100221387/100190640/100190724/100230773/100222863/100231827/751975/100232471/100190350/100190339/100221153/100232533"
"tgu03010","Ribosome",121,0.708205949658998,2.73806198250178,1e-10,8.3e-09,5.94736842105263e-09,2058,"tags=69%, list=20%, signal=55%","100190168/105758807/100228467/100221096/100190550/100232723/100190626/100229344/100190080/100229359/100224690/100190274/100190647/100190329/100221133/100190037/100190000/100190005/100231477/100218437/100223017/100190363/100190426/100190185/100226185/100189949/100190721/101234084/100190014/100189948/100225392/100190211/100190138/100190630/100190411/115490814/100190332/100223428/100190644/100227526/115498487/100232365/100218065/100190559/100189961/100190056/100227063/100228662/100219745/100190659/100190288/100221403/100190308/116806757/100190369/100190179/100225555/100190103/100190144/100190744/100222424/100190073/100190178/100223758/100221892/100190177/100229891/100220532/100190568/100190431/100224047/100228812/100223911/100190260/100190067/100190293/100223058/100223610/100229511/100228554/100222293/100190265/100221612"
"tgu04080","Neuroactive ligand-receptor interaction",162,0.534139909332067,2.12126944750777,1.79965170815303e-09,9.95807278511342e-08,7.13546115864183e-08,1080,"tags=27%, list=11%, signal=25%","100232756/751775/751954/751779/778440/105760895/100225028/100221676/751952/751956/100224895/100226898/100228908/100232833/751992/100222943/100232490/100221609/751586/100222020/100230972/100228384/751996/100219314/100219758/751963/101233210/100220988/100227283/100231073/752008/100232439/100222729/100222300/100220136/751607/115496339/101233463/100227722/100222591/100230405/100220008/100219931/100230475"
"tgu04082","Neuroactive ligand signaling",110,0.539852619372749,2.05780565988084,7.46009540914807e-07,3.09593959479645e-05,2.21839679272035e-05,838,"tags=25%, list=8%, signal=23%","100232756/100229066/751775/751954/751779/100225982/100218134/778440/751952/751956/115492163/100223958/100232833/751992/100221609/751996/100221546/115492695/751963/100231073/100219216/752008/100232439/100222300/115496339/101233463/100227722"
"tgu04110","Cell cycle",119,-0.527015417683287,-1.91907660144978,1.04537567257454e-06,3.47064723294747e-05,2.48689370528258e-05,2137,"tags=45%, list=21%, signal=36%","100218430/100229976/100223686/100190269/100219810/100217495/101234038/100225387/100232552/100224856/100232557/100222050/100225413/100231865/100222560/100228497/100230478/105759275/100229394/100223849/100223984/100224545/100221745/100218599/100226144/100219086/100223834/100220224/100220830/100190745/100218172/100226934/100223839/100223842/100217707/100218492/105759380/100227531/100232487/100217687/100218837/100228592/100224372/100228320/115497941/100228536/100223051/100224604/105759646/100226336/100221992/100190311/100223450"
"tgu03008","Ribosome biogenesis in eukaryotes",57,-0.591484130477731,-1.9381830947641,4.47340626429862e-05,0.00123764239978929,0.000886833171694288,1181,"tags=32%, list=12%, signal=28%","100230741/100228585/100223488/100223062/100222569/100230734/100218390/100218561/100218116/100221514/100231582/100223344/115495021/100229140/100225826/100226242/100224158/100228918"
"tgu04260","Cardiac muscle contraction",43,0.620256304900866,1.96915987827979,6.14016398162663e-05,0.0014560960299286,0.00104336621041174,1068,"tags=40%, list=10%, signal=36%","100223119/100218328/100219261/100231893/100229691/100219756/100190396/100224240/100225003/115498214/100218244/100227575/100222087/100232751/100227443/100226925/100232533"
"tgu03013","Nucleocytoplasmic transport",73,-0.5424784714459,-1.84298481837326,9.80718662417246e-05,0.00203499122451579,0.00145817380069933,1395,"tags=55%, list=14%, signal=48%","100219351/100225998/100190232/100229792/100224021/100224013/100225585/100217540/100218911/100221354/100225403/100220323/100232732/100222259/100222227/100217886/100224126/100224403/100221776/101233238/100228602/100218626/100227718/115498113/100221713/100223933/100229946/100222517/100223354/100230311/100225602/100226510/100230057/100232097/100232127/100218189/100232057/100190053/100231466/100232758"
"tgu00100","Steroid biosynthesis",14,-0.795649307821782,-1.89433950146425,0.000220595740714206,0.00366188929585582,0.00262392828428477,348,"tags=50%, list=3%, signal=48%","100225604/100220976/100227302/100230558/100222623/100223763/100217567"
"tgu01200","Carbon metabolism",80,0.515655482830136,1.8711231285691,0.000219075270538355,0.00366188929585582,0.00262392828428477,2143,"tags=49%, list=21%, signal=39%","100227336/100221425/100231650/100217618/100228882/100226063/100230972/100190674/100219304/100231195/100231891/100224460/100223031/100225069/100228756/100190484/100220499/100224467/100227287/100225079/100230441/100190636/115497373/100221389/100190055/100230079/100224916/100220560/100227137/100232264/100227594/100217791/101233932/100224772/100230199/100218937/100228021/100190753/100230333"
